dataset,sampler,representation,split,budget,source_model,walltime,target_model
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.20234679605346173,
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.00502723699901253,vgg_model
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.0036310090217739344,vgg13(0)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.00363248900976032,vgg13(1)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.00362167798448354,vgg13(2)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.0036455009831115603,vgg13(3)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.003616751986555755,vgg13(4)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.03250787302386016,resnet18(5)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.004065304063260555,resnet18(6)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.004015707061626017,resnet18(7)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.004052555887028575,resnet18(8)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.0040531259728595614,resnet18(9)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.061697844066657126,densenet121(10)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.017451693071052432,densenet121(11)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.017425235942937434,densenet121(12)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.017327694920822978,densenet121(13)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.017334652016870677,densenet121(14)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.023139378987252712,mobilenet_v2(15)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.006782918935641646,mobilenet_v2(16)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.006846570991910994,mobilenet_v2(17)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.00679306301753968,mobilenet_v2(18)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.0069032879546284676,mobilenet_v2(19)
CIFAR10,Adversarial,SAC,train,20,vgg_model,0.004698714008554816,vgg16_bn_cifar10C(0)
