dataset,sampler,representation,split,budget,source_model,walltime,target_model
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.3108376000309363,
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.0224065970396623,vgg_model
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.01811767998151481,vgg13(0)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.01801509503275156,vgg13(1)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.018927740980871022,vgg13(2)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.019143023062497377,vgg13(3)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.01811578799970448,vgg13(4)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.05430022394284606,resnet18(5)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.015395757975056767,resnet18(6)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.015253080986440182,resnet18(7)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.021248245029710233,resnet18(8)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.015279162907972932,resnet18(9)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.15518336300738156,densenet121(10)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.08013061294332147,densenet121(11)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.07007298292592168,densenet121(12)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.0702815999975428,densenet121(13)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.06912908493541181,densenet121(14)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.057565768947824836,mobilenet_v2(15)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.026257127057760954,mobilenet_v2(16)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.025853088009171188,mobilenet_v2(17)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.026087814942002296,mobilenet_v2(18)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.025892307050526142,mobilenet_v2(19)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.022241594968363643,vgg16_bn_cifar10C(0)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.023359696031548083,vgg16_bn_cifar10C(1)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.024447445990517735,vgg16_bn_cifar10C(2)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.022293941932730377,vgg16_bn_cifar10C(3)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.022203477914445102,vgg16_bn_cifar10C(4)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.015322754043154418,resnet18_cifar10C(5)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.015252006938681006,resnet18_cifar10C(6)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.015293183969333768,resnet18_cifar10C(7)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.01537470193579793,resnet18_cifar10C(8)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.02472366497386247,resnet18_cifar10C(9)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.022332360967993736,vgg_model->finetune(0)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.023494724999181926,vgg_model->finetune(1)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.02227068494539708,vgg_model->finetune(2)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.02213299204595387,vgg_model->finetune(3)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.022211708943359554,vgg_model->finetune(4)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.03394229698460549,vgg_model->finetune(5)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.022333036991767585,vgg_model->finetune(6)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.02222175197675824,vgg_model->finetune(7)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.022279920056462288,vgg_model->finetune(8)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.022351969964802265,vgg_model->finetune(9)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.02229427103884518,"vgg_model->transfer(CIFAR10C, 0)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.022285922896116972,"vgg_model->transfer(CIFAR10C, 1)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.022376584936864674,"vgg_model->transfer(CIFAR10C, 2)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.022338548093102872,"vgg_model->transfer(CIFAR10C, 3)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.022273881011642516,"vgg_model->transfer(CIFAR10C, 4)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.02332036499865353,"vgg_model->transfer(CIFAR10C, 5)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.02232927700970322,"vgg_model->transfer(CIFAR10C, 6)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.02240245894063264,"vgg_model->transfer(CIFAR10C, 7)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.022340707015246153,"vgg_model->transfer(CIFAR10C, 8)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.022428896045312285,"vgg_model->transfer(CIFAR10C, 9)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.027713301009498537,vgg_model->fineprune(0)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.023482150048948824,vgg_model->fineprune(1)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.023610885022208095,vgg_model->fineprune(2)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.0234360140748322,vgg_model->fineprune(3)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.023393998970277607,vgg_model->fineprune(4)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.04066949605476111,vgg_model->fineprune(5)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.023232606006786227,vgg_model->fineprune(6)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.02339757001027465,vgg_model->fineprune(7)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.023412351962178946,vgg_model->fineprune(8)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.02511713106650859,vgg_model->fineprune(9)
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.019274325924925506,"vgg_model->label_extraction(vgg13, 0)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.018915207940153778,"vgg_model->label_extraction(vgg13, 1)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.018089501070789993,"vgg_model->label_extraction(vgg13, 2)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.023747119936160743,"vgg_model->label_extraction(vgg13, 3)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.017987353960052133,"vgg_model->label_extraction(vgg13, 4)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.015405729063786566,"vgg_model->label_extraction(resnet18, 5)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.015614698990248144,"vgg_model->label_extraction(resnet18, 6)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.018201821949332952,"vgg_model->label_extraction(resnet18, 7)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.015411833068355918,"vgg_model->label_extraction(resnet18, 8)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.015292700962163508,"vgg_model->label_extraction(resnet18, 9)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.06976795697119087,"vgg_model->label_extraction(densenet121, 10)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.06942702492233366,"vgg_model->label_extraction(densenet121, 11)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.06890552898403257,"vgg_model->label_extraction(densenet121, 12)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.06993655604310334,"vgg_model->label_extraction(densenet121, 13)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.06930557999294251,"vgg_model->label_extraction(densenet121, 14)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.026450064964592457,"vgg_model->label_extraction(mobilenet_v2, 15)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.025976637960411608,"vgg_model->label_extraction(mobilenet_v2, 16)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.026382563984952867,"vgg_model->label_extraction(mobilenet_v2, 17)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.025930470088496804,"vgg_model->label_extraction(mobilenet_v2, 18)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.02617831702809781,"vgg_model->label_extraction(mobilenet_v2, 19)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.01797997602261603,"vgg_model->adv_label_extraction(vgg13, 0)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.01801236509345472,"vgg_model->adv_label_extraction(vgg13, 1)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.017919176956638694,"vgg_model->adv_label_extraction(vgg13, 2)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.017953219008632004,"vgg_model->adv_label_extraction(vgg13, 3)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.0180067679611966,"vgg_model->adv_label_extraction(vgg13, 4)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.015418043942190707,"vgg_model->adv_label_extraction(resnet18, 5)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.015294798067770898,"vgg_model->adv_label_extraction(resnet18, 6)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.015343785053119063,"vgg_model->adv_label_extraction(resnet18, 7)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.01530425704549998,"vgg_model->adv_label_extraction(resnet18, 8)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.015356219024397433,"vgg_model->adv_label_extraction(resnet18, 9)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.07008600293193012,"vgg_model->adv_label_extraction(densenet121, 10)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.06911936297547072,"vgg_model->adv_label_extraction(densenet121, 11)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.06911860802210867,"vgg_model->adv_label_extraction(densenet121, 12)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.07055012800265104,"vgg_model->adv_label_extraction(densenet121, 13)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.06940581894014031,"vgg_model->adv_label_extraction(densenet121, 14)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.0265546259470284,"vgg_model->adv_label_extraction(mobilenet_v2, 15)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.025894424063153565,"vgg_model->adv_label_extraction(mobilenet_v2, 16)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.02595304697751999,"vgg_model->adv_label_extraction(mobilenet_v2, 17)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.026080204057507217,"vgg_model->adv_label_extraction(mobilenet_v2, 18)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.025946679059416056,"vgg_model->adv_label_extraction(mobilenet_v2, 19)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.01800860499497503,"vgg_model->probit_extraction(vgg13, 0)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.02966726291924715,"vgg_model->probit_extraction(vgg13, 1)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.018046058947220445,"vgg_model->probit_extraction(vgg13, 2)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.017994832945987582,"vgg_model->probit_extraction(vgg13, 3)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.018027544021606445,"vgg_model->probit_extraction(vgg13, 4)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.015420356998220086,"vgg_model->probit_extraction(resnet18, 5)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.015352701069787145,"vgg_model->probit_extraction(resnet18, 6)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.015408850973472,"vgg_model->probit_extraction(resnet18, 7)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.015464852913282812,"vgg_model->probit_extraction(resnet18, 8)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.015429917024448514,"vgg_model->probit_extraction(resnet18, 9)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.06984690297394991,"vgg_model->probit_extraction(densenet121, 10)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.06976432201918215,"vgg_model->probit_extraction(densenet121, 11)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.06944555405061692,"vgg_model->probit_extraction(densenet121, 12)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.0700785149820149,"vgg_model->probit_extraction(densenet121, 13)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.06912203505635262,"vgg_model->probit_extraction(densenet121, 14)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.02642088197171688,"vgg_model->probit_extraction(mobilenet_v2, 15)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.026173596968874335,"vgg_model->probit_extraction(mobilenet_v2, 16)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.026318705989979208,"vgg_model->probit_extraction(mobilenet_v2, 17)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.026110821054317057,"vgg_model->probit_extraction(mobilenet_v2, 18)"
CIFAR10,Adversarial,HardDDV,train,200,vgg_model,0.02633219992276281,"vgg_model->probit_extraction(mobilenet_v2, 19)"
