dataset,sampler,representation,split,budget,source_model,walltime,target_model
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.2423663119552657,
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.04239347006659955,vgg_model
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.031649098033085465,vgg13(0)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.03372643899638206,vgg13(1)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.031016523949801922,vgg13(2)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.03094699594657868,vgg13(3)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.03186307498253882,vgg13(4)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.0751577349146828,resnet18(5)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.0263510060030967,resnet18(6)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.02628972299862653,resnet18(7)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.02629528590478003,resnet18(8)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.026245448039844632,resnet18(9)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.19934166700113565,densenet121(10)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.11454296903684735,densenet121(11)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.11463825299870223,densenet121(12)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.11349994200281799,densenet121(13)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.11490064300596714,densenet121(14)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.0745725380256772,mobilenet_v2(15)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.043141157948412,mobilenet_v2(16)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.04286777402739972,mobilenet_v2(17)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.04272372298873961,mobilenet_v2(18)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.04320355597883463,mobilenet_v2(19)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.040553389000706375,vgg16_bn_cifar10C(0)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.03884502500295639,vgg16_bn_cifar10C(1)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.03882387594785541,vgg16_bn_cifar10C(2)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.040453368914313614,vgg16_bn_cifar10C(3)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.03895342908799648,vgg16_bn_cifar10C(4)
CIFAR10,Adversarial,HardSAC,train,400,vgg_model,0.02609083103016019,resnet18_cifar10C(5)
