value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.045323556987568736,vgg_model,vgg_model,CIFAR10,l2,HardSAC,Adversarial,train,50
0.17435595393180847,0.0001048060366883874,vgg_model,vgg13(0),CIFAR10,l2,HardSAC,Adversarial,train,50
0.20396077632904053,0.00008229597005993128,vgg_model,vgg13(1),CIFAR10,l2,HardSAC,Adversarial,train,50
0.16492421925067902,0.00007883110083639622,vgg_model,vgg13(2),CIFAR10,l2,HardSAC,Adversarial,train,50
0.18547236919403076,0.00008034997154027224,vgg_model,vgg13(3),CIFAR10,l2,HardSAC,Adversarial,train,50
0.15231546759605408,0.00007760303560644388,vgg_model,vgg13(4),CIFAR10,l2,HardSAC,Adversarial,train,50
0.2607681155204773,0.00007859291508793831,vgg_model,resnet18(5),CIFAR10,l2,HardSAC,Adversarial,train,50
0.2592296302318573,0.000078735058195889,vgg_model,resnet18(6),CIFAR10,l2,HardSAC,Adversarial,train,50
0.2172556072473526,0.00007734703831374645,vgg_model,resnet18(7),CIFAR10,l2,HardSAC,Adversarial,train,50
0.20591260492801666,0.00007575401104986668,vgg_model,resnet18(8),CIFAR10,l2,HardSAC,Adversarial,train,50
0.2416609227657318,0.00007637403905391693,vgg_model,resnet18(9),CIFAR10,l2,HardSAC,Adversarial,train,50
0.27422618865966797,0.00007539300713688135,vgg_model,densenet121(10),CIFAR10,l2,HardSAC,Adversarial,train,50
0.277128130197525,0.00007474806625396013,vgg_model,densenet121(11),CIFAR10,l2,HardSAC,Adversarial,train,50
0.2638181149959564,0.00007447297684848309,vgg_model,densenet121(12),CIFAR10,l2,HardSAC,Adversarial,train,50
0.2727636396884918,0.000075369025580585,vgg_model,densenet121(13),CIFAR10,l2,HardSAC,Adversarial,train,50
0.27422618865966797,0.00007471500430256128,vgg_model,densenet121(14),CIFAR10,l2,HardSAC,Adversarial,train,50
0.2529822289943695,0.00008305301889777184,vgg_model,mobilenet_v2(15),CIFAR10,l2,HardSAC,Adversarial,train,50
0.21166010200977325,0.00007408193778246641,vgg_model,mobilenet_v2(16),CIFAR10,l2,HardSAC,Adversarial,train,50
0.22978250682353973,0.00007455504965037107,vgg_model,mobilenet_v2(17),CIFAR10,l2,HardSAC,Adversarial,train,50
0.2576819658279419,0.0000744449207559228,vgg_model,mobilenet_v2(18),CIFAR10,l2,HardSAC,Adversarial,train,50
0.29664793610572815,0.00007439707405865192,vgg_model,mobilenet_v2(19),CIFAR10,l2,HardSAC,Adversarial,train,50
0.22449944913387299,0.00007413001731038094,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,l2,HardSAC,Adversarial,train,50
0.2513960897922516,0.00007351499516516924,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,l2,HardSAC,Adversarial,train,50
0.2545584440231323,0.00007327203638851643,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,l2,HardSAC,Adversarial,train,50
0.24331049621105194,0.00007354805711656809,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,l2,HardSAC,Adversarial,train,50
0.22090721130371094,0.00007297692354768515,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,l2,HardSAC,Adversarial,train,50
0.28982752561569214,0.0000735679641366005,vgg_model,resnet18_cifar10C(5),CIFAR10,l2,HardSAC,Adversarial,train,50
0.2638181149959564,0.00007406994700431824,vgg_model,resnet18_cifar10C(6),CIFAR10,l2,HardSAC,Adversarial,train,50
0.2756809592247009,0.00007439707405865192,vgg_model,resnet18_cifar10C(7),CIFAR10,l2,HardSAC,Adversarial,train,50
0.29257479310035706,0.00007337902206927538,vgg_model,resnet18_cifar10C(8),CIFAR10,l2,HardSAC,Adversarial,train,50
0.2800000011920929,0.00007397797890007496,vgg_model,resnet18_cifar10C(9),CIFAR10,l2,HardSAC,Adversarial,train,50
0.0,0.00007406005170196295,vgg_model,vgg_model->finetune(0),CIFAR10,l2,HardSAC,Adversarial,train,50
0.0,0.00008388294372707605,vgg_model,vgg_model->finetune(1),CIFAR10,l2,HardSAC,Adversarial,train,50
0.0,0.0000750980107113719,vgg_model,vgg_model->finetune(2),CIFAR10,l2,HardSAC,Adversarial,train,50
0.0,0.00007426808588206768,vgg_model,vgg_model->finetune(3),CIFAR10,l2,HardSAC,Adversarial,train,50
0.0,0.00007468590047210455,vgg_model,vgg_model->finetune(4),CIFAR10,l2,HardSAC,Adversarial,train,50
0.0,0.00007344700861722231,vgg_model,vgg_model->finetune(5),CIFAR10,l2,HardSAC,Adversarial,train,50
0.0,0.00007416808512061834,vgg_model,vgg_model->finetune(6),CIFAR10,l2,HardSAC,Adversarial,train,50
0.0,0.00007427693344652653,vgg_model,vgg_model->finetune(7),CIFAR10,l2,HardSAC,Adversarial,train,50
0.0,0.00007559009827673435,vgg_model,vgg_model->finetune(8),CIFAR10,l2,HardSAC,Adversarial,train,50
0.0,0.00007455796003341675,vgg_model,vgg_model->finetune(9),CIFAR10,l2,HardSAC,Adversarial,train,50
0.1673320084810257,0.00007429299876093864,vgg_model,"vgg_model->transfer(CIFAR10C, 0)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.14696939289569855,0.00007383804768323898,vgg_model,"vgg_model->transfer(CIFAR10C, 1)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.14696939289569855,0.00007483700755983591,vgg_model,"vgg_model->transfer(CIFAR10C, 2)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.1673320084810257,0.00007623701822012663,vgg_model,"vgg_model->transfer(CIFAR10C, 3)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.14696939289569855,0.0000751550542190671,vgg_model,"vgg_model->transfer(CIFAR10C, 4)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.16492421925067902,0.00007594109047204256,vgg_model,"vgg_model->transfer(CIFAR10C, 5)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.14422205090522766,0.00007406389340758324,vgg_model,"vgg_model->transfer(CIFAR10C, 6)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.14422205090522766,0.00007871701382100582,vgg_model,"vgg_model->transfer(CIFAR10C, 7)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.14422205090522766,0.000074514071457088,vgg_model,"vgg_model->transfer(CIFAR10C, 8)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.16492421925067902,0.00007478601764887571,vgg_model,"vgg_model->transfer(CIFAR10C, 9)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.0,0.00007523398380726576,vgg_model,vgg_model->fineprune(0),CIFAR10,l2,HardSAC,Adversarial,train,50
0.0,0.00007640302646905184,vgg_model,vgg_model->fineprune(1),CIFAR10,l2,HardSAC,Adversarial,train,50
0.0,0.00007512304000556469,vgg_model,vgg_model->fineprune(2),CIFAR10,l2,HardSAC,Adversarial,train,50
0.1549193412065506,0.0000744860153645277,vgg_model,vgg_model->fineprune(3),CIFAR10,l2,HardSAC,Adversarial,train,50
0.1549193412065506,0.00007422210182994604,vgg_model,vgg_model->fineprune(4),CIFAR10,l2,HardSAC,Adversarial,train,50
0.16970562934875488,0.0000749069731682539,vgg_model,vgg_model->fineprune(5),CIFAR10,l2,HardSAC,Adversarial,train,50
0.1326649934053421,0.00007472396828234196,vgg_model,vgg_model->fineprune(6),CIFAR10,l2,HardSAC,Adversarial,train,50
0.1385640650987625,0.00007508497219532728,vgg_model,vgg_model->fineprune(7),CIFAR10,l2,HardSAC,Adversarial,train,50
0.15231546759605408,0.0000742720440030098,vgg_model,vgg_model->fineprune(8),CIFAR10,l2,HardSAC,Adversarial,train,50
0.12649111449718475,0.00007796706631779671,vgg_model,vgg_model->fineprune(9),CIFAR10,l2,HardSAC,Adversarial,train,50
0.16248077154159546,0.00007443095091730356,vgg_model,"vgg_model->label_extraction(vgg13, 0)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.20199009776115417,0.00007453910075128078,vgg_model,"vgg_model->label_extraction(vgg13, 1)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.16492421925067902,0.00007465796079486609,vgg_model,"vgg_model->label_extraction(vgg13, 2)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.1959591805934906,0.00007524399552494287,vgg_model,"vgg_model->label_extraction(vgg13, 3)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.1959591805934906,0.00007437705062329769,vgg_model,"vgg_model->label_extraction(vgg13, 4)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.215406596660614,0.00008433300536125898,vgg_model,"vgg_model->label_extraction(resnet18, 5)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.2592296302318573,0.00007485807873308659,vgg_model,"vgg_model->label_extraction(resnet18, 6)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.2545584440231323,0.0000737430527806282,vgg_model,"vgg_model->label_extraction(resnet18, 7)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.2529822289943695,0.00007426994852721691,vgg_model,"vgg_model->label_extraction(resnet18, 8)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.22271057963371277,0.00007375795394182205,vgg_model,"vgg_model->label_extraction(resnet18, 9)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.2416609227657318,0.00007521407678723335,vgg_model,"vgg_model->label_extraction(densenet121, 10)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.20591260492801666,0.00007330894004553556,vgg_model,"vgg_model->label_extraction(densenet121, 11)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.23494680225849152,0.00008003995753824711,vgg_model,"vgg_model->label_extraction(densenet121, 12)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.2280350923538208,0.00007339695002883673,vgg_model,"vgg_model->label_extraction(densenet121, 13)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.24819347262382507,0.00007353594992309809,vgg_model,"vgg_model->label_extraction(densenet121, 14)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.2497999221086502,0.0000747250160202384,vgg_model,"vgg_model->label_extraction(mobilenet_v2, 15)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.18547236919403076,0.00007434992585331202,vgg_model,"vgg_model->label_extraction(mobilenet_v2, 16)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.23999999463558197,0.00007456203456968069,vgg_model,"vgg_model->label_extraction(mobilenet_v2, 17)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.2545584440231323,0.00007329403888434172,vgg_model,"vgg_model->label_extraction(mobilenet_v2, 18)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.22449944913387299,0.00007294304668903351,vgg_model,"vgg_model->label_extraction(mobilenet_v2, 19)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.2576819658279419,0.00007386098150163889,vgg_model,"vgg_model->adv_label_extraction(vgg13, 0)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.27129319310188293,0.00007312302477657795,vgg_model,"vgg_model->adv_label_extraction(vgg13, 1)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.2529822289943695,0.00007367297075688839,vgg_model,"vgg_model->adv_label_extraction(vgg13, 2)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.26832816004753113,0.00007434689905494452,vgg_model,"vgg_model->adv_label_extraction(vgg13, 3)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.24331049621105194,0.0000742180272936821,vgg_model,"vgg_model->adv_label_extraction(vgg13, 4)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.24819347262382507,0.00007301510777324438,vgg_model,"vgg_model->adv_label_extraction(resnet18, 5)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.25612497329711914,0.00008136406540870667,vgg_model,"vgg_model->adv_label_extraction(resnet18, 6)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.2727636396884918,0.00007361394818872213,vgg_model,"vgg_model->adv_label_extraction(resnet18, 7)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.24657656252384186,0.00007421791087836027,vgg_model,"vgg_model->adv_label_extraction(resnet18, 8)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.24331049621105194,0.00007434911094605923,vgg_model,"vgg_model->adv_label_extraction(resnet18, 9)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.277128130197525,0.00007370603270828724,vgg_model,"vgg_model->adv_label_extraction(densenet121, 10)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.26683327555656433,0.00007288402412086725,vgg_model,"vgg_model->adv_label_extraction(densenet121, 11)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.2576819658279419,0.00007401104085147381,vgg_model,"vgg_model->adv_label_extraction(densenet121, 12)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.2800000011920929,0.00008466106373816729,vgg_model,"vgg_model->adv_label_extraction(densenet121, 13)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.24331049621105194,0.00007375108543783426,vgg_model,"vgg_model->adv_label_extraction(densenet121, 14)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.29529646039009094,0.00007348693907260895,vgg_model,"vgg_model->adv_label_extraction(mobilenet_v2, 15)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.20199009776115417,0.00007408903911709785,vgg_model,"vgg_model->adv_label_extraction(mobilenet_v2, 16)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.26981475949287415,0.0000739699462428689,vgg_model,"vgg_model->adv_label_extraction(mobilenet_v2, 17)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.3059411644935608,0.00007376994471997023,vgg_model,"vgg_model->adv_label_extraction(mobilenet_v2, 18)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.2592296302318573,0.00007324106991291046,vgg_model,"vgg_model->adv_label_extraction(mobilenet_v2, 19)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.1414213478565216,0.00007423595525324345,vgg_model,"vgg_model->probit_extraction(vgg13, 0)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.16492421925067902,0.00007394806016236544,vgg_model,"vgg_model->probit_extraction(vgg13, 1)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.16492421925067902,0.00007463002111762762,vgg_model,"vgg_model->probit_extraction(vgg13, 2)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.16492421925067902,0.0000743999844416976,vgg_model,"vgg_model->probit_extraction(vgg13, 3)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.1414213478565216,0.00008037092629820108,vgg_model,"vgg_model->probit_extraction(vgg13, 4)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.20784610509872437,0.00007381197065114975,vgg_model,"vgg_model->probit_extraction(resnet18, 5)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.20784610509872437,0.00007423607166856527,vgg_model,"vgg_model->probit_extraction(resnet18, 6)",CIFAR10,l2,HardSAC,Adversarial,train,50
0.1720465123653412,0.00007386389188468456,vgg_model,"vgg_model->probit_extraction(resnet18, 7)",CIFAR10,l2,HardSAC,Adversarial,train,50
