value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
4.7683716530855236e-8,0.0007248410256579518,vgg_model,vgg_model,CIFAR10,cosine,Logits,Negative,train,20
0.3361518085002899,0.00012443203013390303,vgg_model,vgg13(0),CIFAR10,cosine,Logits,Negative,train,20
0.3968985676765442,0.00010526098776608706,vgg_model,vgg13(1),CIFAR10,cosine,Logits,Negative,train,20
0.3779827058315277,0.0001019530463963747,vgg_model,vgg13(2),CIFAR10,cosine,Logits,Negative,train,20
0.391504168510437,0.00010265293531119823,vgg_model,vgg13(3),CIFAR10,cosine,Logits,Negative,train,20
0.43548083305358887,0.00010132102761417627,vgg_model,vgg13(4),CIFAR10,cosine,Logits,Negative,train,20
0.478410542011261,0.00011238001752644777,vgg_model,resnet18(5),CIFAR10,cosine,Logits,Negative,train,20
0.45405834913253784,0.00010840198956429958,vgg_model,resnet18(6),CIFAR10,cosine,Logits,Negative,train,20
0.5412093997001648,0.0001010730629786849,vgg_model,resnet18(7),CIFAR10,cosine,Logits,Negative,train,20
0.4587758481502533,0.00010023999493569136,vgg_model,resnet18(8),CIFAR10,cosine,Logits,Negative,train,20
0.5081724524497986,0.00009980599861592054,vgg_model,resnet18(9),CIFAR10,cosine,Logits,Negative,train,20
0.47045332193374634,0.00009961798787117004,vgg_model,densenet121(10),CIFAR10,cosine,Logits,Negative,train,20
0.45866021513938904,0.0000994829460978508,vgg_model,densenet121(11),CIFAR10,cosine,Logits,Negative,train,20
0.5196725130081177,0.00009772693738341331,vgg_model,densenet121(12),CIFAR10,cosine,Logits,Negative,train,20
0.49227243661880493,0.00010048900730907917,vgg_model,densenet121(13),CIFAR10,cosine,Logits,Negative,train,20
0.4918431341648102,0.00009832694195210934,vgg_model,densenet121(14),CIFAR10,cosine,Logits,Negative,train,20
0.47169145941734314,0.00009968900121748447,vgg_model,mobilenet_v2(15),CIFAR10,cosine,Logits,Negative,train,20
0.4738767147064209,0.0000983319478109479,vgg_model,mobilenet_v2(16),CIFAR10,cosine,Logits,Negative,train,20
0.4429209232330322,0.00010161194950342178,vgg_model,mobilenet_v2(17),CIFAR10,cosine,Logits,Negative,train,20
0.5319410562515259,0.00009909097570925951,vgg_model,mobilenet_v2(18),CIFAR10,cosine,Logits,Negative,train,20
0.43803033232688904,0.00011470692697912455,vgg_model,mobilenet_v2(19),CIFAR10,cosine,Logits,Negative,train,20
0.3885791599750519,0.00009905698243528605,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,cosine,Logits,Negative,train,20
0.38590317964553833,0.00009908201172947884,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,cosine,Logits,Negative,train,20
0.39431825280189514,0.00009944301564246416,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,cosine,Logits,Negative,train,20
0.35335034132003784,0.0000976460287347436,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,cosine,Logits,Negative,train,20
0.35277047753334045,0.0000984719954431057,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,cosine,Logits,Negative,train,20
0.45138296484947205,0.00009823497384786606,vgg_model,resnet18_cifar10C(5),CIFAR10,cosine,Logits,Negative,train,20
0.5045957565307617,0.00009846803732216358,vgg_model,resnet18_cifar10C(6),CIFAR10,cosine,Logits,Negative,train,20
0.48177534341812134,0.00009799690451472998,vgg_model,resnet18_cifar10C(7),CIFAR10,cosine,Logits,Negative,train,20
0.4619395136833191,0.00009782204870134592,vgg_model,resnet18_cifar10C(8),CIFAR10,cosine,Logits,Negative,train,20
0.469881534576416,0.00009791797492653131,vgg_model,resnet18_cifar10C(9),CIFAR10,cosine,Logits,Negative,train,20
0.03265951946377754,0.00009923195466399193,vgg_model,vgg_model->finetune(0),CIFAR10,cosine,Logits,Negative,train,20
0.03856624662876129,0.00009738700464367867,vgg_model,vgg_model->finetune(1),CIFAR10,cosine,Logits,Negative,train,20
0.04553914815187454,0.00010030798148363829,vgg_model,vgg_model->finetune(2),CIFAR10,cosine,Logits,Negative,train,20
0.0390801839530468,0.0000979710603132844,vgg_model,vgg_model->finetune(3),CIFAR10,cosine,Logits,Negative,train,20
0.03727316856384277,0.00010977196507155895,vgg_model,vgg_model->finetune(4),CIFAR10,cosine,Logits,Negative,train,20
0.041702672839164734,0.00009822798892855644,vgg_model,vgg_model->finetune(5),CIFAR10,cosine,Logits,Negative,train,20
0.05029083415865898,0.0000985580263659358,vgg_model,vgg_model->finetune(6),CIFAR10,cosine,Logits,Negative,train,20
0.03744687885046005,0.00009995000436902046,vgg_model,vgg_model->finetune(7),CIFAR10,cosine,Logits,Negative,train,20
0.03631722554564476,0.00009738898370414972,vgg_model,vgg_model->finetune(8),CIFAR10,cosine,Logits,Negative,train,20
0.039358608424663544,0.00009848701301962137,vgg_model,vgg_model->finetune(9),CIFAR10,cosine,Logits,Negative,train,20
0.13097696006298065,0.00009721494279801846,vgg_model,"vgg_model->transfer(CIFAR10C, 0)",CIFAR10,cosine,Logits,Negative,train,20
0.12092067301273346,0.00009907991625368595,vgg_model,"vgg_model->transfer(CIFAR10C, 1)",CIFAR10,cosine,Logits,Negative,train,20
0.11805174499750137,0.0000980099430307746,vgg_model,"vgg_model->transfer(CIFAR10C, 2)",CIFAR10,cosine,Logits,Negative,train,20
0.13223043084144592,0.00010588800068944693,vgg_model,"vgg_model->transfer(CIFAR10C, 3)",CIFAR10,cosine,Logits,Negative,train,20
0.11722661554813385,0.00009755103383213282,vgg_model,"vgg_model->transfer(CIFAR10C, 4)",CIFAR10,cosine,Logits,Negative,train,20
0.12550069391727448,0.00009835907258093357,vgg_model,"vgg_model->transfer(CIFAR10C, 5)",CIFAR10,cosine,Logits,Negative,train,20
0.12155566364526749,0.00009808107279241085,vgg_model,"vgg_model->transfer(CIFAR10C, 6)",CIFAR10,cosine,Logits,Negative,train,20
0.12836000323295593,0.00009719899389892817,vgg_model,"vgg_model->transfer(CIFAR10C, 7)",CIFAR10,cosine,Logits,Negative,train,20
0.12930521368980408,0.00010358099825680256,vgg_model,"vgg_model->transfer(CIFAR10C, 8)",CIFAR10,cosine,Logits,Negative,train,20
0.12609021365642548,0.00009783299174159765,vgg_model,"vgg_model->transfer(CIFAR10C, 9)",CIFAR10,cosine,Logits,Negative,train,20
0.0010986864799633622,0.00009862601291388273,vgg_model,vgg_model->fineprune(0),CIFAR10,cosine,Logits,Negative,train,20
0.020572345703840256,0.00009772204793989658,vgg_model,vgg_model->fineprune(1),CIFAR10,cosine,Logits,Negative,train,20
0.03959320858120918,0.00009826302994042635,vgg_model,vgg_model->fineprune(2),CIFAR10,cosine,Logits,Negative,train,20
0.07054357975721359,0.00009810703340917826,vgg_model,vgg_model->fineprune(3),CIFAR10,cosine,Logits,Negative,train,20
0.08830322325229645,0.00011172308586537838,vgg_model,vgg_model->fineprune(4),CIFAR10,cosine,Logits,Negative,train,20
0.10412268340587616,0.00009836303070187569,vgg_model,vgg_model->fineprune(5),CIFAR10,cosine,Logits,Negative,train,20
0.12134917825460434,0.00009793101344257593,vgg_model,vgg_model->fineprune(6),CIFAR10,cosine,Logits,Negative,train,20
0.13984812796115875,0.00009879900608211756,vgg_model,vgg_model->fineprune(7),CIFAR10,cosine,Logits,Negative,train,20
0.1356523334980011,0.00009838701225817204,vgg_model,vgg_model->fineprune(8),CIFAR10,cosine,Logits,Negative,train,20
0.14765362441539764,0.00010300707072019577,vgg_model,vgg_model->fineprune(9),CIFAR10,cosine,Logits,Negative,train,20
0.1747979074716568,0.0001079910434782505,vgg_model,"vgg_model->label_extraction(vgg13, 0)",CIFAR10,cosine,Logits,Negative,train,20
0.21596431732177734,0.00009987701196223497,vgg_model,"vgg_model->label_extraction(vgg13, 1)",CIFAR10,cosine,Logits,Negative,train,20
0.15794190764427185,0.00009890098590403795,vgg_model,"vgg_model->label_extraction(vgg13, 2)",CIFAR10,cosine,Logits,Negative,train,20
0.21993093192577362,0.00010049494449049234,vgg_model,"vgg_model->label_extraction(vgg13, 3)",CIFAR10,cosine,Logits,Negative,train,20
0.21172626316547394,0.00009895896073430777,vgg_model,"vgg_model->label_extraction(vgg13, 4)",CIFAR10,cosine,Logits,Negative,train,20
0.24879570305347443,0.00009918899741023779,vgg_model,"vgg_model->label_extraction(resnet18, 5)",CIFAR10,cosine,Logits,Negative,train,20
0.22784936428070068,0.00009930203668773174,vgg_model,"vgg_model->label_extraction(resnet18, 6)",CIFAR10,cosine,Logits,Negative,train,20
0.21514657139778137,0.00009882089216262102,vgg_model,"vgg_model->label_extraction(resnet18, 7)",CIFAR10,cosine,Logits,Negative,train,20
0.21445229649543762,0.00009872508235275745,vgg_model,"vgg_model->label_extraction(resnet18, 8)",CIFAR10,cosine,Logits,Negative,train,20
0.21862518787384033,0.00010871398262679577,vgg_model,"vgg_model->label_extraction(resnet18, 9)",CIFAR10,cosine,Logits,Negative,train,20
0.3024046719074249,0.00009811401832848787,vgg_model,"vgg_model->label_extraction(densenet121, 10)",CIFAR10,cosine,Logits,Negative,train,20
0.21496839821338654,0.00009762996342033148,vgg_model,"vgg_model->label_extraction(densenet121, 11)",CIFAR10,cosine,Logits,Negative,train,20
0.25530776381492615,0.0000985519727692008,vgg_model,"vgg_model->label_extraction(densenet121, 12)",CIFAR10,cosine,Logits,Negative,train,20
0.26973146200180054,0.00009687105193734169,vgg_model,"vgg_model->label_extraction(densenet121, 13)",CIFAR10,cosine,Logits,Negative,train,20
0.23574349284172058,0.00009874696843326092,vgg_model,"vgg_model->label_extraction(densenet121, 14)",CIFAR10,cosine,Logits,Negative,train,20
0.21800987422466278,0.00009785895235836506,vgg_model,"vgg_model->label_extraction(mobilenet_v2, 15)",CIFAR10,cosine,Logits,Negative,train,20
0.2671394348144531,0.00009793299250304699,vgg_model,"vgg_model->label_extraction(mobilenet_v2, 16)",CIFAR10,cosine,Logits,Negative,train,20
0.2970634400844574,0.00009845197200775146,vgg_model,"vgg_model->label_extraction(mobilenet_v2, 17)",CIFAR10,cosine,Logits,Negative,train,20
0.28792792558670044,0.0000983730424195528,vgg_model,"vgg_model->label_extraction(mobilenet_v2, 18)",CIFAR10,cosine,Logits,Negative,train,20
0.2991963028907776,0.00009762798435986042,vgg_model,"vgg_model->label_extraction(mobilenet_v2, 19)",CIFAR10,cosine,Logits,Negative,train,20
0.21847689151763916,0.00009849399793893099,vgg_model,"vgg_model->adv_label_extraction(vgg13, 0)",CIFAR10,cosine,Logits,Negative,train,20
0.22765536606311798,0.00009815592784434557,vgg_model,"vgg_model->adv_label_extraction(vgg13, 1)",CIFAR10,cosine,Logits,Negative,train,20
0.22019903361797333,0.00009845092426985502,vgg_model,"vgg_model->adv_label_extraction(vgg13, 2)",CIFAR10,cosine,Logits,Negative,train,20
0.24169377982616425,0.00009751296602189541,vgg_model,"vgg_model->adv_label_extraction(vgg13, 3)",CIFAR10,cosine,Logits,Negative,train,20
0.24241384863853455,0.00010772701352834702,vgg_model,"vgg_model->adv_label_extraction(vgg13, 4)",CIFAR10,cosine,Logits,Negative,train,20
0.25339388847351074,0.0000988891115412116,vgg_model,"vgg_model->adv_label_extraction(resnet18, 5)",CIFAR10,cosine,Logits,Negative,train,20
0.2423965483903885,0.00009821506682783365,vgg_model,"vgg_model->adv_label_extraction(resnet18, 6)",CIFAR10,cosine,Logits,Negative,train,20
0.25606557726860046,0.00009816302917897701,vgg_model,"vgg_model->adv_label_extraction(resnet18, 7)",CIFAR10,cosine,Logits,Negative,train,20
0.230198934674263,0.00009810796473175287,vgg_model,"vgg_model->adv_label_extraction(resnet18, 8)",CIFAR10,cosine,Logits,Negative,train,20
0.20283322036266327,0.00009771401528269053,vgg_model,"vgg_model->adv_label_extraction(resnet18, 9)",CIFAR10,cosine,Logits,Negative,train,20
0.2821739912033081,0.00009836792014539242,vgg_model,"vgg_model->adv_label_extraction(densenet121, 10)",CIFAR10,cosine,Logits,Negative,train,20
0.2496408224105835,0.00009685195982456207,vgg_model,"vgg_model->adv_label_extraction(densenet121, 11)",CIFAR10,cosine,Logits,Negative,train,20
0.2710666060447693,0.00009776896331459284,vgg_model,"vgg_model->adv_label_extraction(densenet121, 12)",CIFAR10,cosine,Logits,Negative,train,20
0.3102424144744873,0.00009817397221922874,vgg_model,"vgg_model->adv_label_extraction(densenet121, 13)",CIFAR10,cosine,Logits,Negative,train,20
0.22197410464286804,0.00009710702579468489,vgg_model,"vgg_model->adv_label_extraction(densenet121, 14)",CIFAR10,cosine,Logits,Negative,train,20
0.2514621615409851,0.00009655498433858156,vgg_model,"vgg_model->adv_label_extraction(mobilenet_v2, 15)",CIFAR10,cosine,Logits,Negative,train,20
0.30387645959854126,0.00009746209252625704,vgg_model,"vgg_model->adv_label_extraction(mobilenet_v2, 16)",CIFAR10,cosine,Logits,Negative,train,20
0.3244117200374603,0.00009799795225262642,vgg_model,"vgg_model->adv_label_extraction(mobilenet_v2, 17)",CIFAR10,cosine,Logits,Negative,train,20
0.29534077644348145,0.00009825697634369135,vgg_model,"vgg_model->adv_label_extraction(mobilenet_v2, 18)",CIFAR10,cosine,Logits,Negative,train,20
0.310433030128479,0.00009760807733982801,vgg_model,"vgg_model->adv_label_extraction(mobilenet_v2, 19)",CIFAR10,cosine,Logits,Negative,train,20
0.08646202832460403,0.00009853998199105263,vgg_model,"vgg_model->probit_extraction(vgg13, 0)",CIFAR10,cosine,Logits,Negative,train,20
0.11054898798465729,0.00009898096323013306,vgg_model,"vgg_model->probit_extraction(vgg13, 1)",CIFAR10,cosine,Logits,Negative,train,20
0.09817662090063095,0.000107248080894351,vgg_model,"vgg_model->probit_extraction(vgg13, 2)",CIFAR10,cosine,Logits,Negative,train,20
0.1154332384467125,0.00009792693890631199,vgg_model,"vgg_model->probit_extraction(vgg13, 3)",CIFAR10,cosine,Logits,Negative,train,20
0.1117309182882309,0.00010548392310738564,vgg_model,"vgg_model->probit_extraction(vgg13, 4)",CIFAR10,cosine,Logits,Negative,train,20
0.2026558220386505,0.00009781401604413986,vgg_model,"vgg_model->probit_extraction(resnet18, 5)",CIFAR10,cosine,Logits,Negative,train,20
0.2210732400417328,0.00009802007116377354,vgg_model,"vgg_model->probit_extraction(resnet18, 6)",CIFAR10,cosine,Logits,Negative,train,20
0.20644024014472961,0.00009832903742790222,vgg_model,"vgg_model->probit_extraction(resnet18, 7)",CIFAR10,cosine,Logits,Negative,train,20
0.1654386818408966,0.0000978660536929965,vgg_model,"vgg_model->probit_extraction(resnet18, 8)",CIFAR10,cosine,Logits,Negative,train,20
0.1888507455587387,0.00009838899131864309,vgg_model,"vgg_model->probit_extraction(resnet18, 9)",CIFAR10,cosine,Logits,Negative,train,20
0.1467605084180832,0.00009759305976331234,vgg_model,"vgg_model->probit_extraction(densenet121, 10)",CIFAR10,cosine,Logits,Negative,train,20
0.18664194643497467,0.00010307703632861376,vgg_model,"vgg_model->probit_extraction(densenet121, 11)",CIFAR10,cosine,Logits,Negative,train,20
0.18891766667366028,0.00009761203546077013,vgg_model,"vgg_model->probit_extraction(densenet121, 12)",CIFAR10,cosine,Logits,Negative,train,20
0.1643395870923996,0.00010785798076540232,vgg_model,"vgg_model->probit_extraction(densenet121, 13)",CIFAR10,cosine,Logits,Negative,train,20
0.17702515423297882,0.00009709002915769815,vgg_model,"vgg_model->probit_extraction(densenet121, 14)",CIFAR10,cosine,Logits,Negative,train,20
0.1809413731098175,0.00009740004315972328,vgg_model,"vgg_model->probit_extraction(mobilenet_v2, 15)",CIFAR10,cosine,Logits,Negative,train,20
0.14999473094940186,0.00022849696688354015,vgg_model,"vgg_model->probit_extraction(mobilenet_v2, 16)",CIFAR10,cosine,Logits,Negative,train,20
0.2997589707374573,0.00009876606054604053,vgg_model,"vgg_model->probit_extraction(mobilenet_v2, 17)",CIFAR10,cosine,Logits,Negative,train,20
0.14435209333896637,0.00009891099762171507,vgg_model,"vgg_model->probit_extraction(mobilenet_v2, 18)",CIFAR10,cosine,Logits,Negative,train,20
0.22863073647022247,0.00009783206041902304,vgg_model,"vgg_model->probit_extraction(mobilenet_v2, 19)",CIFAR10,cosine,Logits,Negative,train,20
