dataset,sampler,representation,split,budget,source_model,walltime,target_model
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.3200404980452731,
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.02263846795540303,vgg_model
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.01884020701982081,vgg13(0)
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.01809070399031043,vgg13(1)
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.018004636047407985,vgg13(2)
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.018118407926522195,vgg13(3)
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.020607712911441922,vgg13(4)
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.08990428503602743,resnet18(5)
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.02124535304028541,resnet18(6)
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.015480755013413727,resnet18(7)
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.018280306947417557,resnet18(8)
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.020495321950875223,resnet18(9)
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.15776657999958843,densenet121(10)
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.06890657497569919,densenet121(11)
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.0699554979801178,densenet121(12)
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.06894094601739198,densenet121(13)
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.06903955701272935,densenet121(14)
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.0588678689673543,mobilenet_v2(15)
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.02624015195760876,mobilenet_v2(16)
CIFAR10,NegativeAdversarial,HardDDV,train,200,vgg_model,0.026151414029300213,mobilenet_v2(17)
