value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.00042085396125912666,vgg_model,vgg_model,CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.5299999713897705,0.00006297207437455654,vgg_model,vgg13(0),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.5450000166893005,0.000092698959633708,vgg_model,vgg13(1),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.5575000047683716,0.000054108910262584686,vgg_model,vgg13(2),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.5375000238418579,0.00005404907278716564,vgg_model,vgg13(3),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.5425000190734863,0.000053619034588336945,vgg_model,vgg13(4),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.7674999833106995,0.00006194598972797394,vgg_model,resnet18(5),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.7774999737739563,0.00014280597679316998,vgg_model,resnet18(6),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.75,0.00005336105823516846,vgg_model,resnet18(7),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.7149999737739563,0.00005278701428323984,vgg_model,resnet18(8),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.7774999737739563,0.00011814094614237547,vgg_model,resnet18(9),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.8075000047683716,0.000053156050853431225,vgg_model,densenet121(10),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.7799999713897705,0.00005270203109830618,vgg_model,densenet121(11),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.7799999713897705,0.00005170400254428387,vgg_model,densenet121(12),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.8025000095367432,0.00005189003422856331,vgg_model,densenet121(13),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.7875000238418579,0.00005212507676333189,vgg_model,densenet121(14),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.7149999737739563,0.00005191797390580177,vgg_model,mobilenet_v2(15),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.7574999928474426,0.00005199701990932226,vgg_model,mobilenet_v2(16),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.7599999904632568,0.00014102598652243614,vgg_model,mobilenet_v2(17),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.7475000023841858,0.00005230598617345095,vgg_model,mobilenet_v2(18),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.6725000143051147,0.00005227094516158104,vgg_model,mobilenet_v2(19),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.4975000023841858,0.00005251204129308462,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.5149999856948853,0.00005120399873703718,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.5024999976158142,0.00012581900227814913,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
0.4925000071525574,0.00005082495044916868,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,hamming,Labels,NegativeAdversarial,train,400
