dataset,sampler,representation,split,budget,source_model,walltime,target_model
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.21669199003372341,
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012489732005633414,vgg_model
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.009796236059628427,vgg13(0)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.009876025025732815,vgg13(1)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.009815525962039828,vgg13(2)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.009681452997028828,vgg13(3)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.009678787901066244,vgg13(4)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.04919204895850271,resnet18(5)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.007968679070472717,resnet18(6)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.007947369012981653,resnet18(7)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.007981706061400473,resnet18(8)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.008005311014130712,resnet18(9)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.11775992694310844,densenet121(10)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.0336956080282107,densenet121(11)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.0337516029831022,densenet121(12)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.03370787692256272,densenet121(13)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.03358570404816419,densenet121(14)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.04331547301262617,mobilenet_v2(15)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012681391090154648,mobilenet_v2(16)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012698868988081813,mobilenet_v2(17)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012610696954652667,mobilenet_v2(18)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012750186026096344,mobilenet_v2(19)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012055687955580652,vgg16_bn_cifar10C(0)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012071136035956442,vgg16_bn_cifar10C(1)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012130027986131608,vgg16_bn_cifar10C(2)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012129181995987892,vgg16_bn_cifar10C(3)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.01219000795390457,vgg16_bn_cifar10C(4)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.008099425002001226,resnet18_cifar10C(5)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.008091447991319,resnet18_cifar10C(6)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.008135658921673894,resnet18_cifar10C(7)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.008183264988474548,resnet18_cifar10C(8)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.008274546940810978,resnet18_cifar10C(9)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012191487941890955,vgg_model->finetune(0)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.01215717289596796,vgg_model->finetune(1)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012071145931258798,vgg_model->finetune(2)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012216472998261452,vgg_model->finetune(3)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012207239051349461,vgg_model->finetune(4)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012271180981770158,vgg_model->finetune(5)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012321840971708298,vgg_model->finetune(6)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.01210137503221631,vgg_model->finetune(7)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012092972989194095,vgg_model->finetune(8)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012085743946954608,vgg_model->finetune(9)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012092543067410588,"vgg_model->transfer(CIFAR10C, 0)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012088180053979158,"vgg_model->transfer(CIFAR10C, 1)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.0120975689496845,"vgg_model->transfer(CIFAR10C, 2)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012130688992328942,"vgg_model->transfer(CIFAR10C, 3)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012112163007259369,"vgg_model->transfer(CIFAR10C, 4)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012077125953510404,"vgg_model->transfer(CIFAR10C, 5)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012064437032677233,"vgg_model->transfer(CIFAR10C, 6)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.011850186972878873,"vgg_model->transfer(CIFAR10C, 7)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.011841338011436164,"vgg_model->transfer(CIFAR10C, 8)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.011781802983023226,"vgg_model->transfer(CIFAR10C, 9)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.016345820971764624,vgg_model->fineprune(0)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012372986995615065,vgg_model->fineprune(1)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012767294072546065,vgg_model->fineprune(2)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.01242796704173088,vgg_model->fineprune(3)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012722251936793327,vgg_model->fineprune(4)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.01270266599021852,vgg_model->fineprune(5)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012715663993731141,vgg_model->fineprune(6)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.0126724160509184,vgg_model->fineprune(7)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012718657031655312,vgg_model->fineprune(8)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012698452919721603,vgg_model->fineprune(9)
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.009765808936208487,"vgg_model->label_extraction(vgg13, 0)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.010592250968329608,"vgg_model->label_extraction(vgg13, 1)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.009778427076525986,"vgg_model->label_extraction(vgg13, 2)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.010386536945588887,"vgg_model->label_extraction(vgg13, 3)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.009589576977305114,"vgg_model->label_extraction(vgg13, 4)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.007952220970764756,"vgg_model->label_extraction(resnet18, 5)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.007980335038155317,"vgg_model->label_extraction(resnet18, 6)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.007988196914084256,"vgg_model->label_extraction(resnet18, 7)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.007988402037881315,"vgg_model->label_extraction(resnet18, 8)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.007967959973029792,"vgg_model->label_extraction(resnet18, 9)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.03410763491410762,"vgg_model->label_extraction(densenet121, 10)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.033800930017605424,"vgg_model->label_extraction(densenet121, 11)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.03388073400128633,"vgg_model->label_extraction(densenet121, 12)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.03400947491172701,"vgg_model->label_extraction(densenet121, 13)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.03382232610601932,"vgg_model->label_extraction(densenet121, 14)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012711063027381897,"vgg_model->label_extraction(mobilenet_v2, 15)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012723048916086555,"vgg_model->label_extraction(mobilenet_v2, 16)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012727326015010476,"vgg_model->label_extraction(mobilenet_v2, 17)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012600555899553001,"vgg_model->label_extraction(mobilenet_v2, 18)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012723137042485178,"vgg_model->label_extraction(mobilenet_v2, 19)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.017389790038578212,"vgg_model->adv_label_extraction(vgg13, 0)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.015232022968120873,"vgg_model->adv_label_extraction(vgg13, 1)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.009628644096665084,"vgg_model->adv_label_extraction(vgg13, 2)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.010853292071260512,"vgg_model->adv_label_extraction(vgg13, 3)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.009537719073705375,"vgg_model->adv_label_extraction(vgg13, 4)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.007942707976326346,"vgg_model->adv_label_extraction(resnet18, 5)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.007972582941874862,"vgg_model->adv_label_extraction(resnet18, 6)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.008223503013141453,"vgg_model->adv_label_extraction(resnet18, 7)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.008292019017972052,"vgg_model->adv_label_extraction(resnet18, 8)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.009152451995760202,"vgg_model->adv_label_extraction(resnet18, 9)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.03578653500881046,"vgg_model->adv_label_extraction(densenet121, 10)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.0357657540589571,"vgg_model->adv_label_extraction(densenet121, 11)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.035167329013347626,"vgg_model->adv_label_extraction(densenet121, 12)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.03521421109326184,"vgg_model->adv_label_extraction(densenet121, 13)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.03517128503881395,"vgg_model->adv_label_extraction(densenet121, 14)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.013257658923976123,"vgg_model->adv_label_extraction(mobilenet_v2, 15)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.013316400931216776,"vgg_model->adv_label_extraction(mobilenet_v2, 16)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.013658147072419524,"vgg_model->adv_label_extraction(mobilenet_v2, 17)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.013706460944376886,"vgg_model->adv_label_extraction(mobilenet_v2, 18)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.013679897063411772,"vgg_model->adv_label_extraction(mobilenet_v2, 19)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.00969851203262806,"vgg_model->probit_extraction(vgg13, 0)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.010697345016524196,"vgg_model->probit_extraction(vgg13, 1)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.009647339931689203,"vgg_model->probit_extraction(vgg13, 2)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.012015766929835081,"vgg_model->probit_extraction(vgg13, 3)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.009875226998701692,"vgg_model->probit_extraction(vgg13, 4)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.008234209031797945,"vgg_model->probit_extraction(resnet18, 5)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.00833831902127713,"vgg_model->probit_extraction(resnet18, 6)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.008345789043232799,"vgg_model->probit_extraction(resnet18, 7)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.008344965055584908,"vgg_model->probit_extraction(resnet18, 8)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.008234467008151114,"vgg_model->probit_extraction(resnet18, 9)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.035418499959632754,"vgg_model->probit_extraction(densenet121, 10)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.035305951023474336,"vgg_model->probit_extraction(densenet121, 11)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.035303794080391526,"vgg_model->probit_extraction(densenet121, 12)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.03581271204166114,"vgg_model->probit_extraction(densenet121, 13)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.03591820003930479,"vgg_model->probit_extraction(densenet121, 14)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.013842143001966178,"vgg_model->probit_extraction(mobilenet_v2, 15)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.013914335984736681,"vgg_model->probit_extraction(mobilenet_v2, 16)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.01342701690737158,"vgg_model->probit_extraction(mobilenet_v2, 17)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.013405909994617105,"vgg_model->probit_extraction(mobilenet_v2, 18)"
CIFAR10,NegativeAugment,HardSAC,train,100,vgg_model,0.01340440206695348,"vgg_model->probit_extraction(mobilenet_v2, 19)"
