value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
6.735324831197431e-8,0.0008338990155607462,vgg_model,vgg_model,CIFAR10,cosine,Logits,NegativeAugment,train,400
0.37602320313453674,0.0001800450263544917,vgg_model,vgg13(0),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.3951672315597534,0.00017278501763939857,vgg_model,vgg13(1),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.36369019746780396,0.00016145803965628147,vgg_model,vgg13(2),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.36500653624534607,0.00015815801452845335,vgg_model,vgg13(3),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.38452595472335815,0.00015722797252237797,vgg_model,vgg13(4),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.3702634871006012,0.00015674997121095657,vgg_model,resnet18(5),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.3868429958820343,0.00016255700029432774,vgg_model,resnet18(6),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.38468310236930847,0.00029833801090717316,vgg_model,resnet18(7),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.3533013164997101,0.0001630689948797226,vgg_model,resnet18(8),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.3776990473270416,0.00016203999985009432,vgg_model,resnet18(9),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.40891751646995544,0.00015413202345371246,vgg_model,densenet121(10),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.3945685625076294,0.00015549897216260433,vgg_model,densenet121(11),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.4061026871204376,0.00015480304136872292,vgg_model,densenet121(12),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.4237474501132965,0.0001882760552689433,vgg_model,densenet121(13),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.4052088260650635,0.00016792002134025097,vgg_model,densenet121(14),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.36995720863342285,0.00015530595555901527,vgg_model,mobilenet_v2(15),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.3848276138305664,0.0003033149987459183,vgg_model,mobilenet_v2(16),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.37909001111984253,0.00015658605843782425,vgg_model,mobilenet_v2(17),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.3735174536705017,0.00017270294483751059,vgg_model,mobilenet_v2(18),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.35506579279899597,0.00015498499851673841,vgg_model,mobilenet_v2(19),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.34007272124290466,0.00015599001199007034,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.338016539812088,0.00015563296619802713,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.38218268752098083,0.0001546910498291254,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.32259896397590637,0.00016612198669463396,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.3524596095085144,0.00015392201021313667,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.36883625388145447,0.00015330291353166103,vgg_model,resnet18_cifar10C(5),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.42371392250061035,0.00015639199409633875,vgg_model,resnet18_cifar10C(6),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.4069393277168274,0.0001566259888932109,vgg_model,resnet18_cifar10C(7),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.3757670223712921,0.00015420897398144007,vgg_model,resnet18_cifar10C(8),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.40136396884918213,0.0001558290095999837,vgg_model,resnet18_cifar10C(9),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.02421528846025467,0.00015607592649757862,vgg_model,vgg_model->finetune(0),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.028256606310606003,0.00016975507605820894,vgg_model,vgg_model->finetune(1),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.027462048456072807,0.0003602900542318821,vgg_model,vgg_model->finetune(2),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.028548195958137512,0.0001565659185871482,vgg_model,vgg_model->finetune(3),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.02595478482544422,0.00015559594612568617,vgg_model,vgg_model->finetune(4),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.028874635696411133,0.00015388010069727898,vgg_model,vgg_model->finetune(5),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.029071101918816566,0.00015408499166369438,vgg_model,vgg_model->finetune(6),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.026836611330509186,0.00015453400555998087,vgg_model,vgg_model->finetune(7),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.0264718160033226,0.00015428895130753517,vgg_model,vgg_model->finetune(8),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.02917918935418129,0.0001532159512862563,vgg_model,vgg_model->finetune(9),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.10025788098573685,0.00015441607683897018,vgg_model,"vgg_model->transfer(CIFAR10C, 0)",CIFAR10,cosine,Logits,NegativeAugment,train,400
0.09733331948518753,0.00015437498223036528,vgg_model,"vgg_model->transfer(CIFAR10C, 1)",CIFAR10,cosine,Logits,NegativeAugment,train,400
0.09470632672309875,0.0001545959385111928,vgg_model,"vgg_model->transfer(CIFAR10C, 2)",CIFAR10,cosine,Logits,NegativeAugment,train,400
0.09821899235248566,0.00020967295859009027,vgg_model,"vgg_model->transfer(CIFAR10C, 3)",CIFAR10,cosine,Logits,NegativeAugment,train,400
0.09518862515687943,0.00015413493383675814,vgg_model,"vgg_model->transfer(CIFAR10C, 4)",CIFAR10,cosine,Logits,NegativeAugment,train,400
0.11758814007043839,0.0003157369792461395,vgg_model,"vgg_model->transfer(CIFAR10C, 5)",CIFAR10,cosine,Logits,NegativeAugment,train,400
0.11850933730602264,0.0001628840109333396,vgg_model,"vgg_model->transfer(CIFAR10C, 6)",CIFAR10,cosine,Logits,NegativeAugment,train,400
0.11886145919561386,0.00036054709926247597,vgg_model,"vgg_model->transfer(CIFAR10C, 7)",CIFAR10,cosine,Logits,NegativeAugment,train,400
0.11665749549865723,0.00016085105016827583,vgg_model,"vgg_model->transfer(CIFAR10C, 8)",CIFAR10,cosine,Logits,NegativeAugment,train,400
0.12162661552429199,0.00016212102491408587,vgg_model,"vgg_model->transfer(CIFAR10C, 9)",CIFAR10,cosine,Logits,NegativeAugment,train,400
0.0007132393075153232,0.00015511398669332266,vgg_model,vgg_model->fineprune(0),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.011232351884245872,0.0001540210796520114,vgg_model,vgg_model->fineprune(1),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.017949774861335754,0.00015395006630569696,vgg_model,vgg_model->fineprune(2),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.03317181393504143,0.0002790079452097416,vgg_model,vgg_model->fineprune(3),CIFAR10,cosine,Logits,NegativeAugment,train,400
0.04192979633808136,0.0001541550736874342,vgg_model,vgg_model->fineprune(4),CIFAR10,cosine,Logits,NegativeAugment,train,400
