dataset,sampler,representation,split,budget,source_model,walltime,target_model
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.3047446549171582,
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.016327660996466875,vgg_model
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.013802023022435606,vgg13(0)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.013716987916268408,vgg13(1)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.013419053982943296,vgg13(2)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.013417519046925008,vgg13(3)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.01336414401885122,vgg13(4)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.051848569069989026,resnet18(5)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.012084800051525235,resnet18(6)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.012122657964937389,resnet18(7)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.012150349910371006,resnet18(8)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.01208237197715789,resnet18(9)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.12645587499719113,densenet121(10)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.03907426993828267,densenet121(11)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.03909625904634595,densenet121(12)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.03918287600390613,densenet121(13)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.03935636696405709,densenet121(14)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.04918823903426528,mobilenet_v2(15)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.017571443924680352,mobilenet_v2(16)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.017511549056507647,mobilenet_v2(17)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.02911979705095291,mobilenet_v2(18)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.01746274600736797,mobilenet_v2(19)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.01559266890399158,vgg16_bn_cifar10C(0)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.01627184497192502,vgg16_bn_cifar10C(1)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.01553067599888891,vgg16_bn_cifar10C(2)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.015556458034552634,vgg16_bn_cifar10C(3)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.01566137105692178,vgg16_bn_cifar10C(4)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.012259979965165257,resnet18_cifar10C(5)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.012168515007942915,resnet18_cifar10C(6)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.012095239013433456,resnet18_cifar10C(7)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.012134162010625005,resnet18_cifar10C(8)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.01216272299643606,resnet18_cifar10C(9)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.016222649021074176,vgg_model->finetune(0)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.016334291081875563,vgg_model->finetune(1)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.015603090985678136,vgg_model->finetune(2)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.015481926966458559,vgg_model->finetune(3)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.01554226502776146,vgg_model->finetune(4)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.015638569020666182,vgg_model->finetune(5)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.015649602049961686,vgg_model->finetune(6)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.015638748067431152,vgg_model->finetune(7)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.01559284096583724,vgg_model->finetune(8)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.015532476012594998,vgg_model->finetune(9)
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.01553587696980685,"vgg_model->transfer(CIFAR10C, 0)"
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.015541938017122447,"vgg_model->transfer(CIFAR10C, 1)"
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.015616233926266432,"vgg_model->transfer(CIFAR10C, 2)"
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.01558376697357744,"vgg_model->transfer(CIFAR10C, 3)"
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.015568110044114292,"vgg_model->transfer(CIFAR10C, 4)"
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.021277418010868132,"vgg_model->transfer(CIFAR10C, 5)"
CIFAR10,NegativeSubsample10,ZLIME,train,100,vgg_model,0.015701848082244396,"vgg_model->transfer(CIFAR10C, 6)"
