value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.24998399300966412,vgg_model,vgg_model,CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.7091498374938965,0.000132835004478693,vgg_model,vgg13(0),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.9406163692474365,0.00007834890857338905,vgg_model,vgg13(1),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.9151252508163452,0.00006415392272174358,vgg_model,vgg13(2),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.889540433883667,0.00006120395846664906,vgg_model,vgg13(3),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.9236141443252563,0.00006104807835072279,vgg_model,vgg13(4),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.4824877977371216,0.0000609660055488348,vgg_model,resnet18(5),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.5055888891220093,0.00007400696631520987,vgg_model,resnet18(6),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.4708812236785889,0.00007238902617245913,vgg_model,resnet18(7),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.4812355041503906,0.000060281017795205116,vgg_model,resnet18(8),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.4840919971466064,0.00007008400280028582,vgg_model,resnet18(9),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.528159737586975,0.00006104400381445885,vgg_model,densenet121(10),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.6222566366195679,0.000060918042436242104,vgg_model,densenet121(11),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.5090105533599854,0.00005876005161553621,vgg_model,densenet121(12),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.5057791471481323,0.00005876098293811083,vgg_model,densenet121(13),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.6320432424545288,0.000060159945860505104,vgg_model,densenet121(14),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.4999631643295288,0.00005879206582903862,vgg_model,mobilenet_v2(15),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.4555383920669556,0.00006085901986807585,vgg_model,mobilenet_v2(16),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.4731801748275757,0.00005935807712376118,vgg_model,mobilenet_v2(17),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.4581825733184814,0.00006989098619669676,vgg_model,mobilenet_v2(18),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.431044340133667,0.00007138797082006931,vgg_model,mobilenet_v2(19),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.277182936668396,0.0000598349142819643,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.193359613418579,0.00005972606595605612,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.1687835454940796,0.00005814596079289913,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.0619932413101196,0.00005878298543393612,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.1928452253341675,0.00005861697718501091,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.422642469406128,0.00005729403346776962,vgg_model,resnet18_cifar10C(5),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.7869473695755005,0.00005848298314958811,vgg_model,resnet18_cifar10C(6),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.4663547277450562,0.00005751301068812609,vgg_model,resnet18_cifar10C(7),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.5202360153198242,0.000059344922192394733,vgg_model,resnet18_cifar10C(8),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
1.6540579795837402,0.00005811895243823528,vgg_model,resnet18_cifar10C(9),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
0.4753652513027191,0.00005852396134287119,vgg_model,vgg_model->finetune(0),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
0.4866756200790405,0.00006797700189054012,vgg_model,vgg_model->finetune(1),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
0.47953280806541443,0.0000713559566065669,vgg_model,vgg_model->finetune(2),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
0.48701319098472595,0.00005907693412154913,vgg_model,vgg_model->finetune(3),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
0.48698076605796814,0.000058807083405554295,vgg_model,vgg_model->finetune(4),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
0.4887095093727112,0.0000607040710747242,vgg_model,vgg_model->finetune(5),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
0.4914478063583374,0.00005879998207092285,vgg_model,vgg_model->finetune(6),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
0.4844147264957428,0.000059644924476742744,vgg_model,vgg_model->finetune(7),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
0.4858309328556061,0.00005886994767934084,vgg_model,vgg_model->finetune(8),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
0.49267759919166565,0.0000707689905539155,vgg_model,vgg_model->finetune(9),CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
0.6691696643829346,0.00005852500908076763,vgg_model,"vgg_model->transfer(CIFAR10C, 0)",CIFAR10,l2,ZLIME,NegativeSubsample10,train,200
