value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.0003788979956880212,vgg_model,vgg_model,CIFAR10,hamming,Labels,Random,train,200
0.0949999988079071,0.000054355012252926826,vgg_model,vgg13(0),CIFAR10,hamming,Labels,Random,train,200
0.10000000149011612,0.00004839804023504257,vgg_model,vgg13(1),CIFAR10,hamming,Labels,Random,train,200
0.10000000149011612,0.0000472009414806962,vgg_model,vgg13(2),CIFAR10,hamming,Labels,Random,train,200
0.0949999988079071,0.00004599103704094887,vgg_model,vgg13(3),CIFAR10,hamming,Labels,Random,train,200
0.09000000357627869,0.00004615203943103552,vgg_model,vgg13(4),CIFAR10,hamming,Labels,Random,train,200
0.14000000059604645,0.00004485691897571087,vgg_model,resnet18(5),CIFAR10,hamming,Labels,Random,train,200
0.125,0.000053472002036869526,vgg_model,resnet18(6),CIFAR10,hamming,Labels,Random,train,200
0.12999999523162842,0.000043304986320436,vgg_model,resnet18(7),CIFAR10,hamming,Labels,Random,train,200
0.13500000536441803,0.000042748055420815945,vgg_model,resnet18(8),CIFAR10,hamming,Labels,Random,train,200
0.11500000208616257,0.00004335097037255764,vgg_model,resnet18(9),CIFAR10,hamming,Labels,Random,train,200
0.14000000059604645,0.00004299997817724943,vgg_model,densenet121(10),CIFAR10,hamming,Labels,Random,train,200
0.125,0.00004358298610895872,vgg_model,densenet121(11),CIFAR10,hamming,Labels,Random,train,200
0.13500000536441803,0.000042467028833925724,vgg_model,densenet121(12),CIFAR10,hamming,Labels,Random,train,200
0.125,0.00004256097599864006,vgg_model,densenet121(13),CIFAR10,hamming,Labels,Random,train,200
0.14000000059604645,0.000042548985220491886,vgg_model,densenet121(14),CIFAR10,hamming,Labels,Random,train,200
0.1599999964237213,0.000042590079829096794,vgg_model,mobilenet_v2(15),CIFAR10,hamming,Labels,Random,train,200
0.12999999523162842,0.000042067025788128376,vgg_model,mobilenet_v2(16),CIFAR10,hamming,Labels,Random,train,200
0.13500000536441803,0.00004207494203001261,vgg_model,mobilenet_v2(17),CIFAR10,hamming,Labels,Random,train,200
0.1599999964237213,0.000041745021007955074,vgg_model,mobilenet_v2(18),CIFAR10,hamming,Labels,Random,train,200
0.16500000655651093,0.00004235899541527033,vgg_model,mobilenet_v2(19),CIFAR10,hamming,Labels,Random,train,200
0.16500000655651093,0.00004188599996268749,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,hamming,Labels,Random,train,200
0.15000000596046448,0.00004126096609979868,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,hamming,Labels,Random,train,200
0.14000000059604645,0.00004334002733230591,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,hamming,Labels,Random,train,200
0.1599999964237213,0.000041714985854923725,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,hamming,Labels,Random,train,200
0.12999999523162842,0.000042149098590016365,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,hamming,Labels,Random,train,200
0.26499998569488525,0.00004137994255870581,vgg_model,resnet18_cifar10C(5),CIFAR10,hamming,Labels,Random,train,200
0.25,0.000041811028495430946,vgg_model,resnet18_cifar10C(6),CIFAR10,hamming,Labels,Random,train,200
