value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.0007098069181665778,vgg_model,vgg_model,CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.22367224097251892,0.0001234300434589386,vgg_model,vgg13(0),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.3709688186645508,0.00010452000424265862,vgg_model,vgg13(1),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.30625224113464355,0.00010081310756504536,vgg_model,vgg13(2),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.31429407000541687,0.00010022392962127924,vgg_model,vgg13(3),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.3264162540435791,0.00010072696022689342,vgg_model,vgg13(4),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.15831682085990906,0.00009990308899432421,vgg_model,resnet18(5),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.2337920218706131,0.00010323990136384964,vgg_model,resnet18(6),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.30291956663131714,0.00009915197733789682,vgg_model,resnet18(7),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.24469467997550964,0.00009795906953513622,vgg_model,resnet18(8),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.2715311050415039,0.0002247779630124569,vgg_model,resnet18(9),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.3695454001426697,0.00009781902190297842,vgg_model,densenet121(10),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.18067052960395813,0.00009789899922907352,vgg_model,densenet121(11),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.3438103199005127,0.00011035904753953218,vgg_model,densenet121(12),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.37087881565093994,0.00009740609675645828,vgg_model,densenet121(13),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.1849558800458908,0.00010754796676337719,vgg_model,densenet121(14),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.32525119185447693,0.00009626499377191067,vgg_model,mobilenet_v2(15),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.3557632565498352,0.00009710900485515594,vgg_model,mobilenet_v2(16),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.6784206032752991,0.00009932299144566059,vgg_model,mobilenet_v2(17),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.4873436391353607,0.00009685195982456207,vgg_model,mobilenet_v2(18),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.4219387471675873,0.0000961510231718421,vgg_model,mobilenet_v2(19),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.28363361954689026,0.0000967120286077261,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.1285056620836258,0.00009712495375424623,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.33269447088241577,0.00012732204049825668,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.13136644661426544,0.00009562191553413868,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.1913912296295166,0.00009574100840836763,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.14454057812690735,0.00009696406777948141,vgg_model,resnet18_cifar10C(5),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.18104620277881622,0.0000963049242272973,vgg_model,resnet18_cifar10C(6),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.35334551334381104,0.00009701005183160305,vgg_model,resnet18_cifar10C(7),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.19454677402973175,0.00017441809177398682,vgg_model,resnet18_cifar10C(8),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.2566511631011963,0.0000974450958892703,vgg_model,resnet18_cifar10C(9),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.015157371759414673,0.00010729790665209293,vgg_model,vgg_model->finetune(0),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.017545390874147415,0.00009683193638920784,vgg_model,vgg_model->finetune(1),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.013749664649367332,0.00015937897842377424,vgg_model,vgg_model->finetune(2),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.012206417508423328,0.0000975319417193532,vgg_model,vgg_model->finetune(3),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.012100839987397194,0.00009720702655613422,vgg_model,vgg_model->finetune(4),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.011263787746429443,0.00009627302642911673,vgg_model,vgg_model->finetune(5),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.012652921490371227,0.00009747198782861233,vgg_model,vgg_model->finetune(6),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.014324992895126343,0.00009719608351588249,vgg_model,vgg_model->finetune(7),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.010555529966950417,0.00010777695570141077,vgg_model,vgg_model->finetune(8),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.01686674915254116,0.00009702006354928017,vgg_model,vgg_model->finetune(9),CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.033896006643772125,0.00009596499148756266,vgg_model,"vgg_model->transfer(CIFAR10C, 0)",CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.026139086112380028,0.00009783892892301083,vgg_model,"vgg_model->transfer(CIFAR10C, 1)",CIFAR10,cosine,Logits,RandomSubsample10,train,10
0.03076261840760708,0.000161500065587461,vgg_model,"vgg_model->transfer(CIFAR10C, 2)",CIFAR10,cosine,Logits,RandomSubsample10,train,10
