dataset,sampler,representation,split,budget,source_model,walltime,target_model
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.2264955440768972,
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.023060471983626485,vgg_model
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.018142470042221248,vgg13(0)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.018174816970713437,vgg13(1)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.018156807986088097,vgg13(2)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.018203454092144966,vgg13(3)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.018147508963011205,vgg13(4)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.05258481402415782,resnet18(5)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.015441140974871814,resnet18(6)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.01544125098735094,resnet18(7)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.015493709943257272,resnet18(8)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.01549635292030871,resnet18(9)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.15253899397794157,densenet121(10)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.06777138798497617,densenet121(11)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.06746440392453223,densenet121(12)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.06730586104094982,densenet121(13)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.0670234770514071,densenet121(14)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.056581914075650275,mobilenet_v2(15)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.02504157298244536,mobilenet_v2(16)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.0250408350257203,mobilenet_v2(17)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.02504836895968765,mobilenet_v2(18)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.025005023926496506,mobilenet_v2(19)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.022863199934363365,vgg16_bn_cifar10C(0)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.021835474064573646,vgg16_bn_cifar10C(1)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.02183785499073565,vgg16_bn_cifar10C(2)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.021853284910321236,vgg16_bn_cifar10C(3)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.021863181027583778,vgg16_bn_cifar10C(4)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.015176512999460101,resnet18_cifar10C(5)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.015211732010357082,resnet18_cifar10C(6)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.015144640929065645,resnet18_cifar10C(7)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.01523599901702255,resnet18_cifar10C(8)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.015148278092965484,resnet18_cifar10C(9)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.021838682936504483,vgg_model->finetune(0)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.021481622010469437,vgg_model->finetune(1)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.02306480403058231,vgg_model->finetune(2)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.02303100295830518,vgg_model->finetune(3)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.023032660013996065,vgg_model->finetune(4)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.0230523101054132,vgg_model->finetune(5)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.02240272203925997,vgg_model->finetune(6)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.022128656040877104,vgg_model->finetune(7)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.021729000029154122,vgg_model->finetune(8)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.021673787967301905,vgg_model->finetune(9)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.021173757035285234,"vgg_model->transfer(CIFAR10C, 0)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.021211012033745646,"vgg_model->transfer(CIFAR10C, 1)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.021283919923007488,"vgg_model->transfer(CIFAR10C, 2)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.02117744297720492,"vgg_model->transfer(CIFAR10C, 3)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.021242156042717397,"vgg_model->transfer(CIFAR10C, 4)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.021356016979552805,"vgg_model->transfer(CIFAR10C, 5)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.02135873306542635,"vgg_model->transfer(CIFAR10C, 6)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.021700917975977063,"vgg_model->transfer(CIFAR10C, 7)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.02179595606867224,"vgg_model->transfer(CIFAR10C, 8)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.021718594012781978,"vgg_model->transfer(CIFAR10C, 9)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.027473288006149232,vgg_model->fineprune(0)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.023211430059745908,vgg_model->fineprune(1)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.02327429293654859,vgg_model->fineprune(2)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.023110853042453527,vgg_model->fineprune(3)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.024216211051680148,vgg_model->fineprune(4)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.023484795005060732,vgg_model->fineprune(5)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.02316932298708707,vgg_model->fineprune(6)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.02392382698599249,vgg_model->fineprune(7)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.024365253979340196,vgg_model->fineprune(8)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.02413098409306258,vgg_model->fineprune(9)
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.018789494992233813,"vgg_model->label_extraction(vgg13, 0)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.01881277293432504,"vgg_model->label_extraction(vgg13, 1)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.018716746009886265,"vgg_model->label_extraction(vgg13, 2)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.018350535072386265,"vgg_model->label_extraction(vgg13, 3)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.018285684986039996,"vgg_model->label_extraction(vgg13, 4)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.016223720973357558,"vgg_model->label_extraction(resnet18, 5)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.016066998010501266,"vgg_model->label_extraction(resnet18, 6)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.016083652968518436,"vgg_model->label_extraction(resnet18, 7)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.01555301493499428,"vgg_model->label_extraction(resnet18, 8)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.01570793695282191,"vgg_model->label_extraction(resnet18, 9)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.07048429804854095,"vgg_model->label_extraction(densenet121, 10)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.06811240303795785,"vgg_model->label_extraction(densenet121, 11)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.06748028891161084,"vgg_model->label_extraction(densenet121, 12)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.06739676394499838,"vgg_model->label_extraction(densenet121, 13)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.06723100203089416,"vgg_model->label_extraction(densenet121, 14)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.025089742965064943,"vgg_model->label_extraction(mobilenet_v2, 15)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.024934345041401684,"vgg_model->label_extraction(mobilenet_v2, 16)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.02513946406543255,"vgg_model->label_extraction(mobilenet_v2, 17)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.024856296950019896,"vgg_model->label_extraction(mobilenet_v2, 18)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.02514646598137915,"vgg_model->label_extraction(mobilenet_v2, 19)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.01822759199421853,"vgg_model->adv_label_extraction(vgg13, 0)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.018504683976061642,"vgg_model->adv_label_extraction(vgg13, 1)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.017943788086995482,"vgg_model->adv_label_extraction(vgg13, 2)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.017940031946636736,"vgg_model->adv_label_extraction(vgg13, 3)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.01795381202828139,"vgg_model->adv_label_extraction(vgg13, 4)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.015596022014506161,"vgg_model->adv_label_extraction(resnet18, 5)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.015413863002322614,"vgg_model->adv_label_extraction(resnet18, 6)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.015367898042313755,"vgg_model->adv_label_extraction(resnet18, 7)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.015334393014200032,"vgg_model->adv_label_extraction(resnet18, 8)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.01539050997234881,"vgg_model->adv_label_extraction(resnet18, 9)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.06742232805117965,"vgg_model->adv_label_extraction(densenet121, 10)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.06724023097194731,"vgg_model->adv_label_extraction(densenet121, 11)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.06756722601130605,"vgg_model->adv_label_extraction(densenet121, 12)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.06755372602492571,"vgg_model->adv_label_extraction(densenet121, 13)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.06743096408899873,"vgg_model->adv_label_extraction(densenet121, 14)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.024958765017800033,"vgg_model->adv_label_extraction(mobilenet_v2, 15)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.02518712996970862,"vgg_model->adv_label_extraction(mobilenet_v2, 16)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.025138337048701942,"vgg_model->adv_label_extraction(mobilenet_v2, 17)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.02513107901904732,"vgg_model->adv_label_extraction(mobilenet_v2, 18)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.025528682046569884,"vgg_model->adv_label_extraction(mobilenet_v2, 19)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.01782313105650246,"vgg_model->probit_extraction(vgg13, 0)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.017794750980101526,"vgg_model->probit_extraction(vgg13, 1)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.017014713026583195,"vgg_model->probit_extraction(vgg13, 2)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.016985298017971218,"vgg_model->probit_extraction(vgg13, 3)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.016774693969637156,"vgg_model->probit_extraction(vgg13, 4)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.014942938927561045,"vgg_model->probit_extraction(resnet18, 5)"
CIFAR10,RandomSubsample10,HardSAC,train,200,vgg_model,0.0149394670734182,"vgg_model->probit_extraction(resnet18, 6)"
