dataset,sampler,representation,split,budget,source_model,walltime,target_model
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.23712098598480225,
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.01296858408022672,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.013571794959716499,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)->prune(0.2)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.014099451946094632,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)->prune(0.5)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.012859534937888384,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)->prune(0.8)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.11257512797601521,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)->quantize(float16)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.10418360901530832,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)->quantize(qint8)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.012533263070508838,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)->steal(mbnetv2)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.021392890019342303,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)->steal(resnet18)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.01253106805961579,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)->distill()"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.012530873995274305,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.5)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.012520225951448083,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.5)->prune(0.2)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.01249755104072392,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.5)->prune(0.5)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.012478471035137773,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.5)->prune(0.8)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.10413918003905565,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.5)->quantize(float16)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.1033700150437653,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.5)->quantize(qint8)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.012488480075262487,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.5)->steal(mbnetv2)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.012315750936977565,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.5)->steal(resnet18)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.012537673930637538,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.5)->distill()"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.012592212064191699,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,1.0)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.01432593702338636,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,1.0)->prune(0.2)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.012498043943196535,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,1.0)->prune(0.5)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.01249889808241278,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,1.0)->prune(0.8)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.10426765494048595,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,1.0)->quantize(float16)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.10287956800311804,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,1.0)->quantize(qint8)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.012497763033024967,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,1.0)->steal(mbnetv2)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.01231844094581902,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,1.0)->steal(resnet18)"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.012496190029196441,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,1.0)->distill()"
SDog120,NegativeAdversarial,SAC,train,20,"pretrain(mbnetv2,imagenet-1k)->transfer(SDog120,0.1)",0.012299149064347148,"pretrain(resnet18,imagenet-1k)->transfer(SDog120,0.1)"
