value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.00036835193168371916,vgg_model,vgg_model,CIFAR10,hamming,Labels,Adversarial,train,10
0.30000001192092896,0.00005570508074015379,vgg_model,vgg13(0),CIFAR10,hamming,Labels,Adversarial,train,10
0.10000000149011612,0.00004542397800832987,vgg_model,vgg13(1),CIFAR10,hamming,Labels,Adversarial,train,10
0.20000000298023224,0.0000460620503872633,vgg_model,vgg13(2),CIFAR10,hamming,Labels,Adversarial,train,10
0.20000000298023224,0.00004358298610895872,vgg_model,vgg13(3),CIFAR10,hamming,Labels,Adversarial,train,10
0.20000000298023224,0.00004439498297870159,vgg_model,vgg13(4),CIFAR10,hamming,Labels,Adversarial,train,10
0.20000000298023224,0.00004304398316890001,vgg_model,resnet18(5),CIFAR10,hamming,Labels,Adversarial,train,10
0.30000001192092896,0.00004523596726357937,vgg_model,resnet18(6),CIFAR10,hamming,Labels,Adversarial,train,10
0.20000000298023224,0.00004350603558123112,vgg_model,resnet18(7),CIFAR10,hamming,Labels,Adversarial,train,10
0.20000000298023224,0.00004226097371429205,vgg_model,resnet18(8),CIFAR10,hamming,Labels,Adversarial,train,10
0.30000001192092896,0.0000441080192103982,vgg_model,resnet18(9),CIFAR10,hamming,Labels,Adversarial,train,10
0.30000001192092896,0.00004322000313550234,vgg_model,densenet121(10),CIFAR10,hamming,Labels,Adversarial,train,10
0.30000001192092896,0.00004292407538741827,vgg_model,densenet121(11),CIFAR10,hamming,Labels,Adversarial,train,10
0.30000001192092896,0.00004251697100698948,vgg_model,densenet121(12),CIFAR10,hamming,Labels,Adversarial,train,10
0.30000001192092896,0.00004311103839427233,vgg_model,densenet121(13),CIFAR10,hamming,Labels,Adversarial,train,10
0.4000000059604645,0.00004221906419843435,vgg_model,densenet121(14),CIFAR10,hamming,Labels,Adversarial,train,10
0.5,0.00004271394573152065,vgg_model,mobilenet_v2(15),CIFAR10,hamming,Labels,Adversarial,train,10
0.4000000059604645,0.000042065978050231934,vgg_model,mobilenet_v2(16),CIFAR10,hamming,Labels,Adversarial,train,10
0.30000001192092896,0.000042411964386701584,vgg_model,mobilenet_v2(17),CIFAR10,hamming,Labels,Adversarial,train,10
0.4000000059604645,0.000042843050323426723,vgg_model,mobilenet_v2(18),CIFAR10,hamming,Labels,Adversarial,train,10
0.30000001192092896,0.000041962950490415096,vgg_model,mobilenet_v2(19),CIFAR10,hamming,Labels,Adversarial,train,10
0.20000000298023224,0.00004150706809014082,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,hamming,Labels,Adversarial,train,10
0.4000000059604645,0.000041683088056743145,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,hamming,Labels,Adversarial,train,10
0.20000000298023224,0.00004120101220905781,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,hamming,Labels,Adversarial,train,10
0.10000000149011612,0.000041409977711737156,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,hamming,Labels,Adversarial,train,10
0.10000000149011612,0.000041674007661640644,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,hamming,Labels,Adversarial,train,10
0.4000000059604645,0.000041079940274357796,vgg_model,resnet18_cifar10C(5),CIFAR10,hamming,Labels,Adversarial,train,10
0.30000001192092896,0.00004165701102465391,vgg_model,resnet18_cifar10C(6),CIFAR10,hamming,Labels,Adversarial,train,10
0.30000001192092896,0.00004142697434872389,vgg_model,resnet18_cifar10C(7),CIFAR10,hamming,Labels,Adversarial,train,10
0.4000000059604645,0.00004111707676202059,vgg_model,resnet18_cifar10C(8),CIFAR10,hamming,Labels,Adversarial,train,10
0.4000000059604645,0.00004156108479946852,vgg_model,resnet18_cifar10C(9),CIFAR10,hamming,Labels,Adversarial,train,10
0.0,0.00004186597652733326,vgg_model,vgg_model->finetune(0),CIFAR10,hamming,Labels,Adversarial,train,10
0.0,0.000048588961362838745,vgg_model,vgg_model->finetune(1),CIFAR10,hamming,Labels,Adversarial,train,10
0.0,0.00004147901199758053,vgg_model,vgg_model->finetune(2),CIFAR10,hamming,Labels,Adversarial,train,10
0.0,0.000041007064282894135,vgg_model,vgg_model->finetune(3),CIFAR10,hamming,Labels,Adversarial,train,10
0.0,0.00004133698530495167,vgg_model,vgg_model->finetune(4),CIFAR10,hamming,Labels,Adversarial,train,10
0.0,0.00004120706580579281,vgg_model,vgg_model->finetune(5),CIFAR10,hamming,Labels,Adversarial,train,10
0.0,0.00004053697921335697,vgg_model,vgg_model->finetune(6),CIFAR10,hamming,Labels,Adversarial,train,10
0.0,0.00004227203316986561,vgg_model,vgg_model->finetune(7),CIFAR10,hamming,Labels,Adversarial,train,10
0.0,0.00004154304042458534,vgg_model,vgg_model->finetune(8),CIFAR10,hamming,Labels,Adversarial,train,10
0.0,0.00004910596180707216,vgg_model,vgg_model->finetune(9),CIFAR10,hamming,Labels,Adversarial,train,10
0.20000000298023224,0.000040849088691174984,vgg_model,"vgg_model->transfer(CIFAR10C, 0)",CIFAR10,hamming,Labels,Adversarial,train,10
0.20000000298023224,0.00004122406244277954,vgg_model,"vgg_model->transfer(CIFAR10C, 1)",CIFAR10,hamming,Labels,Adversarial,train,10
0.20000000298023224,0.000040538026951253414,vgg_model,"vgg_model->transfer(CIFAR10C, 2)",CIFAR10,hamming,Labels,Adversarial,train,10
0.20000000298023224,0.000041135004721581936,vgg_model,"vgg_model->transfer(CIFAR10C, 3)",CIFAR10,hamming,Labels,Adversarial,train,10
0.20000000298023224,0.00004047597758471966,vgg_model,"vgg_model->transfer(CIFAR10C, 4)",CIFAR10,hamming,Labels,Adversarial,train,10
0.0,0.00004102499224245548,vgg_model,"vgg_model->transfer(CIFAR10C, 5)",CIFAR10,hamming,Labels,Adversarial,train,10
0.0,0.00004200497642159462,vgg_model,"vgg_model->transfer(CIFAR10C, 6)",CIFAR10,hamming,Labels,Adversarial,train,10
0.0,0.00004076596815139055,vgg_model,"vgg_model->transfer(CIFAR10C, 7)",CIFAR10,hamming,Labels,Adversarial,train,10
0.0,0.00004577706567943096,vgg_model,"vgg_model->transfer(CIFAR10C, 8)",CIFAR10,hamming,Labels,Adversarial,train,10
0.0,0.000041041988879442215,vgg_model,"vgg_model->transfer(CIFAR10C, 9)",CIFAR10,hamming,Labels,Adversarial,train,10
0.0,0.00004130392335355282,vgg_model,vgg_model->fineprune(0),CIFAR10,hamming,Labels,Adversarial,train,10
0.0,0.00004096201155334711,vgg_model,vgg_model->fineprune(1),CIFAR10,hamming,Labels,Adversarial,train,10
0.0,0.000041440012864768505,vgg_model,vgg_model->fineprune(2),CIFAR10,hamming,Labels,Adversarial,train,10
0.0,0.000041823950596153736,vgg_model,vgg_model->fineprune(3),CIFAR10,hamming,Labels,Adversarial,train,10
0.10000000149011612,0.000040628015995025635,vgg_model,vgg_model->fineprune(4),CIFAR10,hamming,Labels,Adversarial,train,10
0.10000000149011612,0.00004180893301963806,vgg_model,vgg_model->fineprune(5),CIFAR10,hamming,Labels,Adversarial,train,10
0.10000000149011612,0.00004560593515634537,vgg_model,vgg_model->fineprune(6),CIFAR10,hamming,Labels,Adversarial,train,10
0.10000000149011612,0.00004923401866108179,vgg_model,vgg_model->fineprune(7),CIFAR10,hamming,Labels,Adversarial,train,10
0.10000000149011612,0.000041811028495430946,vgg_model,vgg_model->fineprune(8),CIFAR10,hamming,Labels,Adversarial,train,10
0.10000000149011612,0.00004569801967591047,vgg_model,vgg_model->fineprune(9),CIFAR10,hamming,Labels,Adversarial,train,10
0.10000000149011612,0.000043635955080389977,vgg_model,"vgg_model->label_extraction(vgg13, 0)",CIFAR10,hamming,Labels,Adversarial,train,10
0.20000000298023224,0.00004149798769503832,vgg_model,"vgg_model->label_extraction(vgg13, 1)",CIFAR10,hamming,Labels,Adversarial,train,10
0.20000000298023224,0.00004134909249842167,vgg_model,"vgg_model->label_extraction(vgg13, 2)",CIFAR10,hamming,Labels,Adversarial,train,10
0.20000000298023224,0.00004226295277476311,vgg_model,"vgg_model->label_extraction(vgg13, 3)",CIFAR10,hamming,Labels,Adversarial,train,10
0.20000000298023224,0.0000419690040871501,vgg_model,"vgg_model->label_extraction(vgg13, 4)",CIFAR10,hamming,Labels,Adversarial,train,10
0.30000001192092896,0.00004103698302060366,vgg_model,"vgg_model->label_extraction(resnet18, 5)",CIFAR10,hamming,Labels,Adversarial,train,10
0.30000001192092896,0.00004147901199758053,vgg_model,"vgg_model->label_extraction(resnet18, 6)",CIFAR10,hamming,Labels,Adversarial,train,10
0.30000001192092896,0.00004163198173046112,vgg_model,"vgg_model->label_extraction(resnet18, 7)",CIFAR10,hamming,Labels,Adversarial,train,10
0.20000000298023224,0.000041511026211082935,vgg_model,"vgg_model->label_extraction(resnet18, 8)",CIFAR10,hamming,Labels,Adversarial,train,10
0.20000000298023224,0.00005402101669460535,vgg_model,"vgg_model->label_extraction(resnet18, 9)",CIFAR10,hamming,Labels,Adversarial,train,10
