value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
1.1920928955078125e-7,0.0007116480264812708,vgg_model,vgg_model,CIFAR10,cosine,DDV,Adversarial,train,20
0.3719446659088135,0.00012203003279864788,vgg_model,vgg13(0),CIFAR10,cosine,DDV,Adversarial,train,20
0.34695684909820557,0.00010667205788195133,vgg_model,vgg13(1),CIFAR10,cosine,DDV,Adversarial,train,20
0.39045023918151855,0.00009798596147447824,vgg_model,vgg13(2),CIFAR10,cosine,DDV,Adversarial,train,20
0.4437251091003418,0.00009700097143650055,vgg_model,vgg13(3),CIFAR10,cosine,DDV,Adversarial,train,20
0.4334656596183777,0.00009541504550725222,vgg_model,vgg13(4),CIFAR10,cosine,DDV,Adversarial,train,20
0.3355913758277893,0.00009610399138182402,vgg_model,resnet18(5),CIFAR10,cosine,DDV,Adversarial,train,20
0.451160192489624,0.00009824801236391068,vgg_model,resnet18(6),CIFAR10,cosine,DDV,Adversarial,train,20
0.42022818326950073,0.00009408791083842516,vgg_model,resnet18(7),CIFAR10,cosine,DDV,Adversarial,train,20
0.4027950167655945,0.00009339803364127874,vgg_model,resnet18(8),CIFAR10,cosine,DDV,Adversarial,train,20
0.43295514583587646,0.00009333901107311249,vgg_model,resnet18(9),CIFAR10,cosine,DDV,Adversarial,train,20
0.4204050898551941,0.00009410001803189516,vgg_model,densenet121(10),CIFAR10,cosine,DDV,Adversarial,train,20
0.44746649265289307,0.0000939290039241314,vgg_model,densenet121(11),CIFAR10,cosine,DDV,Adversarial,train,20
0.4128498435020447,0.00009325495921075344,vgg_model,densenet121(12),CIFAR10,cosine,DDV,Adversarial,train,20
0.3969278931617737,0.00009248999413102865,vgg_model,densenet121(13),CIFAR10,cosine,DDV,Adversarial,train,20
0.3992462754249573,0.00009293295443058014,vgg_model,densenet121(14),CIFAR10,cosine,DDV,Adversarial,train,20
0.28770071268081665,0.00009277602657675743,vgg_model,mobilenet_v2(15),CIFAR10,cosine,DDV,Adversarial,train,20
0.3421836495399475,0.0000924849882721901,vgg_model,mobilenet_v2(16),CIFAR10,cosine,DDV,Adversarial,train,20
0.3412185311317444,0.0001668659970164299,vgg_model,mobilenet_v2(17),CIFAR10,cosine,DDV,Adversarial,train,20
0.6756133437156677,0.00013912701979279518,vgg_model,mobilenet_v2(18),CIFAR10,cosine,DDV,Adversarial,train,20
0.34299319982528687,0.00013226503506302834,vgg_model,mobilenet_v2(19),CIFAR10,cosine,DDV,Adversarial,train,20
0.29604679346084595,0.0001252410002052784,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,cosine,DDV,Adversarial,train,20
0.49777859449386597,0.00012044096365571022,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,cosine,DDV,Adversarial,train,20
0.2833952307701111,0.00011916796211153269,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,cosine,DDV,Adversarial,train,20
0.2770234942436218,0.00012052396778017282,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,cosine,DDV,Adversarial,train,20
0.3765275478363037,0.0001257860567420721,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,cosine,DDV,Adversarial,train,20
0.237357497215271,0.00011716003064066172,vgg_model,resnet18_cifar10C(5),CIFAR10,cosine,DDV,Adversarial,train,20
0.38183164596557617,0.00011702603660523891,vgg_model,resnet18_cifar10C(6),CIFAR10,cosine,DDV,Adversarial,train,20
0.5467842817306519,0.00011682091280817986,vgg_model,resnet18_cifar10C(7),CIFAR10,cosine,DDV,Adversarial,train,20
0.45695531368255615,0.00011576793622225523,vgg_model,resnet18_cifar10C(8),CIFAR10,cosine,DDV,Adversarial,train,20
0.43827784061431885,0.00011486909352242947,vgg_model,resnet18_cifar10C(9),CIFAR10,cosine,DDV,Adversarial,train,20
0.00821995735168457,0.00011556502431631088,vgg_model,vgg_model->finetune(0),CIFAR10,cosine,DDV,Adversarial,train,20
0.010936260223388672,0.00011438608635216951,vgg_model,vgg_model->finetune(1),CIFAR10,cosine,DDV,Adversarial,train,20
0.011366844177246094,0.00011664791963994503,vgg_model,vgg_model->finetune(2),CIFAR10,cosine,DDV,Adversarial,train,20
0.01101219654083252,0.00011538993567228317,vgg_model,vgg_model->finetune(3),CIFAR10,cosine,DDV,Adversarial,train,20
0.009652853012084961,0.00011598097626119852,vgg_model,vgg_model->finetune(4),CIFAR10,cosine,DDV,Adversarial,train,20
0.009088635444641113,0.0001152439508587122,vgg_model,vgg_model->finetune(5),CIFAR10,cosine,DDV,Adversarial,train,20
0.008854985237121582,0.00011737807653844357,vgg_model,vgg_model->finetune(6),CIFAR10,cosine,DDV,Adversarial,train,20
0.008028507232666016,0.0001165029825642705,vgg_model,vgg_model->finetune(7),CIFAR10,cosine,DDV,Adversarial,train,20
0.008275330066680908,0.00011630100198090076,vgg_model,vgg_model->finetune(8),CIFAR10,cosine,DDV,Adversarial,train,20
0.011033177375793457,0.00011612707749009132,vgg_model,vgg_model->finetune(9),CIFAR10,cosine,DDV,Adversarial,train,20
0.09067869186401367,0.000114631955511868,vgg_model,"vgg_model->transfer(CIFAR10C, 0)",CIFAR10,cosine,DDV,Adversarial,train,20
0.09186369180679321,0.00011410703882575035,vgg_model,"vgg_model->transfer(CIFAR10C, 1)",CIFAR10,cosine,DDV,Adversarial,train,20
0.08682215213775635,0.000113515998236835,vgg_model,"vgg_model->transfer(CIFAR10C, 2)",CIFAR10,cosine,DDV,Adversarial,train,20
0.09907621145248413,0.00011441402602940798,vgg_model,"vgg_model->transfer(CIFAR10C, 3)",CIFAR10,cosine,DDV,Adversarial,train,20
0.08613801002502441,0.00011613697279244661,vgg_model,"vgg_model->transfer(CIFAR10C, 4)",CIFAR10,cosine,DDV,Adversarial,train,20
0.04861330986022949,0.00011526199523359537,vgg_model,"vgg_model->transfer(CIFAR10C, 5)",CIFAR10,cosine,DDV,Adversarial,train,20
0.052373409271240234,0.00011572393123060465,vgg_model,"vgg_model->transfer(CIFAR10C, 6)",CIFAR10,cosine,DDV,Adversarial,train,20
0.09479212760925293,0.00011551007628440857,vgg_model,"vgg_model->transfer(CIFAR10C, 7)",CIFAR10,cosine,DDV,Adversarial,train,20
0.06510907411575317,0.00012162595521658659,vgg_model,"vgg_model->transfer(CIFAR10C, 8)",CIFAR10,cosine,DDV,Adversarial,train,20
0.034363389015197754,0.0001147659495472908,vgg_model,"vgg_model->transfer(CIFAR10C, 9)",CIFAR10,cosine,DDV,Adversarial,train,20
0.0000616312026977539,0.00011525291483849287,vgg_model,vgg_model->fineprune(0),CIFAR10,cosine,DDV,Adversarial,train,20
0.0007456541061401367,0.00011508993338793516,vgg_model,vgg_model->fineprune(1),CIFAR10,cosine,DDV,Adversarial,train,20
0.0027126073837280273,0.00011572404764592648,vgg_model,vgg_model->fineprune(2),CIFAR10,cosine,DDV,Adversarial,train,20
0.006542026996612549,0.0001137040089815855,vgg_model,vgg_model->fineprune(3),CIFAR10,cosine,DDV,Adversarial,train,20
0.013976216316223145,0.00011508201714605093,vgg_model,vgg_model->fineprune(4),CIFAR10,cosine,DDV,Adversarial,train,20
0.015128612518310547,0.00011457304935902357,vgg_model,vgg_model->fineprune(5),CIFAR10,cosine,DDV,Adversarial,train,20
0.021239399909973145,0.0001156770158559084,vgg_model,vgg_model->fineprune(6),CIFAR10,cosine,DDV,Adversarial,train,20
0.025622248649597168,0.00012265797704458237,vgg_model,vgg_model->fineprune(7),CIFAR10,cosine,DDV,Adversarial,train,20
0.04970526695251465,0.00011446303687989712,vgg_model,vgg_model->fineprune(8),CIFAR10,cosine,DDV,Adversarial,train,20
0.0683678388595581,0.00012091302778571844,vgg_model,vgg_model->fineprune(9),CIFAR10,cosine,DDV,Adversarial,train,20
0.1525055170059204,0.00011587701737880707,vgg_model,"vgg_model->label_extraction(vgg13, 0)",CIFAR10,cosine,DDV,Adversarial,train,20
0.39708125591278076,0.00011546502355486155,vgg_model,"vgg_model->label_extraction(vgg13, 1)",CIFAR10,cosine,DDV,Adversarial,train,20
0.25501549243927,0.00011523405555635691,vgg_model,"vgg_model->label_extraction(vgg13, 2)",CIFAR10,cosine,DDV,Adversarial,train,20
0.3572325110435486,0.00011648691724985838,vgg_model,"vgg_model->label_extraction(vgg13, 3)",CIFAR10,cosine,DDV,Adversarial,train,20
0.27277976274490356,0.00011535699013620615,vgg_model,"vgg_model->label_extraction(vgg13, 4)",CIFAR10,cosine,DDV,Adversarial,train,20
0.32769715785980225,0.00011394196189939976,vgg_model,"vgg_model->label_extraction(resnet18, 5)",CIFAR10,cosine,DDV,Adversarial,train,20
0.4241628646850586,0.00011408398859202862,vgg_model,"vgg_model->label_extraction(resnet18, 6)",CIFAR10,cosine,DDV,Adversarial,train,20
0.3129522204399109,0.00011439702939242125,vgg_model,"vgg_model->label_extraction(resnet18, 7)",CIFAR10,cosine,DDV,Adversarial,train,20
0.34619301557540894,0.00011441705282777548,vgg_model,"vgg_model->label_extraction(resnet18, 8)",CIFAR10,cosine,DDV,Adversarial,train,20
0.3407626748085022,0.00011618598364293575,vgg_model,"vgg_model->label_extraction(resnet18, 9)",CIFAR10,cosine,DDV,Adversarial,train,20
0.21642154455184937,0.00011389097198843956,vgg_model,"vgg_model->label_extraction(densenet121, 10)",CIFAR10,cosine,DDV,Adversarial,train,20
0.3698171377182007,0.00011390598956495523,vgg_model,"vgg_model->label_extraction(densenet121, 11)",CIFAR10,cosine,DDV,Adversarial,train,20
0.38508450984954834,0.00011372298467904329,vgg_model,"vgg_model->label_extraction(densenet121, 12)",CIFAR10,cosine,DDV,Adversarial,train,20
