value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
8.34465012644614e-8,0.0007009700639173388,vgg_model,vgg_model,CIFAR10,cosine,Logits,Adversarial,train,50
0.15842974185943604,0.00012301700189709663,vgg_model,vgg13(0),CIFAR10,cosine,Logits,Adversarial,train,50
0.14346952736377716,0.00010834599379450083,vgg_model,vgg13(1),CIFAR10,cosine,Logits,Adversarial,train,50
0.14491111040115356,0.0001049400307238102,vgg_model,vgg13(2),CIFAR10,cosine,Logits,Adversarial,train,50
0.16190503537654877,0.00010499905329197645,vgg_model,vgg13(3),CIFAR10,cosine,Logits,Adversarial,train,50
0.1434643268585205,0.00010326597839593887,vgg_model,vgg13(4),CIFAR10,cosine,Logits,Adversarial,train,50
0.2237773835659027,0.00010417005978524685,vgg_model,resnet18(5),CIFAR10,cosine,Logits,Adversarial,train,50
0.21562248468399048,0.00010655494406819344,vgg_model,resnet18(6),CIFAR10,cosine,Logits,Adversarial,train,50
0.24655942618846893,0.00010182103142142296,vgg_model,resnet18(7),CIFAR10,cosine,Logits,Adversarial,train,50
0.23871338367462158,0.0002647549845278263,vgg_model,resnet18(8),CIFAR10,cosine,Logits,Adversarial,train,50
0.23322460055351257,0.00010133092291653156,vgg_model,resnet18(9),CIFAR10,cosine,Logits,Adversarial,train,50
0.26979389786720276,0.00010132603347301483,vgg_model,densenet121(10),CIFAR10,cosine,Logits,Adversarial,train,50
0.22934484481811523,0.00010052893776446581,vgg_model,densenet121(11),CIFAR10,cosine,Logits,Adversarial,train,50
0.23821952939033508,0.00010124989785254002,vgg_model,densenet121(12),CIFAR10,cosine,Logits,Adversarial,train,50
0.2517279386520386,0.00010016700252890587,vgg_model,densenet121(13),CIFAR10,cosine,Logits,Adversarial,train,50
0.26026251912117004,0.00010012299753725529,vgg_model,densenet121(14),CIFAR10,cosine,Logits,Adversarial,train,50
0.23829662799835205,0.00009968096856027842,vgg_model,mobilenet_v2(15),CIFAR10,cosine,Logits,Adversarial,train,50
0.24123482406139374,0.00009991100523620844,vgg_model,mobilenet_v2(16),CIFAR10,cosine,Logits,Adversarial,train,50
