value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.0006270189769566059,vgg_model,vgg_model,CIFAR10,l2,HardSAC,Boundary,train,20
0.39370039105415344,0.00011385499965399504,vgg_model,vgg13(0),CIFAR10,l2,HardSAC,Boundary,train,20
0.41231057047843933,0.00007726997137069702,vgg_model,vgg13(1),CIFAR10,l2,HardSAC,Boundary,train,20
0.40620192885398865,0.00008453498594462872,vgg_model,vgg13(2),CIFAR10,l2,HardSAC,Boundary,train,20
0.380788654088974,0.00007231999188661575,vgg_model,vgg13(3),CIFAR10,l2,HardSAC,Boundary,train,20
0.4000000059604645,0.00007286202162504196,vgg_model,vgg13(4),CIFAR10,l2,HardSAC,Boundary,train,20
0.380788654088974,0.00007262208964675665,vgg_model,resnet18(5),CIFAR10,l2,HardSAC,Boundary,train,20
0.36742347478866577,0.00007510499563068151,vgg_model,resnet18(6),CIFAR10,l2,HardSAC,Boundary,train,20
0.37416574358940125,0.0000695160124450922,vgg_model,resnet18(7),CIFAR10,l2,HardSAC,Boundary,train,20
0.380788654088974,0.00006983301136642694,vgg_model,resnet18(8),CIFAR10,l2,HardSAC,Boundary,train,20
0.4000000059604645,0.00006870506331324577,vgg_model,resnet18(9),CIFAR10,l2,HardSAC,Boundary,train,20
0.36742347478866577,0.00007776508573442698,vgg_model,densenet121(10),CIFAR10,l2,HardSAC,Boundary,train,20
0.36055511236190796,0.00006873602978885174,vgg_model,densenet121(11),CIFAR10,l2,HardSAC,Boundary,train,20
0.37416574358940125,0.00006852310616523027,vgg_model,densenet121(12),CIFAR10,l2,HardSAC,Boundary,train,20
0.36742347478866577,0.00006939098238945007,vgg_model,densenet121(13),CIFAR10,l2,HardSAC,Boundary,train,20
0.380788654088974,0.00006909901276230812,vgg_model,densenet121(14),CIFAR10,l2,HardSAC,Boundary,train,20
0.4000000059604645,0.00006949400994926691,vgg_model,mobilenet_v2(15),CIFAR10,l2,HardSAC,Boundary,train,20
0.380788654088974,0.00007003801874816418,vgg_model,mobilenet_v2(16),CIFAR10,l2,HardSAC,Boundary,train,20
0.3872983455657959,0.00006993801798671484,vgg_model,mobilenet_v2(17),CIFAR10,l2,HardSAC,Boundary,train,20
0.36055511236190796,0.00006976001895964146,vgg_model,mobilenet_v2(18),CIFAR10,l2,HardSAC,Boundary,train,20
0.3872983455657959,0.0000757130328565836,vgg_model,mobilenet_v2(19),CIFAR10,l2,HardSAC,Boundary,train,20
0.37416574358940125,0.0000681830570101738,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,l2,HardSAC,Boundary,train,20
0.3872983455657959,0.00006793101783841848,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,l2,HardSAC,Boundary,train,20
0.39370039105415344,0.0000703220721334219,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,l2,HardSAC,Boundary,train,20
0.4000000059604645,0.00008037802763283253,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,l2,HardSAC,Boundary,train,20
0.36742347478866577,0.00006839295383542776,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,l2,HardSAC,Boundary,train,20
0.39370039105415344,0.00006841309368610382,vgg_model,resnet18_cifar10C(5),CIFAR10,l2,HardSAC,Boundary,train,20
0.36742347478866577,0.00006899901200085878,vgg_model,resnet18_cifar10C(6),CIFAR10,l2,HardSAC,Boundary,train,20
