dataset,sampler,representation,split,budget,source_model,walltime,target_model
CIFAR10,Boundary,SAC,train,200,vgg_model,0.2360115780029446,
CIFAR10,Boundary,SAC,train,200,vgg_model,0.025720508070662618,vgg_model
CIFAR10,Boundary,SAC,train,200,vgg_model,0.020632172003388405,vgg13(0)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.0186327809933573,vgg13(1)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.018672357080504298,vgg13(2)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.018832667032256722,vgg13(3)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.019516127998940647,vgg13(4)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.06062654801644385,resnet18(5)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.018497969023883343,resnet18(6)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.017224434996023774,resnet18(7)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.017128000035881996,resnet18(8)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.01693910895846784,resnet18(9)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.16913201205898076,densenet121(10)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.07853499101474881,densenet121(11)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.0804372209822759,densenet121(12)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.08648399903904647,densenet121(13)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.08615818503312767,densenet121(14)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.06917085603345186,mobilenet_v2(15)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.03448154602665454,mobilenet_v2(16)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.030554743018001318,mobilenet_v2(17)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.030821277992799878,mobilenet_v2(18)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.03399314300622791,mobilenet_v2(19)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.02314436691813171,vgg16_bn_cifar10C(0)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.023981278063729405,vgg16_bn_cifar10C(1)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.023055577999912202,vgg16_bn_cifar10C(2)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.02211701695341617,vgg16_bn_cifar10C(3)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.02189227205235511,vgg16_bn_cifar10C(4)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.019627792993560433,resnet18_cifar10C(5)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.019814611063338816,resnet18_cifar10C(6)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.020114555023610592,resnet18_cifar10C(7)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.01685400796122849,resnet18_cifar10C(8)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.016923610004596412,resnet18_cifar10C(9)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.024373952066525817,vgg_model->finetune(0)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.021884905989281833,vgg_model->finetune(1)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.02185518993064761,vgg_model->finetune(2)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.024367001955397427,vgg_model->finetune(3)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.023768103099428117,vgg_model->finetune(4)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.023720762925222516,vgg_model->finetune(5)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.022297979914583266,vgg_model->finetune(6)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.023082474013790488,vgg_model->finetune(7)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.022158901090733707,vgg_model->finetune(8)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.021865956019610167,vgg_model->finetune(9)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.0235712300054729,"vgg_model->transfer(CIFAR10C, 0)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.021746737067587674,"vgg_model->transfer(CIFAR10C, 1)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.022786649060435593,"vgg_model->transfer(CIFAR10C, 2)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.0217248440021649,"vgg_model->transfer(CIFAR10C, 3)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.02243425592314452,"vgg_model->transfer(CIFAR10C, 4)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.023586842929944396,"vgg_model->transfer(CIFAR10C, 5)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.021824180032126606,"vgg_model->transfer(CIFAR10C, 6)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.023190670064650476,"vgg_model->transfer(CIFAR10C, 7)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.02179965190589428,"vgg_model->transfer(CIFAR10C, 8)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.024063650984317064,"vgg_model->transfer(CIFAR10C, 9)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.029252322972752154,vgg_model->fineprune(0)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.02653955202549696,vgg_model->fineprune(1)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.025857552071101964,vgg_model->fineprune(2)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.02504563902039081,vgg_model->fineprune(3)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.025170498061925173,vgg_model->fineprune(4)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.02500885503832251,vgg_model->fineprune(5)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.025080741965211928,vgg_model->fineprune(6)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.02509776595979929,vgg_model->fineprune(7)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.02503029303625226,vgg_model->fineprune(8)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.025267216027714312,vgg_model->fineprune(9)
CIFAR10,Boundary,SAC,train,200,vgg_model,0.02006564091425389,"vgg_model->label_extraction(vgg13, 0)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.018709525000303984,"vgg_model->label_extraction(vgg13, 1)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.02053864300251007,"vgg_model->label_extraction(vgg13, 2)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.01869267493020743,"vgg_model->label_extraction(vgg13, 3)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.019578729989007115,"vgg_model->label_extraction(vgg13, 4)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.017027939087711275,"vgg_model->label_extraction(resnet18, 5)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.017234003986231983,"vgg_model->label_extraction(resnet18, 6)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.017228876007720828,"vgg_model->label_extraction(resnet18, 7)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.017096815048716962,"vgg_model->label_extraction(resnet18, 8)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.01742983004078269,"vgg_model->label_extraction(resnet18, 9)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.07950435695238411,"vgg_model->label_extraction(densenet121, 10)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.07869966689031571,"vgg_model->label_extraction(densenet121, 11)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.08646221901290119,"vgg_model->label_extraction(densenet121, 12)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.08661551203113049,"vgg_model->label_extraction(densenet121, 13)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.08079641603399068,"vgg_model->label_extraction(densenet121, 14)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.034763533039949834,"vgg_model->label_extraction(mobilenet_v2, 15)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.03296880901325494,"vgg_model->label_extraction(mobilenet_v2, 16)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.03411109198350459,"vgg_model->label_extraction(mobilenet_v2, 17)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.034137850045226514,"vgg_model->label_extraction(mobilenet_v2, 18)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.033536848961375654,"vgg_model->label_extraction(mobilenet_v2, 19)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.01858823304064572,"vgg_model->adv_label_extraction(vgg13, 0)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.019212573068216443,"vgg_model->adv_label_extraction(vgg13, 1)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.01838997402228415,"vgg_model->adv_label_extraction(vgg13, 2)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.018470005015842617,"vgg_model->adv_label_extraction(vgg13, 3)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.01828131196089089,"vgg_model->adv_label_extraction(vgg13, 4)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.016621340066194534,"vgg_model->adv_label_extraction(resnet18, 5)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.017366862040944397,"vgg_model->adv_label_extraction(resnet18, 6)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.01686701097059995,"vgg_model->adv_label_extraction(resnet18, 7)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.017144137993454933,"vgg_model->adv_label_extraction(resnet18, 8)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.01756012998521328,"vgg_model->adv_label_extraction(resnet18, 9)"
CIFAR10,Boundary,SAC,train,200,vgg_model,0.07907649199478328,"vgg_model->adv_label_extraction(densenet121, 10)"
