value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.0012219789205119014,vgg_model,vgg_model,CIFAR10,l2,SAC,Negative,train,400
0.45010098814964294,0.00016348098870366812,vgg_model,vgg13(0),CIFAR10,l2,SAC,Negative,train,400
0.4538719654083252,0.0001366540091112256,vgg_model,vgg13(1),CIFAR10,l2,SAC,Negative,train,400
0.4294797480106354,0.00013383303303271532,vgg_model,vgg13(2),CIFAR10,l2,SAC,Negative,train,400
0.4515349566936493,0.00013350800145417452,vgg_model,vgg13(3),CIFAR10,l2,SAC,Negative,train,400
0.4547504186630249,0.00013155292253941298,vgg_model,vgg13(4),CIFAR10,l2,SAC,Negative,train,400
0.44761568307876587,0.00013387796934694052,vgg_model,resnet18(5),CIFAR10,l2,SAC,Negative,train,400
0.45077839493751526,0.0001343809999525547,vgg_model,resnet18(6),CIFAR10,l2,SAC,Negative,train,400
0.4470627009868622,0.00014197803102433681,vgg_model,resnet18(7),CIFAR10,l2,SAC,Negative,train,400
0.43378716707229614,0.0001304280012845993,vgg_model,resnet18(8),CIFAR10,l2,SAC,Negative,train,400
0.44094139337539673,0.00014014006592333317,vgg_model,resnet18(9),CIFAR10,l2,SAC,Negative,train,400
0.4554842412471771,0.00013201392721384764,vgg_model,densenet121(10),CIFAR10,l2,SAC,Negative,train,400
0.4545956254005432,0.00013205106370151043,vgg_model,densenet121(11),CIFAR10,l2,SAC,Negative,train,400
0.46346932649612427,0.00014206103514879942,vgg_model,densenet121(12),CIFAR10,l2,SAC,Negative,train,400
0.4700091481208801,0.00013310706708580256,vgg_model,densenet121(13),CIFAR10,l2,SAC,Negative,train,400
0.4614187479019165,0.00013633701018989086,vgg_model,densenet121(14),CIFAR10,l2,SAC,Negative,train,400
0.4474462568759918,0.00013169297017157078,vgg_model,mobilenet_v2(15),CIFAR10,l2,SAC,Negative,train,400
0.45560216903686523,0.0001335360575467348,vgg_model,mobilenet_v2(16),CIFAR10,l2,SAC,Negative,train,400
0.4582308828830719,0.0001323020551353693,vgg_model,mobilenet_v2(17),CIFAR10,l2,SAC,Negative,train,400
0.4589593708515167,0.00014535896480083466,vgg_model,mobilenet_v2(18),CIFAR10,l2,SAC,Negative,train,400
0.4434753358364105,0.00013301800936460495,vgg_model,mobilenet_v2(19),CIFAR10,l2,SAC,Negative,train,400
0.4589819312095642,0.0001401168992742896,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,l2,SAC,Negative,train,400
0.4454437792301178,0.00013095303438603878,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,l2,SAC,Negative,train,400
0.4846312403678894,0.00013343105092644691,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,l2,SAC,Negative,train,400
0.4389916658401489,0.0001346779754385352,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,l2,SAC,Negative,train,400
0.4666404128074646,0.0001311679370701313,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,l2,SAC,Negative,train,400
0.4501248300075531,0.0001324680633842945,vgg_model,resnet18_cifar10C(5),CIFAR10,l2,SAC,Negative,train,400
0.4829957187175751,0.0001342720352113247,vgg_model,resnet18_cifar10C(6),CIFAR10,l2,SAC,Negative,train,400
0.4687741994857788,0.00013157399371266365,vgg_model,resnet18_cifar10C(7),CIFAR10,l2,SAC,Negative,train,400
0.4654437005519867,0.0001333350082859397,vgg_model,resnet18_cifar10C(8),CIFAR10,l2,SAC,Negative,train,400
0.47704920172691345,0.0001368930097669363,vgg_model,resnet18_cifar10C(9),CIFAR10,l2,SAC,Negative,train,400
0.12930899858474731,0.0001316010020673275,vgg_model,vgg_model->finetune(0),CIFAR10,l2,SAC,Negative,train,400
0.1365414559841156,0.00012961297761648893,vgg_model,vgg_model->finetune(1),CIFAR10,l2,SAC,Negative,train,400
0.13377702236175537,0.00013490603305399418,vgg_model,vgg_model->finetune(2),CIFAR10,l2,SAC,Negative,train,400
0.13652749359607697,0.00012933893594890833,vgg_model,vgg_model->finetune(3),CIFAR10,l2,SAC,Negative,train,400
0.1314450055360794,0.00013358797878026962,vgg_model,vgg_model->finetune(4),CIFAR10,l2,SAC,Negative,train,400
0.1415131390094757,0.00013196805957704782,vgg_model,vgg_model->finetune(5),CIFAR10,l2,SAC,Negative,train,400
0.13970515131950378,0.00013294105883687735,vgg_model,vgg_model->finetune(6),CIFAR10,l2,SAC,Negative,train,400
0.13261385262012482,0.0001328570069745183,vgg_model,vgg_model->finetune(7),CIFAR10,l2,SAC,Negative,train,400
0.13366419076919556,0.0001387420343235135,vgg_model,vgg_model->finetune(8),CIFAR10,l2,SAC,Negative,train,400
0.13881784677505493,0.00013343500904738903,vgg_model,vgg_model->finetune(9),CIFAR10,l2,SAC,Negative,train,400
0.30025744438171387,0.0001345629571005702,vgg_model,"vgg_model->transfer(CIFAR10C, 0)",CIFAR10,l2,SAC,Negative,train,400
0.2915593087673187,0.0001300480216741562,vgg_model,"vgg_model->transfer(CIFAR10C, 1)",CIFAR10,l2,SAC,Negative,train,400
0.2893626391887665,0.00014295498840510845,vgg_model,"vgg_model->transfer(CIFAR10C, 2)",CIFAR10,l2,SAC,Negative,train,400
0.29574957489967346,0.0001291680382564664,vgg_model,"vgg_model->transfer(CIFAR10C, 3)",CIFAR10,l2,SAC,Negative,train,400
0.29378217458724976,0.0001403869828209281,vgg_model,"vgg_model->transfer(CIFAR10C, 4)",CIFAR10,l2,SAC,Negative,train,400
0.2441147416830063,0.00013404805213212967,vgg_model,"vgg_model->transfer(CIFAR10C, 5)",CIFAR10,l2,SAC,Negative,train,400
0.24638061225414276,0.00014437595382332802,vgg_model,"vgg_model->transfer(CIFAR10C, 6)",CIFAR10,l2,SAC,Negative,train,400
0.24612590670585632,0.00013054301962256432,vgg_model,"vgg_model->transfer(CIFAR10C, 7)",CIFAR10,l2,SAC,Negative,train,400
0.24239623546600342,0.00015298696234822273,vgg_model,"vgg_model->transfer(CIFAR10C, 8)",CIFAR10,l2,SAC,Negative,train,400
0.24704362452030182,0.0001296439440920949,vgg_model,"vgg_model->transfer(CIFAR10C, 9)",CIFAR10,l2,SAC,Negative,train,400
0.023826899006962776,0.00015007297042757273,vgg_model,vgg_model->fineprune(0),CIFAR10,l2,SAC,Negative,train,400
0.09781436622142792,0.00013688101898878813,vgg_model,vgg_model->fineprune(1),CIFAR10,l2,SAC,Negative,train,400
