value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.0003952720435336232,vgg_model,vgg_model,CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.6000000238418579,0.00005472707562148571,vgg_model,vgg13(0),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.699999988079071,0.00005164998583495617,vgg_model,vgg13(1),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.800000011920929,0.000047513050958514214,vgg_model,vgg13(2),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.800000011920929,0.000045471941120922565,vgg_model,vgg13(3),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.800000011920929,0.00004319194704294205,vgg_model,vgg13(4),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.699999988079071,0.0000426670303568244,vgg_model,resnet18(5),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.6000000238418579,0.00004436401650309563,vgg_model,resnet18(6),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.000042310915887355804,vgg_model,resnet18(7),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.00004265899769961834,vgg_model,resnet18(8),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.6000000238418579,0.000042070052586495876,vgg_model,resnet18(9),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.30000001192092896,0.000052529037930071354,vgg_model,densenet121(10),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.00004168401937931776,vgg_model,densenet121(11),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.699999988079071,0.000042369007132947445,vgg_model,densenet121(12),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.00004175608046352863,vgg_model,densenet121(13),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.00004181708209216595,vgg_model,densenet121(14),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.000042451079934835434,vgg_model,mobilenet_v2(15),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.00004205899313092232,vgg_model,mobilenet_v2(16),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.5,0.00004282605368643999,vgg_model,mobilenet_v2(17),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.00004250905476510525,vgg_model,mobilenet_v2(18),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.5,0.0000419690040871501,vgg_model,mobilenet_v2(19),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.800000011920929,0.00004219601396471262,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.5,0.000042301020585000515,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.5,0.000041841063648462296,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.699999988079071,0.000043208012357354164,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.5,0.000041564926505088806,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.30000001192092896,0.00004907301627099514,vgg_model,resnet18_cifar10C(5),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.30000001192092896,0.000041985069401562214,vgg_model,resnet18_cifar10C(6),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.30000001192092896,0.00004154606722295284,vgg_model,resnet18_cifar10C(7),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.30000001192092896,0.0000421570148319006,vgg_model,resnet18_cifar10C(8),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.000041785999201238155,vgg_model,resnet18_cifar10C(9),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.000049140071496367455,vgg_model,vgg_model->finetune(0),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.30000001192092896,0.00004175398498773575,vgg_model,vgg_model->finetune(1),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.00004255305975675583,vgg_model,vgg_model->finetune(2),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.30000001192092896,0.00004272803198546171,vgg_model,vgg_model->finetune(3),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.00004257098771631718,vgg_model,vgg_model->finetune(4),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.30000001192092896,0.00004905997775495052,vgg_model,vgg_model->finetune(5),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.00004190404433757067,vgg_model,vgg_model->finetune(6),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.30000001192092896,0.00004179903771728277,vgg_model,vgg_model->finetune(7),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.00004275701940059662,vgg_model,vgg_model->finetune(8),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.30000001192092896,0.000042522093281149864,vgg_model,vgg_model->finetune(9),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.6000000238418579,0.00004310300573706627,vgg_model,"vgg_model->transfer(CIFAR10C, 0)",CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.5,0.00004190695472061634,vgg_model,"vgg_model->transfer(CIFAR10C, 1)",CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.5,0.00004193396307528019,vgg_model,"vgg_model->transfer(CIFAR10C, 2)",CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.6000000238418579,0.00004295411054044962,vgg_model,"vgg_model->transfer(CIFAR10C, 3)",CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.6000000238418579,0.000042106956243515015,vgg_model,"vgg_model->transfer(CIFAR10C, 4)",CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.00004978699143975973,vgg_model,"vgg_model->transfer(CIFAR10C, 5)",CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.000041646999306976795,vgg_model,"vgg_model->transfer(CIFAR10C, 6)",CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.000040584011003375053,vgg_model,"vgg_model->transfer(CIFAR10C, 7)",CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.00004560197703540325,vgg_model,"vgg_model->transfer(CIFAR10C, 8)",CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.00004088797140866518,vgg_model,"vgg_model->transfer(CIFAR10C, 9)",CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.0,0.00004929699935019016,vgg_model,vgg_model->fineprune(0),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.30000001192092896,0.000040690996684134007,vgg_model,vgg_model->fineprune(1),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.30000001192092896,0.000040880986489355564,vgg_model,vgg_model->fineprune(2),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.30000001192092896,0.00004085595719516277,vgg_model,vgg_model->fineprune(3),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.30000001192092896,0.000040807994082570076,vgg_model,vgg_model->fineprune(4),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.30000001192092896,0.00004094990435987711,vgg_model,vgg_model->fineprune(5),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.30000001192092896,0.000041820923797786236,vgg_model,vgg_model->fineprune(6),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.5,0.00004102499224245548,vgg_model,vgg_model->fineprune(7),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.30000001192092896,0.00004111404996365309,vgg_model,vgg_model->fineprune(8),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.000045652035623788834,vgg_model,vgg_model->fineprune(9),CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
0.4000000059604645,0.00004310300573706627,vgg_model,"vgg_model->label_extraction(vgg13, 0)",CIFAR10,hamming,HardDDV,NegativeAdversarial,train,20
