dataset,sampler,representation,split,budget,source_model,walltime,target_model
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.18869654997251928,
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.0054288479732349515,vgg_model
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.0032042450038716197,vgg13(0)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.0032561369007453322,vgg13(1)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.003245008992962539,vgg13(2)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.0032273050164803863,vgg13(3)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.0031732539646327496,vgg13(4)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.03137581597547978,resnet18(5)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.003821871941909194,resnet18(6)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.003813215997070074,resnet18(7)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.0038552209734916687,resnet18(8)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.003796393983066082,resnet18(9)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.07285893301013857,densenet121(10)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.01787991006858647,densenet121(11)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.017767361016012728,densenet121(12)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.0169919750187546,densenet121(13)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.01736693794373423,densenet121(14)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.02372359298169613,mobilenet_v2(15)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.007082475000061095,mobilenet_v2(16)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.006805432960391045,mobilenet_v2(17)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.00702095206361264,mobilenet_v2(18)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.007236827979795635,mobilenet_v2(19)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.004306106944568455,vgg16_bn_cifar10C(0)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.0043532539857551455,vgg16_bn_cifar10C(1)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.004296367056667805,vgg16_bn_cifar10C(2)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.004238302004523575,vgg16_bn_cifar10C(3)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.004356564022600651,vgg16_bn_cifar10C(4)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.0038000920321792364,resnet18_cifar10C(5)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.0037775260861963034,resnet18_cifar10C(6)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.0038292970275506377,resnet18_cifar10C(7)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.0038920470979064703,resnet18_cifar10C(8)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.00391926197335124,resnet18_cifar10C(9)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.004262611968442798,vgg_model->finetune(0)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.004266579053364694,vgg_model->finetune(1)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.004190709092654288,vgg_model->finetune(2)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.004278430948033929,vgg_model->finetune(3)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.0042942899744957685,vgg_model->finetune(4)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.004229916026815772,vgg_model->finetune(5)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.004225046024657786,vgg_model->finetune(6)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.004253681981936097,vgg_model->finetune(7)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.004322242923080921,vgg_model->finetune(8)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.0042548979399725795,vgg_model->finetune(9)
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.0042203200282529,"vgg_model->transfer(CIFAR10C, 0)"
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.0042535579996183515,"vgg_model->transfer(CIFAR10C, 1)"
CIFAR10,NegativeSubsample10,SAC,train,10,vgg_model,0.0045810239389538765,"vgg_model->transfer(CIFAR10C, 2)"
