value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
8.34465012644614e-8,0.0006896699778735638,vgg_model,vgg_model,CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.3716021180152893,0.00012407300528138876,vgg_model,vgg13(0),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.396107941865921,0.00012079102452844381,vgg_model,vgg13(1),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.5078778266906738,0.0001078220084309578,vgg_model,vgg13(2),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.37119537591934204,0.000119235017336905,vgg_model,vgg13(3),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.3390349745750427,0.00012373807840049267,vgg_model,vgg13(4),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.3785887360572815,0.00010466901585459709,vgg_model,resnet18(5),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.49154821038246155,0.0001084089744836092,vgg_model,resnet18(6),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.40077510476112366,0.00011494592763483524,vgg_model,resnet18(7),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.329487681388855,0.0000996571034193039,vgg_model,resnet18(8),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.38726502656936646,0.00009867595508694649,vgg_model,resnet18(9),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.4491673409938812,0.00010122696403414011,vgg_model,densenet121(10),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.33132404088974,0.0001000530319288373,vgg_model,densenet121(11),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.37979644536972046,0.00010026292875409126,vgg_model,densenet121(12),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.4397645592689514,0.0001006529200822115,vgg_model,densenet121(13),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.3176520764827728,0.00009989796672016382,vgg_model,densenet121(14),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.28496313095092773,0.00010084605310112238,vgg_model,mobilenet_v2(15),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.30916866660118103,0.00010117399506270885,vgg_model,mobilenet_v2(16),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.28188639879226685,0.0001020749332383275,vgg_model,mobilenet_v2(17),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.29676514863967896,0.0001098529901355505,vgg_model,mobilenet_v2(18),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.30522745847702026,0.0000982299679890275,vgg_model,mobilenet_v2(19),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.2703875005245209,0.00009734102059155703,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.1566927134990692,0.00010142498649656773,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.873508632183075,0.00009944604244083166,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.16469363868236542,0.00009919796139001846,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.3932061493396759,0.00009868503548204899,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.24299407005310059,0.00011253298725932837,vgg_model,resnet18_cifar10C(5),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.35205191373825073,0.00009909900836646557,vgg_model,resnet18_cifar10C(6),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.409125953912735,0.00009847292676568031,vgg_model,resnet18_cifar10C(7),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.4222032427787781,0.00010014302097260952,vgg_model,resnet18_cifar10C(8),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.5310500264167786,0.0000993100693449378,vgg_model,resnet18_cifar10C(9),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.011371362023055553,0.00009999203030019999,vgg_model,vgg_model->finetune(0),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.01337897777557373,0.00009879597928375006,vgg_model,vgg_model->finetune(1),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.010583859868347645,0.00009992800187319517,vgg_model,vgg_model->finetune(2),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.01206052303314209,0.00009835499804466963,vgg_model,vgg_model->finetune(3),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.012232964858412743,0.00010696297977119684,vgg_model,vgg_model->finetune(4),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.012447571381926537,0.00009660306386649609,vgg_model,vgg_model->finetune(5),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.011490589007735252,0.0000975889852270484,vgg_model,vgg_model->finetune(6),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.013136530295014381,0.00009956106077879667,vgg_model,vgg_model->finetune(7),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.011342150159180164,0.00009895395487546921,vgg_model,vgg_model->finetune(8),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.015080737881362438,0.0000986950471997261,vgg_model,vgg_model->finetune(9),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.054125167429447174,0.00009789899922907352,vgg_model,"vgg_model->transfer(CIFAR10C, 0)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.05690039321780205,0.00010842899791896343,vgg_model,"vgg_model->transfer(CIFAR10C, 1)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.04895663261413574,0.00009897002018988132,vgg_model,"vgg_model->transfer(CIFAR10C, 2)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.055072855204343796,0.00009880203288048506,vgg_model,"vgg_model->transfer(CIFAR10C, 3)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.05429782718420029,0.00009903800673782825,vgg_model,"vgg_model->transfer(CIFAR10C, 4)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.08955154567956924,0.00009788398165255785,vgg_model,"vgg_model->transfer(CIFAR10C, 5)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.08451169729232788,0.0001002670032903552,vgg_model,"vgg_model->transfer(CIFAR10C, 6)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.1005612388253212,0.0000989820109680295,vgg_model,"vgg_model->transfer(CIFAR10C, 7)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.0910266786813736,0.00010593805927783251,vgg_model,"vgg_model->transfer(CIFAR10C, 8)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.09042593091726303,0.00010078190825879574,vgg_model,"vgg_model->transfer(CIFAR10C, 9)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.0003640592040028423,0.00010915100574493408,vgg_model,vgg_model->fineprune(0),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.005081308074295521,0.00011983700096607208,vgg_model,vgg_model->fineprune(1),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.006328773684799671,0.0000996199669316411,vgg_model,vgg_model->fineprune(2),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.0102749764919281,0.00010005792137235403,vgg_model,vgg_model->fineprune(3),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.014772814698517323,0.00009935291018337011,vgg_model,vgg_model->fineprune(4),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.013201338239014149,0.00009881891310214996,vgg_model,vgg_model->fineprune(5),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.01575518772006035,0.00009971100371330976,vgg_model,vgg_model->fineprune(6),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.021580690518021584,0.00009923300240188837,vgg_model,vgg_model->fineprune(7),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.030062412843108177,0.00009866699110716581,vgg_model,vgg_model->fineprune(8),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.04197726398706436,0.00010532699525356293,vgg_model,vgg_model->fineprune(9),CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.20583906769752502,0.00010169995948672295,vgg_model,"vgg_model->label_extraction(vgg13, 0)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.1592215895652771,0.00009999098256230354,vgg_model,"vgg_model->label_extraction(vgg13, 1)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.18043789267539978,0.00010046595707535744,vgg_model,"vgg_model->label_extraction(vgg13, 2)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.10979016125202179,0.00011120596900582314,vgg_model,"vgg_model->label_extraction(vgg13, 3)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.1509406864643097,0.0000992949353531003,vgg_model,"vgg_model->label_extraction(vgg13, 4)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.21991291642189026,0.00009928608778864145,vgg_model,"vgg_model->label_extraction(resnet18, 5)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.12500715255737305,0.00011812802404165268,vgg_model,"vgg_model->label_extraction(resnet18, 6)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.15108971297740936,0.00009914499241858721,vgg_model,"vgg_model->label_extraction(resnet18, 7)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.11482002586126328,0.00009974499698728323,vgg_model,"vgg_model->label_extraction(resnet18, 8)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.13008038699626923,0.00009898492135107517,vgg_model,"vgg_model->label_extraction(resnet18, 9)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.2272762507200241,0.00011100200936198235,vgg_model,"vgg_model->label_extraction(densenet121, 10)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.15931813418865204,0.0000979879405349493,vgg_model,"vgg_model->label_extraction(densenet121, 11)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.25728970766067505,0.00009739899542182684,vgg_model,"vgg_model->label_extraction(densenet121, 12)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.24122421443462372,0.0000982839846983552,vgg_model,"vgg_model->label_extraction(densenet121, 13)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.26428359746932983,0.00009872799273580313,vgg_model,"vgg_model->label_extraction(densenet121, 14)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.2544843852519989,0.0000986539525911212,vgg_model,"vgg_model->label_extraction(mobilenet_v2, 15)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.19598713517189026,0.00009878003038465977,vgg_model,"vgg_model->label_extraction(mobilenet_v2, 16)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.1381661593914032,0.00011077593080699444,vgg_model,"vgg_model->label_extraction(mobilenet_v2, 17)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.22153589129447937,0.00010028202086687088,vgg_model,"vgg_model->label_extraction(mobilenet_v2, 18)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.2222346067428589,0.0000986980739980936,vgg_model,"vgg_model->label_extraction(mobilenet_v2, 19)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.17017467319965363,0.00009957794100046158,vgg_model,"vgg_model->adv_label_extraction(vgg13, 0)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.13111670315265656,0.00009973789565265179,vgg_model,"vgg_model->adv_label_extraction(vgg13, 1)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.17426209151744843,0.00009922601748257875,vgg_model,"vgg_model->adv_label_extraction(vgg13, 2)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.08776631951332092,0.0000987309031188488,vgg_model,"vgg_model->adv_label_extraction(vgg13, 3)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.1384279727935791,0.00010715692769736052,vgg_model,"vgg_model->adv_label_extraction(vgg13, 4)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.203871488571167,0.00011737400200217962,vgg_model,"vgg_model->adv_label_extraction(resnet18, 5)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.12365967035293579,0.0000988030806183815,vgg_model,"vgg_model->adv_label_extraction(resnet18, 6)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.12925592064857483,0.00009872799273580313,vgg_model,"vgg_model->adv_label_extraction(resnet18, 7)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.1211727038025856,0.00009834603406488895,vgg_model,"vgg_model->adv_label_extraction(resnet18, 8)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.13670054078102112,0.00011507701128721237,vgg_model,"vgg_model->adv_label_extraction(resnet18, 9)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.21419575810432434,0.00009888899512588978,vgg_model,"vgg_model->adv_label_extraction(densenet121, 10)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.12927886843681335,0.00009990495163947344,vgg_model,"vgg_model->adv_label_extraction(densenet121, 11)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.2097630500793457,0.00009862193837761879,vgg_model,"vgg_model->adv_label_extraction(densenet121, 12)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.2730449140071869,0.00009889702778309584,vgg_model,"vgg_model->adv_label_extraction(densenet121, 13)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.21131153404712677,0.00009959505405277014,vgg_model,"vgg_model->adv_label_extraction(densenet121, 14)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.16210615634918213,0.00009824801236391068,vgg_model,"vgg_model->adv_label_extraction(mobilenet_v2, 15)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.15949322283267975,0.00010013999417424202,vgg_model,"vgg_model->adv_label_extraction(mobilenet_v2, 16)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.16742393374443054,0.00009901309385895729,vgg_model,"vgg_model->adv_label_extraction(mobilenet_v2, 17)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.25538724660873413,0.00009991799015551805,vgg_model,"vgg_model->adv_label_extraction(mobilenet_v2, 18)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.1576177179813385,0.00009915197733789682,vgg_model,"vgg_model->adv_label_extraction(mobilenet_v2, 19)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.09146670252084732,0.00011059502139687538,vgg_model,"vgg_model->probit_extraction(vgg13, 0)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.0633087307214737,0.0000987490639090538,vgg_model,"vgg_model->probit_extraction(vgg13, 1)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.06088710576295853,0.00009961193427443504,vgg_model,"vgg_model->probit_extraction(vgg13, 2)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.11399908363819122,0.00010035501327365637,vgg_model,"vgg_model->probit_extraction(vgg13, 3)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.055830247700214386,0.00009942299220710993,vgg_model,"vgg_model->probit_extraction(vgg13, 4)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.040736712515354156,0.00009862089063972235,vgg_model,"vgg_model->probit_extraction(resnet18, 5)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.05253803730010986,0.000097856973297894,vgg_model,"vgg_model->probit_extraction(resnet18, 6)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.024824386462569237,0.00009918294381350279,vgg_model,"vgg_model->probit_extraction(resnet18, 7)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.0734899565577507,0.00009841402061283588,vgg_model,"vgg_model->probit_extraction(resnet18, 8)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.0917413979768753,0.00009841902647167444,vgg_model,"vgg_model->probit_extraction(resnet18, 9)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.12294106185436249,0.00009936501737684011,vgg_model,"vgg_model->probit_extraction(densenet121, 10)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.14797595143318176,0.0001048799604177475,vgg_model,"vgg_model->probit_extraction(densenet121, 11)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.13941912353038788,0.00009962101466953754,vgg_model,"vgg_model->probit_extraction(densenet121, 12)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.028531283140182495,0.00009831204079091549,vgg_model,"vgg_model->probit_extraction(densenet121, 13)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.06671805679798126,0.00009824498556554317,vgg_model,"vgg_model->probit_extraction(densenet121, 14)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.08542974293231964,0.00009719305671751499,vgg_model,"vgg_model->probit_extraction(mobilenet_v2, 15)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.06558633595705032,0.00010882492642849684,vgg_model,"vgg_model->probit_extraction(mobilenet_v2, 16)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.06598041206598282,0.00009788398165255785,vgg_model,"vgg_model->probit_extraction(mobilenet_v2, 17)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.04664100334048271,0.00009726500138640404,vgg_model,"vgg_model->probit_extraction(mobilenet_v2, 18)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
0.10722696781158447,0.00009960401803255081,vgg_model,"vgg_model->probit_extraction(mobilenet_v2, 19)",CIFAR10,cosine,Logits,NegativeSubsample10,train,20
