value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.0006126170046627522,vgg_model,vgg_model,CIFAR10,l2,HardSAC,Negative,train,50
0.4613024890422821,0.00011402403470128775,vgg_model,vgg13(0),CIFAR10,l2,HardSAC,Negative,train,50
0.4445222318172455,0.00008329993579536676,vgg_model,vgg13(1),CIFAR10,l2,HardSAC,Negative,train,50
0.4551922678947449,0.00008262693881988525,vgg_model,vgg13(2),CIFAR10,l2,HardSAC,Negative,train,50
0.44631826877593994,0.00007639802061021328,vgg_model,vgg13(3),CIFAR10,l2,HardSAC,Negative,train,50
0.46216878294944763,0.00007609301246702671,vgg_model,vgg13(4),CIFAR10,l2,HardSAC,Negative,train,50
0.45431268215179443,0.00007707893382757902,vgg_model,resnet18(5),CIFAR10,l2,HardSAC,Negative,train,50
0.4418144226074219,0.00008647306822240353,vgg_model,resnet18(6),CIFAR10,l2,HardSAC,Negative,train,50
0.4673328697681427,0.00007512595038861036,vgg_model,resnet18(7),CIFAR10,l2,HardSAC,Negative,train,50
0.44899889826774597,0.00007408601231873035,vgg_model,resnet18(8),CIFAR10,l2,HardSAC,Negative,train,50
0.4525483250617981,0.00007334898691624403,vgg_model,resnet18(9),CIFAR10,l2,HardSAC,Negative,train,50
0.4472135901451111,0.0000739219831302762,vgg_model,densenet121(10),CIFAR10,l2,HardSAC,Negative,train,50
0.4749736785888672,0.00007339101284742355,vgg_model,densenet121(11),CIFAR10,l2,HardSAC,Negative,train,50
0.46989360451698303,0.00007464399095624685,vgg_model,densenet121(12),CIFAR10,l2,HardSAC,Negative,train,50
0.4516635835170746,0.00008337898179888725,vgg_model,densenet121(13),CIFAR10,l2,HardSAC,Negative,train,50
0.46989360451698303,0.00007356295827776194,vgg_model,densenet121(14),CIFAR10,l2,HardSAC,Negative,train,50
0.4525483250617981,0.00007303396705538034,vgg_model,mobilenet_v2(15),CIFAR10,l2,HardSAC,Negative,train,50
0.46043458580970764,0.00007326703052967787,vgg_model,mobilenet_v2(16),CIFAR10,l2,HardSAC,Negative,train,50
0.4690415859222412,0.00007394992280751467,vgg_model,mobilenet_v2(17),CIFAR10,l2,HardSAC,Negative,train,50
0.4630334675312042,0.00007380603346973658,vgg_model,mobilenet_v2(18),CIFAR10,l2,HardSAC,Negative,train,50
0.43817806243896484,0.00007314793765544891,vgg_model,mobilenet_v2(19),CIFAR10,l2,HardSAC,Negative,train,50
0.4525483250617981,0.00007327599450945854,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,l2,HardSAC,Negative,train,50
0.46043458580970764,0.00007240800186991692,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,l2,HardSAC,Negative,train,50
0.44631826877593994,0.00007239100523293018,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,l2,HardSAC,Negative,train,50
0.45431268215179443,0.00007191405165940523,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,l2,HardSAC,Negative,train,50
0.4525483250617981,0.0000728509621694684,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,l2,HardSAC,Negative,train,50
0.4656178653240204,0.00007279904093593359,vgg_model,resnet18_cifar10C(5),CIFAR10,l2,HardSAC,Negative,train,50
0.4724404513835907,0.00007202103734016418,vgg_model,resnet18_cifar10C(6),CIFAR10,l2,HardSAC,Negative,train,50
0.4354308247566223,0.00007363001350313425,vgg_model,resnet18_cifar10C(7),CIFAR10,l2,HardSAC,Negative,train,50
0.4551922678947449,0.00007275200914591551,vgg_model,resnet18_cifar10C(8),CIFAR10,l2,HardSAC,Negative,train,50
0.4673328697681427,0.00008128804620355368,vgg_model,resnet18_cifar10C(9),CIFAR10,l2,HardSAC,Negative,train,50
0.28982752561569214,0.00007347494829446077,vgg_model,vgg_model->finetune(0),CIFAR10,l2,HardSAC,Negative,train,50
0.30724582076072693,0.00007335003465414047,vgg_model,vgg_model->finetune(1),CIFAR10,l2,HardSAC,Negative,train,50
0.3174901604652405,0.00007622293196618557,vgg_model,vgg_model->finetune(2),CIFAR10,l2,HardSAC,Negative,train,50
0.30724582076072693,0.00007435900624841452,vgg_model,vgg_model->finetune(3),CIFAR10,l2,HardSAC,Negative,train,50
0.3098386824131012,0.00007315492257475853,vgg_model,vgg_model->finetune(4),CIFAR10,l2,HardSAC,Negative,train,50
0.3249615430831909,0.00007339299190789461,vgg_model,vgg_model->finetune(5),CIFAR10,l2,HardSAC,Negative,train,50
