value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
5.06639494801675e-8,0.0007234979420900345,vgg_model,vgg_model,CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.20018470287322998,0.000124023063108325,vgg_model,vgg13(0),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.2457435131072998,0.00010694691445678473,vgg_model,vgg13(1),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.26601916551589966,0.00010493898298591375,vgg_model,vgg13(2),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.2189057618379593,0.00010285398457199335,vgg_model,vgg13(3),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.213727205991745,0.00010299100540578365,vgg_model,vgg13(4),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.32645389437675476,0.00010193698108196259,vgg_model,resnet18(5),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.3713309168815613,0.00010634888894855976,vgg_model,resnet18(6),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.29662656784057617,0.00010231707710772753,vgg_model,resnet18(7),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.2801492512226105,0.00010040402412414551,vgg_model,resnet18(8),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.33825552463531494,0.00009916105773299932,vgg_model,resnet18(9),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.3496861755847931,0.00010108202695846558,vgg_model,densenet121(10),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.3644486963748932,0.00010031601414084435,vgg_model,densenet121(11),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.32421427965164185,0.00010124803520739079,vgg_model,densenet121(12),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.35012930631637573,0.00009952893014997244,vgg_model,densenet121(13),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.3431937098503113,0.00009942695032805204,vgg_model,densenet121(14),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.2888175845146179,0.00010006898082792759,vgg_model,mobilenet_v2(15),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.3197345733642578,0.00009838200639933348,vgg_model,mobilenet_v2(16),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.33251041173934937,0.00010045093949884176,vgg_model,mobilenet_v2(17),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.32314378023147583,0.00009856000542640686,vgg_model,mobilenet_v2(18),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.32483965158462524,0.00010024604853242636,vgg_model,mobilenet_v2(19),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.24631083011627197,0.00009868200868368149,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.33707159757614136,0.00009949307423084974,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.32703515887260437,0.00009877106640487909,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.26449522376060486,0.00011024402920156717,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.2991156280040741,0.0000990079715847969,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.38603946566581726,0.00011093402281403542,vgg_model,resnet18_cifar10C(5),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.4366825222969055,0.00009969796519726515,vgg_model,resnet18_cifar10C(6),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.3715146780014038,0.00009906408376991749,vgg_model,resnet18_cifar10C(7),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
0.39027437567710876,0.00010041205678135157,vgg_model,resnet18_cifar10C(8),CIFAR10,cosine,Logits,NegativeAdversarial,train,20
