value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.0007254600059241056,vgg_model,vgg_model,CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.44644492864608765,0.00011766701936721802,vgg_model,vgg13(0),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.44731366634368896,0.00010353093966841698,vgg_model,vgg13(1),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.4713137149810791,0.00009852810762822628,vgg_model,vgg13(2),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.442068874835968,0.00009681598749011755,vgg_model,vgg13(3),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.4270020127296448,0.00009680504444986582,vgg_model,vgg13(4),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.4812420606613159,0.00009633006993681192,vgg_model,resnet18(5),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.5128028392791748,0.00010838406160473824,vgg_model,resnet18(6),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.5503242015838623,0.000095516094006598,vgg_model,resnet18(7),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.4375792145729065,0.00010337401181459427,vgg_model,resnet18(8),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.4639520049095154,0.00009494205005466938,vgg_model,resnet18(9),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.5538791418075562,0.00010459707118570805,vgg_model,densenet121(10),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.4953629970550537,0.00009368103928864002,vgg_model,densenet121(11),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.45743441581726074,0.00009350397158414125,vgg_model,densenet121(12),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.507931113243103,0.00009408302139490843,vgg_model,densenet121(13),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.48169243335723877,0.00009217904880642891,vgg_model,densenet121(14),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.5035744905471802,0.00009354599751532078,vgg_model,mobilenet_v2(15),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.45137661695480347,0.0000933969859033823,vgg_model,mobilenet_v2(16),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.5355112552642822,0.00009529991075396538,vgg_model,mobilenet_v2(17),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.5091615319252014,0.0000942060723900795,vgg_model,mobilenet_v2(18),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.45651960372924805,0.00009396299719810486,vgg_model,mobilenet_v2(19),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.5531606078147888,0.00009392807260155678,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.5793049335479736,0.00009404297452419996,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.5279773473739624,0.00009365403093397617,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.510593056678772,0.00009252503514289856,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.5173888802528381,0.00009265204425901175,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.4830359220504761,0.0000937470467761159,vgg_model,resnet18_cifar10C(5),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.48234105110168457,0.00009338906966149807,vgg_model,resnet18_cifar10C(6),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.4899228811264038,0.00009346904698759317,vgg_model,resnet18_cifar10C(7),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.4552346467971802,0.00009351002518087626,vgg_model,resnet18_cifar10C(8),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.5902857780456543,0.0000939130550250411,vgg_model,resnet18_cifar10C(9),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.05145859718322754,0.00009411503560841084,vgg_model,vgg_model->finetune(0),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.055003821849823,0.00009506999049335718,vgg_model,vgg_model->finetune(1),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.05268824100494385,0.00009397498797625303,vgg_model,vgg_model->finetune(2),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.05047333240509033,0.0000936960568651557,vgg_model,vgg_model->finetune(3),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.04648733139038086,0.00009332806803286076,vgg_model,vgg_model->finetune(4),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.0615043044090271,0.00009327498264610767,vgg_model,vgg_model->finetune(5),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.05733156204223633,0.00009428290650248528,vgg_model,vgg_model->finetune(6),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.05308198928833008,0.00009370606858283281,vgg_model,vgg_model->finetune(7),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.04343259334564209,0.00009287404827773571,vgg_model,vgg_model->finetune(8),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.04589974880218506,0.00009477592539042234,vgg_model,vgg_model->finetune(9),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.2230682373046875,0.00009351200424134731,vgg_model,"vgg_model->transfer(CIFAR10C, 0)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.20634675025939941,0.00010360404849052429,vgg_model,"vgg_model->transfer(CIFAR10C, 1)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.19585388898849487,0.00009321700781583786,vgg_model,"vgg_model->transfer(CIFAR10C, 2)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.221369206905365,0.00010461104102432728,vgg_model,"vgg_model->transfer(CIFAR10C, 3)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.2205517292022705,0.00009335996583104134,vgg_model,"vgg_model->transfer(CIFAR10C, 4)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.16847240924835205,0.00009330397006124258,vgg_model,"vgg_model->transfer(CIFAR10C, 5)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.17248570919036865,0.00009435100946575403,vgg_model,"vgg_model->transfer(CIFAR10C, 6)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.17040520906448364,0.00009279698133468628,vgg_model,"vgg_model->transfer(CIFAR10C, 7)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.17303317785263062,0.00009898701682686806,vgg_model,"vgg_model->transfer(CIFAR10C, 8)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.1667325496673584,0.00009341200347989798,vgg_model,"vgg_model->transfer(CIFAR10C, 9)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.0014455914497375488,0.00009915500413626432,vgg_model,vgg_model->fineprune(0),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.05704420804977417,0.0000954249408096075,vgg_model,vgg_model->fineprune(1),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.05545604228973389,0.00009511096868664026,vgg_model,vgg_model->fineprune(2),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.08659756183624268,0.00009349302854388952,vgg_model,vgg_model->fineprune(3),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.08606517314910889,0.0000943630002439022,vgg_model,vgg_model->fineprune(4),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.09370511770248413,0.00009330909233540297,vgg_model,vgg_model->fineprune(5),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.09045517444610596,0.00010378402657806873,vgg_model,vgg_model->fineprune(6),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.1272815465927124,0.00009362003766000271,vgg_model,vgg_model->fineprune(7),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.10377359390258789,0.00010393909178674221,vgg_model,vgg_model->fineprune(8),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.11054706573486328,0.00009788700845092535,vgg_model,vgg_model->fineprune(9),CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.2713587284088135,0.00009544903878122568,vgg_model,"vgg_model->label_extraction(vgg13, 0)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.2251443862915039,0.00009400094859302044,vgg_model,"vgg_model->label_extraction(vgg13, 1)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.19098609685897827,0.000094196991994977,vgg_model,"vgg_model->label_extraction(vgg13, 2)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.2341204285621643,0.00009460700675845146,vgg_model,"vgg_model->label_extraction(vgg13, 3)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.24838030338287354,0.00010277400724589825,vgg_model,"vgg_model->label_extraction(vgg13, 4)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.31163638830184937,0.00009292701724916697,vgg_model,"vgg_model->label_extraction(resnet18, 5)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.41658270359039307,0.00010218704119324684,vgg_model,"vgg_model->label_extraction(resnet18, 6)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.38865745067596436,0.00009325402788817883,vgg_model,"vgg_model->label_extraction(resnet18, 7)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.36200904846191406,0.00010658998508006334,vgg_model,"vgg_model->label_extraction(resnet18, 8)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.3338581919670105,0.00009487604256719351,vgg_model,"vgg_model->label_extraction(resnet18, 9)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.32563990354537964,0.0000948379747569561,vgg_model,"vgg_model->label_extraction(densenet121, 10)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.2859097123146057,0.00009376206435263157,vgg_model,"vgg_model->label_extraction(densenet121, 11)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.36209404468536377,0.00009314296767115593,vgg_model,"vgg_model->label_extraction(densenet121, 12)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.3251991271972656,0.00009266100823879242,vgg_model,"vgg_model->label_extraction(densenet121, 13)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.27517372369766235,0.00009198090992867947,vgg_model,"vgg_model->label_extraction(densenet121, 14)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.3632274866104126,0.00009280897211283445,vgg_model,"vgg_model->label_extraction(mobilenet_v2, 15)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.3764113783836365,0.00009288592264056206,vgg_model,"vgg_model->label_extraction(mobilenet_v2, 16)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
0.38014161586761475,0.00009369594044983387,vgg_model,"vgg_model->label_extraction(mobilenet_v2, 17)",CIFAR10,cosine,DDV,NegativeAdversarial,train,400
