dataset,sampler,representation,split,budget,source_model,walltime,target_model
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.21951536601409316,
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.008037741994485259,vgg_model
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.005710697034373879,vgg13(0)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.005590653978288174,vgg13(1)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.005656372057273984,vgg13(2)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.005571550922468305,vgg13(3)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.005613903049379587,vgg13(4)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.026860334095545113,resnet18(5)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.004512700019404292,resnet18(6)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.004426982952281833,resnet18(7)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.004472855944186449,resnet18(8)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.004490355029702187,resnet18(9)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.062420935020782053,densenet121(10)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.018286975100636482,densenet121(11)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.018361160065978765,densenet121(12)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.018304612021893263,densenet121(13)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.0183377229841426,densenet121(14)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.023556618951261044,mobilenet_v2(15)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007486511953175068,mobilenet_v2(16)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007431944948621094,mobilenet_v2(17)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007845934014767408,mobilenet_v2(18)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007269995985552669,mobilenet_v2(19)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007125144940800965,vgg16_bn_cifar10C(0)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007061633048579097,vgg16_bn_cifar10C(1)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.00714888796210289,vgg16_bn_cifar10C(2)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007070035906508565,vgg16_bn_cifar10C(3)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007044033030979335,vgg16_bn_cifar10C(4)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.00448197009973228,resnet18_cifar10C(5)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.004484485951252282,resnet18_cifar10C(6)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.0045525929890573025,resnet18_cifar10C(7)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.004478694987483323,resnet18_cifar10C(8)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.0044487239792943,resnet18_cifar10C(9)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.00705042399931699,vgg_model->finetune(0)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007171923061832786,vgg_model->finetune(1)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007028280990198255,vgg_model->finetune(2)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007127944030798972,vgg_model->finetune(3)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007038163021206856,vgg_model->finetune(4)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007058402989059687,vgg_model->finetune(5)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.00715915800537914,vgg_model->finetune(6)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007058480987325311,vgg_model->finetune(7)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007141104084439576,vgg_model->finetune(8)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007044852944090962,vgg_model->finetune(9)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007034239009954035,"vgg_model->transfer(CIFAR10C, 0)"
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007213552016764879,"vgg_model->transfer(CIFAR10C, 1)"
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007133745006285608,"vgg_model->transfer(CIFAR10C, 2)"
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007206334033980966,"vgg_model->transfer(CIFAR10C, 3)"
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007052140892483294,"vgg_model->transfer(CIFAR10C, 4)"
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007088002050295472,"vgg_model->transfer(CIFAR10C, 5)"
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007144682924263179,"vgg_model->transfer(CIFAR10C, 6)"
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007082052994519472,"vgg_model->transfer(CIFAR10C, 7)"
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.0071442690677940845,"vgg_model->transfer(CIFAR10C, 8)"
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.0070772949839010835,"vgg_model->transfer(CIFAR10C, 9)"
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.011235647951252759,vgg_model->fineprune(0)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007385945995338261,vgg_model->fineprune(1)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.00775674800388515,vgg_model->fineprune(2)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007399897905997932,vgg_model->fineprune(3)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.0074206540593877435,vgg_model->fineprune(4)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007403168943710625,vgg_model->fineprune(5)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.007403293973766267,vgg_model->fineprune(6)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.0076559779699891806,vgg_model->fineprune(7)
CIFAR10,NegativeAdversarial,HardSAC,train,50,vgg_model,0.0074016229482367635,vgg_model->fineprune(8)
