value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.0003925400087609887,vgg_model,vgg_model,CIFAR10,hamming,Labels,NegativeSubsample100,train,400
0.887499988079071,0.0000561809865757823,vgg_model,vgg13(0),CIFAR10,hamming,Labels,NegativeSubsample100,train,400
1.0,0.000050715054385364056,vgg_model,vgg13(1),CIFAR10,hamming,Labels,NegativeSubsample100,train,400
1.0,0.00004830805119127035,vgg_model,vgg13(2),CIFAR10,hamming,Labels,NegativeSubsample100,train,400
1.0,0.00004741107113659382,vgg_model,vgg13(3),CIFAR10,hamming,Labels,NegativeSubsample100,train,400
1.0,0.00004552002064883709,vgg_model,vgg13(4),CIFAR10,hamming,Labels,NegativeSubsample100,train,400
1.0,0.00004504097159951925,vgg_model,resnet18(5),CIFAR10,hamming,Labels,NegativeSubsample100,train,400
0.5049999952316284,0.00004664203152060509,vgg_model,resnet18(6),CIFAR10,hamming,Labels,NegativeSubsample100,train,400
0.5049999952316284,0.00004416704177856445,vgg_model,resnet18(7),CIFAR10,hamming,Labels,NegativeSubsample100,train,400
0.5049999952316284,0.00005326105747371912,vgg_model,resnet18(8),CIFAR10,hamming,Labels,NegativeSubsample100,train,400
0.39250001311302185,0.00004382501356303692,vgg_model,resnet18(9),CIFAR10,hamming,Labels,NegativeSubsample100,train,400
1.0,0.00004322896711528301,vgg_model,densenet121(10),CIFAR10,hamming,Labels,NegativeSubsample100,train,400
1.0,0.00004371406976133585,vgg_model,densenet121(11),CIFAR10,hamming,Labels,NegativeSubsample100,train,400
0.5049999952316284,0.0000429259380325675,vgg_model,densenet121(12),CIFAR10,hamming,Labels,NegativeSubsample100,train,400
1.0,0.00004339497536420822,vgg_model,densenet121(13),CIFAR10,hamming,Labels,NegativeSubsample100,train,400
0.5049999952316284,0.000042899977415800095,vgg_model,densenet121(14),CIFAR10,hamming,Labels,NegativeSubsample100,train,400
1.0,0.00004315306432545185,vgg_model,mobilenet_v2(15),CIFAR10,hamming,Labels,NegativeSubsample100,train,400
