value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.0003569970140233636,vgg_model,vgg_model,CIFAR10,hamming,HardDDV,Adversarial,train,100
0.1599999964237213,0.00006379489786922932,vgg_model,vgg13(0),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.2199999988079071,0.000047067063860595226,vgg_model,vgg13(1),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.2199999988079071,0.000042470055632293224,vgg_model,vgg13(2),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.14000000059604645,0.00004296901170164347,vgg_model,vgg13(3),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.1599999964237213,0.000042604049667716026,vgg_model,vgg13(4),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.23999999463558197,0.00004295899998396635,vgg_model,resnet18(5),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.2199999988079071,0.000043724081479012966,vgg_model,resnet18(6),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.25999999046325684,0.000042011961340904236,vgg_model,resnet18(7),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.20000000298023224,0.00004098494537174702,vgg_model,resnet18(8),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.20000000298023224,0.00003948004450649023,vgg_model,resnet18(9),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.20000000298023224,0.0000412230147048831,vgg_model,densenet121(10),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.25999999046325684,0.000039822072722017765,vgg_model,densenet121(11),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.20000000298023224,0.000040067010559141636,vgg_model,densenet121(12),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.23999999463558197,0.00004008400719612837,vgg_model,densenet121(13),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.2800000011920929,0.00004003103822469711,vgg_model,densenet121(14),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.23999999463558197,0.00003962696064263582,vgg_model,mobilenet_v2(15),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.18000000715255737,0.00003998493775725365,vgg_model,mobilenet_v2(16),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.20000000298023224,0.00004049402195960283,vgg_model,mobilenet_v2(17),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.23999999463558197,0.000040187034755945206,vgg_model,mobilenet_v2(18),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.25999999046325684,0.00003978994209319353,vgg_model,mobilenet_v2(19),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.20000000298023224,0.00004002091009169817,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.25999999046325684,0.00003966200165450573,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.20000000298023224,0.00003955897409468889,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.30000001192092896,0.0000392720103263855,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.20000000298023224,0.00003885291516780853,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.30000001192092896,0.00003957201261073351,vgg_model,resnet18_cifar10C(5),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.25999999046325684,0.00003939005546271801,vgg_model,resnet18_cifar10C(6),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.23999999463558197,0.00003904791083186865,vgg_model,resnet18_cifar10C(7),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.30000001192092896,0.0000392720103263855,vgg_model,resnet18_cifar10C(8),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.23999999463558197,0.00003885000478476286,vgg_model,resnet18_cifar10C(9),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.0,0.000039865029975771904,vgg_model,vgg_model->finetune(0),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.0,0.00003951310645788908,vgg_model,vgg_model->finetune(1),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.0,0.00003943801857531071,vgg_model,vgg_model->finetune(2),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.0,0.00003995595034211874,vgg_model,vgg_model->finetune(3),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.0,0.00003982102498412132,vgg_model,vgg_model->finetune(4),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.0,0.00004018191248178482,vgg_model,vgg_model->finetune(5),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.0,0.00004049297422170639,vgg_model,vgg_model->finetune(6),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.0,0.00003989099059253931,vgg_model,vgg_model->finetune(7),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.0,0.000040462007746100426,vgg_model,vgg_model->finetune(8),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.0,0.000040607061237096786,vgg_model,vgg_model->finetune(9),CIFAR10,hamming,HardDDV,Adversarial,train,100
0.019999999552965164,0.00004026899114251137,vgg_model,"vgg_model->transfer(CIFAR10C, 0)",CIFAR10,hamming,HardDDV,Adversarial,train,100
0.019999999552965164,0.00003988004755228758,vgg_model,"vgg_model->transfer(CIFAR10C, 1)",CIFAR10,hamming,HardDDV,Adversarial,train,100
0.03999999910593033,0.000039853970520198345,vgg_model,"vgg_model->transfer(CIFAR10C, 2)",CIFAR10,hamming,HardDDV,Adversarial,train,100
0.019999999552965164,0.0000405249884352088,vgg_model,"vgg_model->transfer(CIFAR10C, 3)",CIFAR10,hamming,HardDDV,Adversarial,train,100
