value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.00034224207047373056,vgg_model,vgg_model,CIFAR10,hamming,Labels,Boundary,train,200
0.7749999761581421,0.00005639705341309309,vgg_model,vgg13(0),CIFAR10,hamming,Labels,Boundary,train,200
0.8399999737739563,0.000047901994548738,vgg_model,vgg13(1),CIFAR10,hamming,Labels,Boundary,train,200
0.8349999785423279,0.000045959954150021076,vgg_model,vgg13(2),CIFAR10,hamming,Labels,Boundary,train,200
0.800000011920929,0.00004518998321145773,vgg_model,vgg13(3),CIFAR10,hamming,Labels,Boundary,train,200
0.824999988079071,0.000044937944039702415,vgg_model,vgg13(4),CIFAR10,hamming,Labels,Boundary,train,200
0.8949999809265137,0.00004443200305104256,vgg_model,resnet18(5),CIFAR10,hamming,Labels,Boundary,train,200
0.8799999952316284,0.000045877997763454914,vgg_model,resnet18(6),CIFAR10,hamming,Labels,Boundary,train,200
0.8949999809265137,0.00004412000998854637,vgg_model,resnet18(7),CIFAR10,hamming,Labels,Boundary,train,200
0.8899999856948853,0.00004265701863914728,vgg_model,resnet18(8),CIFAR10,hamming,Labels,Boundary,train,200
0.8949999809265137,0.00004356703720986843,vgg_model,resnet18(9),CIFAR10,hamming,Labels,Boundary,train,200
0.8849999904632568,0.000042764004319906235,vgg_model,densenet121(10),CIFAR10,hamming,Labels,Boundary,train,200
0.8849999904632568,0.00004295597318559885,vgg_model,densenet121(11),CIFAR10,hamming,Labels,Boundary,train,200
0.8799999952316284,0.000042689964175224304,vgg_model,densenet121(12),CIFAR10,hamming,Labels,Boundary,train,200
0.8949999809265137,0.00004274898674339056,vgg_model,densenet121(13),CIFAR10,hamming,Labels,Boundary,train,200
0.875,0.000042997999116778374,vgg_model,densenet121(14),CIFAR10,hamming,Labels,Boundary,train,200
0.875,0.000043045030906796455,vgg_model,mobilenet_v2(15),CIFAR10,hamming,Labels,Boundary,train,200
0.9049999713897705,0.00004240102134644985,vgg_model,mobilenet_v2(16),CIFAR10,hamming,Labels,Boundary,train,200
0.8849999904632568,0.00004351697862148285,vgg_model,mobilenet_v2(17),CIFAR10,hamming,Labels,Boundary,train,200
0.8999999761581421,0.00004347390495240688,vgg_model,mobilenet_v2(18),CIFAR10,hamming,Labels,Boundary,train,200
0.875,0.00004249496851116419,vgg_model,mobilenet_v2(19),CIFAR10,hamming,Labels,Boundary,train,200
0.8500000238418579,0.00004310905933380127,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,hamming,Labels,Boundary,train,200
0.8799999952316284,0.000042597996070981026,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,hamming,Labels,Boundary,train,200
0.8600000143051147,0.000042986939661204815,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,hamming,Labels,Boundary,train,200
0.8450000286102295,0.00004254095256328583,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,hamming,Labels,Boundary,train,200
0.8999999761581421,0.000041789025999605656,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,hamming,Labels,Boundary,train,200
0.8949999809265137,0.00004314596299082041,vgg_model,resnet18_cifar10C(5),CIFAR10,hamming,Labels,Boundary,train,200
0.9049999713897705,0.00004169205203652382,vgg_model,resnet18_cifar10C(6),CIFAR10,hamming,Labels,Boundary,train,200
0.8899999856948853,0.00004277704283595085,vgg_model,resnet18_cifar10C(7),CIFAR10,hamming,Labels,Boundary,train,200
0.8799999952316284,0.00004235899541527033,vgg_model,resnet18_cifar10C(8),CIFAR10,hamming,Labels,Boundary,train,200
0.8849999904632568,0.00004163302946835756,vgg_model,resnet18_cifar10C(9),CIFAR10,hamming,Labels,Boundary,train,200
0.06499999761581421,0.00004155898932367563,vgg_model,vgg_model->finetune(0),CIFAR10,hamming,Labels,Boundary,train,200
0.054999999701976776,0.00004203699063509703,vgg_model,vgg_model->finetune(1),CIFAR10,hamming,Labels,Boundary,train,200
0.05999999865889549,0.000041977036744356155,vgg_model,vgg_model->finetune(2),CIFAR10,hamming,Labels,Boundary,train,200
0.05000000074505806,0.0000427530612796545,vgg_model,vgg_model->finetune(3),CIFAR10,hamming,Labels,Boundary,train,200
0.06499999761581421,0.000041557010263204575,vgg_model,vgg_model->finetune(4),CIFAR10,hamming,Labels,Boundary,train,200
0.05999999865889549,0.00004904903471469879,vgg_model,vgg_model->finetune(5),CIFAR10,hamming,Labels,Boundary,train,200
0.05000000074505806,0.000042067025788128376,vgg_model,vgg_model->finetune(6),CIFAR10,hamming,Labels,Boundary,train,200
0.054999999701976776,0.00004184502176940441,vgg_model,vgg_model->finetune(7),CIFAR10,hamming,Labels,Boundary,train,200
0.054999999701976776,0.00004187400918453932,vgg_model,vgg_model->finetune(8),CIFAR10,hamming,Labels,Boundary,train,200
0.05999999865889549,0.00004189799074083567,vgg_model,vgg_model->finetune(9),CIFAR10,hamming,Labels,Boundary,train,200
0.4050000011920929,0.00004221999552100897,vgg_model,"vgg_model->transfer(CIFAR10C, 0)",CIFAR10,hamming,Labels,Boundary,train,200
0.36500000953674316,0.00004190800245851278,vgg_model,"vgg_model->transfer(CIFAR10C, 1)",CIFAR10,hamming,Labels,Boundary,train,200
0.375,0.00004219799302518368,vgg_model,"vgg_model->transfer(CIFAR10C, 2)",CIFAR10,hamming,Labels,Boundary,train,200
0.38499999046325684,0.000050012022256851196,vgg_model,"vgg_model->transfer(CIFAR10C, 3)",CIFAR10,hamming,Labels,Boundary,train,200
0.36500000953674316,0.000042455969378352165,vgg_model,"vgg_model->transfer(CIFAR10C, 4)",CIFAR10,hamming,Labels,Boundary,train,200
0.1550000011920929,0.00004178693052381277,vgg_model,"vgg_model->transfer(CIFAR10C, 5)",CIFAR10,hamming,Labels,Boundary,train,200
0.1550000011920929,0.00004225096199661493,vgg_model,"vgg_model->transfer(CIFAR10C, 6)",CIFAR10,hamming,Labels,Boundary,train,200
0.15000000596046448,0.00004250905476510525,vgg_model,"vgg_model->transfer(CIFAR10C, 7)",CIFAR10,hamming,Labels,Boundary,train,200
0.14000000059604645,0.00004724704194813967,vgg_model,"vgg_model->transfer(CIFAR10C, 8)",CIFAR10,hamming,Labels,Boundary,train,200
0.15000000596046448,0.0000432449160143733,vgg_model,"vgg_model->transfer(CIFAR10C, 9)",CIFAR10,hamming,Labels,Boundary,train,200
0.0,0.00004316703416407108,vgg_model,vgg_model->fineprune(0),CIFAR10,hamming,Labels,Boundary,train,200
0.04500000178813934,0.00005463103298097849,vgg_model,vgg_model->fineprune(1),CIFAR10,hamming,Labels,Boundary,train,200
0.03500000014901161,0.000043316977098584175,vgg_model,vgg_model->fineprune(2),CIFAR10,hamming,Labels,Boundary,train,200
0.05000000074505806,0.00004645506851375103,vgg_model,vgg_model->fineprune(3),CIFAR10,hamming,Labels,Boundary,train,200
0.07000000029802322,0.00004310300573706627,vgg_model,vgg_model->fineprune(4),CIFAR10,hamming,Labels,Boundary,train,200
0.07999999821186066,0.000042866915464401245,vgg_model,vgg_model->fineprune(5),CIFAR10,hamming,Labels,Boundary,train,200
0.09000000357627869,0.0000424189493060112,vgg_model,vgg_model->fineprune(6),CIFAR10,hamming,Labels,Boundary,train,200
0.10999999940395355,0.00004289404023438692,vgg_model,vgg_model->fineprune(7),CIFAR10,hamming,Labels,Boundary,train,200
0.10499999672174454,0.000042705913074314594,vgg_model,vgg_model->fineprune(8),CIFAR10,hamming,Labels,Boundary,train,200
