dataset,sampler,representation,split,budget,source_model,walltime,target_model
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.19261810497846454,
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0051175199914723635,vgg_model
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0031055010622367263,vgg13(0)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.003110205987468362,vgg13(1)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0030891490168869495,vgg13(2)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.003085122909396887,vgg13(3)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.00311044801492244,vgg13(4)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.030592267983593047,resnet18(5)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0036684880033135414,resnet18(6)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0036427659215405583,resnet18(7)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0036495799431577325,resnet18(8)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.003751700045540929,resnet18(9)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.059086791006848216,densenet121(10)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.016634545987471938,densenet121(11)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.016547888983041048,densenet121(12)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.01649809896480292,densenet121(13)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.016550461063161492,densenet121(14)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.022763930959627032,mobilenet_v2(15)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.006434738053940237,mobilenet_v2(16)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.006423429003916681,mobilenet_v2(17)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.006427244050428271,mobilenet_v2(18)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.006482096039690077,mobilenet_v2(19)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0040750529151409864,vgg16_bn_cifar10C(0)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004084900952875614,vgg16_bn_cifar10C(1)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004103563958778977,vgg16_bn_cifar10C(2)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004107874003238976,vgg16_bn_cifar10C(3)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004126026062294841,vgg16_bn_cifar10C(4)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0036876669619232416,resnet18_cifar10C(5)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.003663211944513023,resnet18_cifar10C(6)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.003677061991766095,resnet18_cifar10C(7)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0036984269972890615,resnet18_cifar10C(8)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0036713239969685674,resnet18_cifar10C(9)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004101868020370603,vgg_model->finetune(0)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004085641005076468,vgg_model->finetune(1)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0040983110666275024,vgg_model->finetune(2)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004097843077033758,vgg_model->finetune(3)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004083371954038739,vgg_model->finetune(4)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004102519014850259,vgg_model->finetune(5)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004077930934727192,vgg_model->finetune(6)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0040995810413733125,vgg_model->finetune(7)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004094640025869012,vgg_model->finetune(8)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004088316927663982,vgg_model->finetune(9)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.00410206604283303,"vgg_model->transfer(CIFAR10C, 0)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004082533065229654,"vgg_model->transfer(CIFAR10C, 1)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004092008923180401,"vgg_model->transfer(CIFAR10C, 2)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004082858911715448,"vgg_model->transfer(CIFAR10C, 3)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0041071249870583415,"vgg_model->transfer(CIFAR10C, 4)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004101984086446464,"vgg_model->transfer(CIFAR10C, 5)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004099632031284273,"vgg_model->transfer(CIFAR10C, 6)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004090489004738629,"vgg_model->transfer(CIFAR10C, 7)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004093308001756668,"vgg_model->transfer(CIFAR10C, 8)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0040951770497485995,"vgg_model->transfer(CIFAR10C, 9)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.008832831983454525,vgg_model->fineprune(0)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004732112982310355,vgg_model->fineprune(1)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004754294059239328,vgg_model->fineprune(2)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004744897014461458,vgg_model->fineprune(3)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004717621020972729,vgg_model->fineprune(4)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004748022998683155,vgg_model->fineprune(5)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0047460420755669475,vgg_model->fineprune(6)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0047632899368181825,vgg_model->fineprune(7)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0047343060141429305,vgg_model->fineprune(8)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.004759659059345722,vgg_model->fineprune(9)
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.003181232954375446,"vgg_model->label_extraction(vgg13, 0)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0030750299338251352,"vgg_model->label_extraction(vgg13, 1)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0030931440414860845,"vgg_model->label_extraction(vgg13, 2)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.003080570953898132,"vgg_model->label_extraction(vgg13, 3)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0030918329721316695,"vgg_model->label_extraction(vgg13, 4)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0036947280168533325,"vgg_model->label_extraction(resnet18, 5)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.003671681974083185,"vgg_model->label_extraction(resnet18, 6)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0036946750478819013,"vgg_model->label_extraction(resnet18, 7)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0036721350625157356,"vgg_model->label_extraction(resnet18, 8)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.0036599040031433105,"vgg_model->label_extraction(resnet18, 9)"
CIFAR10,Negative,HardSAC,train,10,vgg_model,0.01689395506400615,"vgg_model->label_extraction(densenet121, 10)"
