dataset,sampler,representation,split,budget,source_model,walltime,target_model
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.1854370019864291,
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.007047921069897711,vgg_model
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.005151452962309122,vgg13(0)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.005155147984623909,vgg13(1)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.0050725380424410105,vgg13(2)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.005123281967826188,vgg13(3)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.0050750779919326305,vgg13(4)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.03460152191109955,resnet18(5)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.007662709918804467,resnet18(6)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.007642272976227105,resnet18(7)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.007712487014941871,resnet18(8)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.0076302229426801205,resnet18(9)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.0849897749722004,densenet121(10)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.041414761915802956,densenet121(11)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.04163457499817014,densenet121(12)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.041415580082684755,densenet121(13)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.041465665912255645,densenet121(14)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.03146269905846566,mobilenet_v2(15)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.015233539044857025,mobilenet_v2(16)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.015244006062857807,mobilenet_v2(17)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.015218273969367146,mobilenet_v2(18)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.015188694931566715,mobilenet_v2(19)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.007129407953470945,vgg16_bn_cifar10C(0)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.0071152260061353445,vgg16_bn_cifar10C(1)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.007140123983845115,vgg16_bn_cifar10C(2)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.007202884997241199,vgg16_bn_cifar10C(3)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.007144820992834866,vgg16_bn_cifar10C(4)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.007705349940806627,resnet18_cifar10C(5)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.007766435970552266,resnet18_cifar10C(6)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.007701975991949439,resnet18_cifar10C(7)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.007715884945355356,resnet18_cifar10C(8)
CIFAR10,NegativeAdversarial,DDV,train,10,vgg_model,0.007762235007248819,resnet18_cifar10C(9)
