dataset,sampler,representation,split,budget,source_model,walltime,target_model
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.23817319190129638,
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.041537408949807286,vgg_model
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.03332705202046782,vgg13(0)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.035170068964362144,vgg13(1)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.033946688985452056,vgg13(2)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.03359048906713724,vgg13(3)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.033527192077599466,vgg13(4)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.07610457297414541,resnet18(5)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.029925085022114217,resnet18(6)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.030067289946600795,resnet18(7)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.029986405977979302,resnet18(8)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.029977177968248725,resnet18(9)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.2267086129868403,densenet121(10)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.1377165539888665,densenet121(11)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.13859764393419027,densenet121(12)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.14415720500983298,densenet121(13)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.13744125294033438,densenet121(14)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.08385672804433852,mobilenet_v2(15)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.05220428702887148,mobilenet_v2(16)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.052135963924229145,mobilenet_v2(17)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.05238226894289255,mobilenet_v2(18)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.053060540929436684,mobilenet_v2(19)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.04218754905741662,vgg16_bn_cifar10C(0)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.039308406063355505,vgg16_bn_cifar10C(1)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.03928885597269982,vgg16_bn_cifar10C(2)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.039467238006182015,vgg16_bn_cifar10C(3)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.040258864988572896,vgg16_bn_cifar10C(4)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.02934801101218909,resnet18_cifar10C(5)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.02925640600733459,resnet18_cifar10C(6)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.02925180201418698,resnet18_cifar10C(7)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.02932010602671653,resnet18_cifar10C(8)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.02941101894248277,resnet18_cifar10C(9)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.03918182908091694,vgg_model->finetune(0)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.04206232202704996,vgg_model->finetune(1)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.04085216100793332,vgg_model->finetune(2)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.039424736984074116,vgg_model->finetune(3)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.03981602599378675,vgg_model->finetune(4)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.03949294495396316,vgg_model->finetune(5)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.03916209004819393,vgg_model->finetune(6)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.03935299895238131,vgg_model->finetune(7)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.03916644805576652,vgg_model->finetune(8)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.039197452017106116,vgg_model->finetune(9)
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.039259818964637816,"vgg_model->transfer(CIFAR10C, 0)"
CIFAR10,NegativeAdversarial,SAC,train,400,vgg_model,0.03920919494703412,"vgg_model->transfer(CIFAR10C, 1)"
