value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.0005996270338073373,vgg_model,vgg_model,CIFAR10,l2,SAC,NegativeAugment,train,20
0.5212467908859253,0.00010445108637213707,vgg_model,vgg13(0),CIFAR10,l2,SAC,NegativeAugment,train,20
0.4754050672054291,0.00007964996621012688,vgg_model,vgg13(1),CIFAR10,l2,SAC,NegativeAugment,train,20
0.49364781379699707,0.0000775469234213233,vgg_model,vgg13(2),CIFAR10,l2,SAC,NegativeAugment,train,20
0.543933093547821,0.00008643895853310823,vgg_model,vgg13(3),CIFAR10,l2,SAC,NegativeAugment,train,20
0.5016295313835144,0.00007279706187546253,vgg_model,vgg13(4),CIFAR10,l2,SAC,NegativeAugment,train,20
0.5203999876976013,0.00007418100722134113,vgg_model,resnet18(5),CIFAR10,l2,SAC,NegativeAugment,train,20
0.4943937361240387,0.00007527810521423817,vgg_model,resnet18(6),CIFAR10,l2,SAC,NegativeAugment,train,20
0.5305694341659546,0.00007206806913018227,vgg_model,resnet18(7),CIFAR10,l2,SAC,NegativeAugment,train,20
0.5175290703773499,0.00007058901246637106,vgg_model,resnet18(8),CIFAR10,l2,SAC,NegativeAugment,train,20
0.5217798352241516,0.00007771409582346678,vgg_model,resnet18(9),CIFAR10,l2,SAC,NegativeAugment,train,20
0.5048238635063171,0.0000708489678800106,vgg_model,densenet121(10),CIFAR10,l2,SAC,NegativeAugment,train,20
0.5149179697036743,0.00006914103869348764,vgg_model,densenet121(11),CIFAR10,l2,SAC,NegativeAugment,train,20
0.5152674913406372,0.0000704500125721097,vgg_model,densenet121(12),CIFAR10,l2,SAC,NegativeAugment,train,20
0.5086197257041931,0.00006965210195630789,vgg_model,densenet121(13),CIFAR10,l2,SAC,NegativeAugment,train,20
0.517379879951477,0.00007057399488985538,vgg_model,densenet121(14),CIFAR10,l2,SAC,NegativeAugment,train,20
0.5108829736709595,0.00007048703264445066,vgg_model,mobilenet_v2(15),CIFAR10,l2,SAC,NegativeAugment,train,20
0.5106896758079529,0.00007043499499559402,vgg_model,mobilenet_v2(16),CIFAR10,l2,SAC,NegativeAugment,train,20
0.4859384298324585,0.00007250101771205664,vgg_model,mobilenet_v2(17),CIFAR10,l2,SAC,NegativeAugment,train,20
0.46295398473739624,0.0000780309783294797,vgg_model,mobilenet_v2(18),CIFAR10,l2,SAC,NegativeAugment,train,20
0.4966563880443573,0.00007035594899207354,vgg_model,mobilenet_v2(19),CIFAR10,l2,SAC,NegativeAugment,train,20
0.5106463432312012,0.00007101602386683226,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,l2,SAC,NegativeAugment,train,20
0.4649534821510315,0.00007073406595736742,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,l2,SAC,NegativeAugment,train,20
0.6084144711494446,0.00006903102621436119,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,l2,SAC,NegativeAugment,train,20
0.4691501259803772,0.00007025606464594603,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,l2,SAC,NegativeAugment,train,20
0.5939865112304688,0.00006903510075062513,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,l2,SAC,NegativeAugment,train,20
0.517340898513794,0.00007973494939506054,vgg_model,resnet18_cifar10C(5),CIFAR10,l2,SAC,NegativeAugment,train,20
0.5280079245567322,0.00007004302460700274,vgg_model,resnet18_cifar10C(6),CIFAR10,l2,SAC,NegativeAugment,train,20
0.5303063988685608,0.0000694140326231718,vgg_model,resnet18_cifar10C(7),CIFAR10,l2,SAC,NegativeAugment,train,20
0.5440298318862915,0.00007052789442241192,vgg_model,resnet18_cifar10C(8),CIFAR10,l2,SAC,NegativeAugment,train,20
0.5307285189628601,0.0000699460506439209,vgg_model,resnet18_cifar10C(9),CIFAR10,l2,SAC,NegativeAugment,train,20
0.09727565199136734,0.0000712469918653369,vgg_model,vgg_model->finetune(0),CIFAR10,l2,SAC,NegativeAugment,train,20
0.10642416775226593,0.00007018598262220621,vgg_model,vgg_model->finetune(1),CIFAR10,l2,SAC,NegativeAugment,train,20
0.09662806987762451,0.0000780660193413496,vgg_model,vgg_model->finetune(2),CIFAR10,l2,SAC,NegativeAugment,train,20
0.1001913771033287,0.00006985198706388474,vgg_model,vgg_model->finetune(3),CIFAR10,l2,SAC,NegativeAugment,train,20
0.0983864963054657,0.00007014197763055563,vgg_model,vgg_model->finetune(4),CIFAR10,l2,SAC,NegativeAugment,train,20
0.10483360290527344,0.00006961298640817404,vgg_model,vgg_model->finetune(5),CIFAR10,l2,SAC,NegativeAugment,train,20
0.10046063363552094,0.00006880902219563723,vgg_model,vgg_model->finetune(6),CIFAR10,l2,SAC,NegativeAugment,train,20
0.10170824080705643,0.00006939901504665613,vgg_model,vgg_model->finetune(7),CIFAR10,l2,SAC,NegativeAugment,train,20
0.09871917963027954,0.0000694269547238946,vgg_model,vgg_model->finetune(8),CIFAR10,l2,SAC,NegativeAugment,train,20
0.10797087848186493,0.0000705209095031023,vgg_model,vgg_model->finetune(9),CIFAR10,l2,SAC,NegativeAugment,train,20
0.39087429642677307,0.0000690090237185359,vgg_model,"vgg_model->transfer(CIFAR10C, 0)",CIFAR10,l2,SAC,NegativeAugment,train,20
0.37585508823394775,0.00006873894017189741,vgg_model,"vgg_model->transfer(CIFAR10C, 1)",CIFAR10,l2,SAC,NegativeAugment,train,20
0.3619847595691681,0.00006986199878156185,vgg_model,"vgg_model->transfer(CIFAR10C, 2)",CIFAR10,l2,SAC,NegativeAugment,train,20
0.37618666887283325,0.00007008190732449293,vgg_model,"vgg_model->transfer(CIFAR10C, 3)",CIFAR10,l2,SAC,NegativeAugment,train,20
0.380169153213501,0.00006948597729206085,vgg_model,"vgg_model->transfer(CIFAR10C, 4)",CIFAR10,l2,SAC,NegativeAugment,train,20
0.3990130126476288,0.00006976304575800896,vgg_model,"vgg_model->transfer(CIFAR10C, 5)",CIFAR10,l2,SAC,NegativeAugment,train,20
0.4013584554195404,0.00007106794510036707,vgg_model,"vgg_model->transfer(CIFAR10C, 6)",CIFAR10,l2,SAC,NegativeAugment,train,20
0.3882560729980469,0.00006999191828072071,vgg_model,"vgg_model->transfer(CIFAR10C, 7)",CIFAR10,l2,SAC,NegativeAugment,train,20
0.3953326642513275,0.00008616107515990734,vgg_model,"vgg_model->transfer(CIFAR10C, 8)",CIFAR10,l2,SAC,NegativeAugment,train,20
0.3952515125274658,0.00007070298306643963,vgg_model,"vgg_model->transfer(CIFAR10C, 9)",CIFAR10,l2,SAC,NegativeAugment,train,20
0.020500410348176956,0.00007038796320557594,vgg_model,vgg_model->fineprune(0),CIFAR10,l2,SAC,NegativeAugment,train,20
0.08919186890125275,0.00007043499499559402,vgg_model,vgg_model->fineprune(1),CIFAR10,l2,SAC,NegativeAugment,train,20
0.09357424080371857,0.00006936502177268267,vgg_model,vgg_model->fineprune(2),CIFAR10,l2,SAC,NegativeAugment,train,20
0.11562098562717438,0.00006966304499655962,vgg_model,vgg_model->fineprune(3),CIFAR10,l2,SAC,NegativeAugment,train,20
0.10458742082118988,0.0000694140326231718,vgg_model,vgg_model->fineprune(4),CIFAR10,l2,SAC,NegativeAugment,train,20
