dataset,sampler,representation,split,budget,source_model,walltime,target_model
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.24441536306403577,
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.02172801597043872,vgg_model
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.01762302394490689,vgg13(0)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.017201615031808615,vgg13(1)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.017107512918300927,vgg13(2)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.017220014007762074,vgg13(3)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.018345811986364424,vgg13(4)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.0593373830197379,resnet18(5)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.017086616018787026,resnet18(6)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.017201208975166082,resnet18(7)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.017242926987819374,resnet18(8)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.01718398602679372,resnet18(9)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.17211453593336046,densenet121(10)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.07912941998802125,densenet121(11)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.07938540203031152,densenet121(12)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.07920412707608193,densenet121(13)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.08011766197159886,densenet121(14)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.061214130953885615,mobilenet_v2(15)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.03097801993135363,mobilenet_v2(16)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.024638814036734402,mobilenet_v2(17)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.024713044986128807,mobilenet_v2(18)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.026425471995025873,mobilenet_v2(19)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.02392687799874693,vgg16_bn_cifar10C(0)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.02442235895432532,vgg16_bn_cifar10C(1)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.02356214600149542,vgg16_bn_cifar10C(2)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.023439668002538383,vgg16_bn_cifar10C(3)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.023482198012061417,vgg16_bn_cifar10C(4)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.01719964004587382,resnet18_cifar10C(5)
CIFAR10,NegativeSubsample10,HardSAC,train,200,vgg_model,0.01724900002591312,resnet18_cifar10C(6)
