dataset,sampler,representation,split,budget,source_model,walltime,target_model
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.21437122602947056,
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.004809412988834083,vgg_model
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.003622360061854124,vgg13(0)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.003696708008646965,vgg13(1)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.003604669007472694,vgg13(2)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.0036307700211182237,vgg13(3)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.0036785510601475835,vgg13(4)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.04746283497661352,resnet18(5)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.004526996985077858,resnet18(6)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.004125547013245523,resnet18(7)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.004177995957434177,resnet18(8)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.004090904025360942,resnet18(9)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.06154316593892872,densenet121(10)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.017503474955447018,densenet121(11)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.017735033994540572,densenet121(12)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.017435383051633835,densenet121(13)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.017523218994028866,densenet121(14)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.023281291010789573,mobilenet_v2(15)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.006948819966055453,mobilenet_v2(16)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.008621679968200624,mobilenet_v2(17)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.0070499180583283305,mobilenet_v2(18)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.007004981045611203,mobilenet_v2(19)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.004633127013221383,vgg16_bn_cifar10C(0)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.004759841016493738,vgg16_bn_cifar10C(1)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.004653941956348717,vgg16_bn_cifar10C(2)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.004660431062802672,vgg16_bn_cifar10C(3)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.004753757966682315,vgg16_bn_cifar10C(4)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.004132286063395441,resnet18_cifar10C(5)
CIFAR10,RandomSubsample10,SAC,train,20,vgg_model,0.004087041947059333,resnet18_cifar10C(6)
