value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.00034572998993098736,vgg_model,vgg_model,CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.5774999856948853,0.00005525699816644192,vgg_model,vgg13(0),CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.5274999737739563,0.00005236105062067509,vgg_model,vgg13(1),CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.5874999761581421,0.00004697300028055906,vgg_model,vgg13(2),CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.44999998807907104,0.00004534493200480938,vgg_model,vgg13(3),CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.5475000143051147,0.00004610605537891388,vgg_model,vgg13(4),CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.6000000238418579,0.00004490709397941828,vgg_model,resnet18(5),CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.3675000071525574,0.00004637695383280516,vgg_model,resnet18(6),CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.23999999463558197,0.00004435097798705101,vgg_model,resnet18(7),CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.1599999964237213,0.00004322000313550234,vgg_model,resnet18(8),CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.22750000655651093,0.000043621985241770744,vgg_model,resnet18(9),CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.6349999904632568,0.00004363805055618286,vgg_model,densenet121(10),CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.6100000143051147,0.00005194998811930418,vgg_model,densenet121(11),CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.32749998569488525,0.00004307401832193136,vgg_model,densenet121(12),CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.5375000238418579,0.000043208012357354164,vgg_model,densenet121(13),CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.35499998927116394,0.00004276598338037729,vgg_model,densenet121(14),CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.7774999737739563,0.00004336703568696976,vgg_model,mobilenet_v2(15),CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.39750000834465027,0.00005081202834844589,vgg_model,mobilenet_v2(16),CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.5425000190734863,0.00004405598156154156,vgg_model,mobilenet_v2(17),CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.5249999761581421,0.00004290801007300615,vgg_model,mobilenet_v2(18),CIFAR10,hamming,Labels,RandomSubsample100,train,400
0.7200000286102295,0.00004389404784888029,vgg_model,mobilenet_v2(19),CIFAR10,hamming,Labels,RandomSubsample100,train,400
