dataset,sampler,representation,split,budget,source_model,walltime,target_model
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.19944938004482538,
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.00913909706287086,vgg_model
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.006642492953687906,vgg13(0)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.0066905239364132285,vgg13(1)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.006584335933439434,vgg13(2)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.006607339018955827,vgg13(3)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.006652505020610988,vgg13(4)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.036470656050369143,resnet18(5)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.0074166180565953255,resnet18(6)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007362017990089953,resnet18(7)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.0073410290060564876,resnet18(8)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007389385951682925,resnet18(9)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.07877218199428171,densenet121(10)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.03458321001380682,densenet121(11)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.03543496108613908,densenet121(12)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.03473544795997441,densenet121(13)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.03480536793358624,densenet121(14)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.02919647202361375,mobilenet_v2(15)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.013113758992403746,mobilenet_v2(16)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.013029922032728791,mobilenet_v2(17)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.013014888972975314,mobilenet_v2(18)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.01304663810878992,mobilenet_v2(19)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.00867419596761465,vgg16_bn_cifar10C(0)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.008517360081896186,vgg16_bn_cifar10C(1)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.008541940012946725,vgg16_bn_cifar10C(2)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.00843980407807976,vgg16_bn_cifar10C(3)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.008495128015056252,vgg16_bn_cifar10C(4)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.0075033759931102395,resnet18_cifar10C(5)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.0075873020105063915,resnet18_cifar10C(6)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007553539937362075,resnet18_cifar10C(7)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.0075749390525743365,resnet18_cifar10C(8)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007582310005091131,resnet18_cifar10C(9)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.008641578955575824,vgg_model->finetune(0)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.00845737790223211,vgg_model->finetune(1)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.008438466931693256,vgg_model->finetune(2)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.008376103010959923,vgg_model->finetune(3)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.008458373951725662,vgg_model->finetune(4)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.008456701063551009,vgg_model->finetune(5)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.008401241968385875,vgg_model->finetune(6)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.008433458977378905,vgg_model->finetune(7)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.008484995923936367,vgg_model->finetune(8)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.027432835078798234,vgg_model->finetune(9)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.008778841001912951,"vgg_model->transfer(CIFAR10C, 0)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.008722082944586873,"vgg_model->transfer(CIFAR10C, 1)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.008867462980560958,"vgg_model->transfer(CIFAR10C, 2)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.008773657027631998,"vgg_model->transfer(CIFAR10C, 3)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.008735398994758725,"vgg_model->transfer(CIFAR10C, 4)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.008706121938303113,"vgg_model->transfer(CIFAR10C, 5)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.00849497807212174,"vgg_model->transfer(CIFAR10C, 6)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.00851934205275029,"vgg_model->transfer(CIFAR10C, 7)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.008479648036882281,"vgg_model->transfer(CIFAR10C, 8)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.008516679052263498,"vgg_model->transfer(CIFAR10C, 9)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.013344709062948823,vgg_model->fineprune(0)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.009601659025065601,vgg_model->fineprune(1)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.009545505978167057,vgg_model->fineprune(2)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.009467849973589182,vgg_model->fineprune(3)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.009480481967329979,vgg_model->fineprune(4)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.009413688094355166,vgg_model->fineprune(5)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.009674703003838658,vgg_model->fineprune(6)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.009476504987105727,vgg_model->fineprune(7)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.009504021028988063,vgg_model->fineprune(8)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.009430136997252703,vgg_model->fineprune(9)
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.006455342983826995,"vgg_model->label_extraction(vgg13, 0)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.0065933410078287125,"vgg_model->label_extraction(vgg13, 1)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.006591195007786155,"vgg_model->label_extraction(vgg13, 2)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.006518376059830189,"vgg_model->label_extraction(vgg13, 3)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.006541467038914561,"vgg_model->label_extraction(vgg13, 4)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007630800944752991,"vgg_model->label_extraction(resnet18, 5)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007605346036143601,"vgg_model->label_extraction(resnet18, 6)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.00765383499674499,"vgg_model->label_extraction(resnet18, 7)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007718177046626806,"vgg_model->label_extraction(resnet18, 8)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.0076678660698235035,"vgg_model->label_extraction(resnet18, 9)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.034969686064869165,"vgg_model->label_extraction(densenet121, 10)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.03590873291250318,"vgg_model->label_extraction(densenet121, 11)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.03530450991820544,"vgg_model->label_extraction(densenet121, 12)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.03601273102685809,"vgg_model->label_extraction(densenet121, 13)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.035269794054329395,"vgg_model->label_extraction(densenet121, 14)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.013251476106233895,"vgg_model->label_extraction(mobilenet_v2, 15)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.013292327988892794,"vgg_model->label_extraction(mobilenet_v2, 16)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.013165602926164865,"vgg_model->label_extraction(mobilenet_v2, 17)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.013510131975635886,"vgg_model->label_extraction(mobilenet_v2, 18)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.013493699952960014,"vgg_model->label_extraction(mobilenet_v2, 19)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007006222032941878,"vgg_model->adv_label_extraction(vgg13, 0)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007002772996202111,"vgg_model->adv_label_extraction(vgg13, 1)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.006811680970713496,"vgg_model->adv_label_extraction(vgg13, 2)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.0065787710482254624,"vgg_model->adv_label_extraction(vgg13, 3)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.00665441807359457,"vgg_model->adv_label_extraction(vgg13, 4)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007451792014762759,"vgg_model->adv_label_extraction(resnet18, 5)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007368813036009669,"vgg_model->adv_label_extraction(resnet18, 6)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007405197015032172,"vgg_model->adv_label_extraction(resnet18, 7)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007499497965909541,"vgg_model->adv_label_extraction(resnet18, 8)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007466555922292173,"vgg_model->adv_label_extraction(resnet18, 9)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.035110011929646134,"vgg_model->adv_label_extraction(densenet121, 10)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.03464712901040912,"vgg_model->adv_label_extraction(densenet121, 11)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.034724141005426645,"vgg_model->adv_label_extraction(densenet121, 12)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.03462875296827406,"vgg_model->adv_label_extraction(densenet121, 13)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.034563025925308466,"vgg_model->adv_label_extraction(densenet121, 14)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.013153544045053422,"vgg_model->adv_label_extraction(mobilenet_v2, 15)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.014927770011126995,"vgg_model->adv_label_extraction(mobilenet_v2, 16)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.013096573995426297,"vgg_model->adv_label_extraction(mobilenet_v2, 17)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.013082511024549603,"vgg_model->adv_label_extraction(mobilenet_v2, 18)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.012981133069843054,"vgg_model->adv_label_extraction(mobilenet_v2, 19)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.006601662025786936,"vgg_model->probit_extraction(vgg13, 0)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.006614650948904455,"vgg_model->probit_extraction(vgg13, 1)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007930438034236431,"vgg_model->probit_extraction(vgg13, 2)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.006694064941257238,"vgg_model->probit_extraction(vgg13, 3)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.006643451051786542,"vgg_model->probit_extraction(vgg13, 4)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007566404994577169,"vgg_model->probit_extraction(resnet18, 5)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007539749960415065,"vgg_model->probit_extraction(resnet18, 6)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007563221035525203,"vgg_model->probit_extraction(resnet18, 7)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007653674925677478,"vgg_model->probit_extraction(resnet18, 8)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.007634377107024193,"vgg_model->probit_extraction(resnet18, 9)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.03550222504418343,"vgg_model->probit_extraction(densenet121, 10)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.0349770609755069,"vgg_model->probit_extraction(densenet121, 11)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.035447278060019016,"vgg_model->probit_extraction(densenet121, 12)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.03543511196039617,"vgg_model->probit_extraction(densenet121, 13)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.0348699790192768,"vgg_model->probit_extraction(densenet121, 14)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.013292785035446286,"vgg_model->probit_extraction(mobilenet_v2, 15)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.013240511994808912,"vgg_model->probit_extraction(mobilenet_v2, 16)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.01338248501997441,"vgg_model->probit_extraction(mobilenet_v2, 17)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.013025749009102583,"vgg_model->probit_extraction(mobilenet_v2, 18)"
CIFAR10,Adversarial,DDV,train,50,vgg_model,0.013313115923665464,"vgg_model->probit_extraction(mobilenet_v2, 19)"
