value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.0003548640524968505,vgg_model,vgg_model,CIFAR10,hamming,Labels,Negative,train,200
0.9049999713897705,0.00005154393147677183,vgg_model,vgg13(0),CIFAR10,hamming,Labels,Negative,train,200
0.8949999809265137,0.00004840199835598469,vgg_model,vgg13(1),CIFAR10,hamming,Labels,Negative,train,200
0.8999999761581421,0.00004603108391165733,vgg_model,vgg13(2),CIFAR10,hamming,Labels,Negative,train,200
0.9049999713897705,0.00004545401316136122,vgg_model,vgg13(3),CIFAR10,hamming,Labels,Negative,train,200
0.9100000262260437,0.0000445069745182991,vgg_model,vgg13(4),CIFAR10,hamming,Labels,Negative,train,200
0.9200000166893005,0.00004674901720136404,vgg_model,resnet18(5),CIFAR10,hamming,Labels,Negative,train,200
0.8949999809265137,0.00004604400601238012,vgg_model,resnet18(6),CIFAR10,hamming,Labels,Negative,train,200
0.9049999713897705,0.000044681946747004986,vgg_model,resnet18(7),CIFAR10,hamming,Labels,Negative,train,200
0.8999999761581421,0.00004295492544770241,vgg_model,resnet18(8),CIFAR10,hamming,Labels,Negative,train,200
0.9200000166893005,0.000050220987759530544,vgg_model,resnet18(9),CIFAR10,hamming,Labels,Negative,train,200
0.925000011920929,0.00004308903589844704,vgg_model,densenet121(10),CIFAR10,hamming,Labels,Negative,train,200
0.8999999761581421,0.000042511033825576305,vgg_model,densenet121(11),CIFAR10,hamming,Labels,Negative,train,200
0.9150000214576721,0.00004299101419746876,vgg_model,densenet121(12),CIFAR10,hamming,Labels,Negative,train,200
0.9300000071525574,0.00004185806028544903,vgg_model,densenet121(13),CIFAR10,hamming,Labels,Negative,train,200
0.9350000023841858,0.00004275201354175806,vgg_model,densenet121(14),CIFAR10,hamming,Labels,Negative,train,200
0.8799999952316284,0.00004305806942284107,vgg_model,mobilenet_v2(15),CIFAR10,hamming,Labels,Negative,train,200
0.8650000095367432,0.00004216795787215233,vgg_model,mobilenet_v2(16),CIFAR10,hamming,Labels,Negative,train,200
0.875,0.00004440196789801121,vgg_model,mobilenet_v2(17),CIFAR10,hamming,Labels,Negative,train,200
0.8700000047683716,0.00004328100476413965,vgg_model,mobilenet_v2(18),CIFAR10,hamming,Labels,Negative,train,200
0.8600000143051147,0.00004304095637053251,vgg_model,mobilenet_v2(19),CIFAR10,hamming,Labels,Negative,train,200
0.6650000214576721,0.00004251999780535698,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,hamming,Labels,Negative,train,200
0.6549999713897705,0.0000431679654866457,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,hamming,Labels,Negative,train,200
0.6949999928474426,0.00004257610999047756,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,hamming,Labels,Negative,train,200
0.6399999856948853,0.00004264106974005699,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,hamming,Labels,Negative,train,200
0.6800000071525574,0.000042831990867853165,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,hamming,Labels,Negative,train,200
0.5649999976158142,0.00004477892071008682,vgg_model,resnet18_cifar10C(5),CIFAR10,hamming,Labels,Negative,train,200
0.6449999809265137,0.00005144800525158644,vgg_model,resnet18_cifar10C(6),CIFAR10,hamming,Labels,Negative,train,200
0.6000000238418579,0.00004219496622681618,vgg_model,resnet18_cifar10C(7),CIFAR10,hamming,Labels,Negative,train,200
0.6100000143051147,0.000041516032069921494,vgg_model,resnet18_cifar10C(8),CIFAR10,hamming,Labels,Negative,train,200
0.6150000095367432,0.00004155002534389496,vgg_model,resnet18_cifar10C(9),CIFAR10,hamming,Labels,Negative,train,200
0.2849999964237213,0.000042289961129426956,vgg_model,vgg_model->finetune(0),CIFAR10,hamming,Labels,Negative,train,200
0.2849999964237213,0.000041257007978856564,vgg_model,vgg_model->finetune(1),CIFAR10,hamming,Labels,Negative,train,200
0.27000001072883606,0.00004240707494318485,vgg_model,vgg_model->finetune(2),CIFAR10,hamming,Labels,Negative,train,200
0.28999999165534973,0.000041329069063067436,vgg_model,vgg_model->finetune(3),CIFAR10,hamming,Labels,Negative,train,200
0.29499998688697815,0.00004248192999511957,vgg_model,vgg_model->finetune(4),CIFAR10,hamming,Labels,Negative,train,200
0.3100000023841858,0.000041507999412715435,vgg_model,vgg_model->finetune(5),CIFAR10,hamming,Labels,Negative,train,200
0.2849999964237213,0.000041252002120018005,vgg_model,vgg_model->finetune(6),CIFAR10,hamming,Labels,Negative,train,200
0.2750000059604645,0.00004091497976332903,vgg_model,vgg_model->finetune(7),CIFAR10,hamming,Labels,Negative,train,200
0.2800000011920929,0.00004129100125283003,vgg_model,vgg_model->finetune(8),CIFAR10,hamming,Labels,Negative,train,200
0.28999999165534973,0.000041779945604503155,vgg_model,vgg_model->finetune(9),CIFAR10,hamming,Labels,Negative,train,200
0.36500000953674316,0.000041360966861248016,vgg_model,"vgg_model->transfer(CIFAR10C, 0)",CIFAR10,hamming,Labels,Negative,train,200
0.33000001311302185,0.00004117295611649752,vgg_model,"vgg_model->transfer(CIFAR10C, 1)",CIFAR10,hamming,Labels,Negative,train,200
0.33000001311302185,0.00004148995503783226,vgg_model,"vgg_model->transfer(CIFAR10C, 2)",CIFAR10,hamming,Labels,Negative,train,200
0.3400000035762787,0.000041947001591324806,vgg_model,"vgg_model->transfer(CIFAR10C, 3)",CIFAR10,hamming,Labels,Negative,train,200
0.32499998807907104,0.000042103929445147514,vgg_model,"vgg_model->transfer(CIFAR10C, 4)",CIFAR10,hamming,Labels,Negative,train,200
0.35499998927116394,0.00004112604074180126,vgg_model,"vgg_model->transfer(CIFAR10C, 5)",CIFAR10,hamming,Labels,Negative,train,200
0.3400000035762787,0.00004149309825152159,vgg_model,"vgg_model->transfer(CIFAR10C, 6)",CIFAR10,hamming,Labels,Negative,train,200
0.3400000035762787,0.00004146597348153591,vgg_model,"vgg_model->transfer(CIFAR10C, 7)",CIFAR10,hamming,Labels,Negative,train,200
0.3400000035762787,0.00004264200106263161,vgg_model,"vgg_model->transfer(CIFAR10C, 8)",CIFAR10,hamming,Labels,Negative,train,200
0.3449999988079071,0.00004289299249649048,vgg_model,"vgg_model->transfer(CIFAR10C, 9)",CIFAR10,hamming,Labels,Negative,train,200
0.06499999761581421,0.00004195596557110548,vgg_model,vgg_model->fineprune(0),CIFAR10,hamming,Labels,Negative,train,200
0.14499999582767487,0.0000427979975938797,vgg_model,vgg_model->fineprune(1),CIFAR10,hamming,Labels,Negative,train,200
0.1850000023841858,0.00004224397707730532,vgg_model,vgg_model->fineprune(2),CIFAR10,hamming,Labels,Negative,train,200
0.25,0.00004227494355291128,vgg_model,vgg_model->fineprune(3),CIFAR10,hamming,Labels,Negative,train,200
0.24500000476837158,0.00004276598338037729,vgg_model,vgg_model->fineprune(4),CIFAR10,hamming,Labels,Negative,train,200
0.26499998569488525,0.00004490499850362539,vgg_model,vgg_model->fineprune(5),CIFAR10,hamming,Labels,Negative,train,200
0.29499998688697815,0.00004388508386909962,vgg_model,vgg_model->fineprune(6),CIFAR10,hamming,Labels,Negative,train,200
0.30000001192092896,0.000042489031329751015,vgg_model,vgg_model->fineprune(7),CIFAR10,hamming,Labels,Negative,train,200
