value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.0005843780236318707,vgg_model,vgg_model,CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.36742347478866577,0.00009036494884639978,vgg_model,vgg13(0),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.4000000059604645,0.00007330102380365133,vgg_model,vgg13(1),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.3535533845424652,0.00007102696690708399,vgg_model,vgg13(2),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.4000000059604645,0.00008303893264383078,vgg_model,vgg13(3),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.3535533845424652,0.00007169495802372694,vgg_model,vgg13(4),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.41231057047843933,0.00007024500519037247,vgg_model,resnet18(5),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.41231057047843933,0.00007295107934623957,vgg_model,resnet18(6),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.40620192885398865,0.00006858003325760365,vgg_model,resnet18(7),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.4358898997306824,0.00007643201388418674,vgg_model,resnet18(8),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.41231057047843933,0.00006774207577109337,vgg_model,resnet18(9),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.44158804416656494,0.00006660795770585537,vgg_model,densenet121(10),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.41231057047843933,0.00006773695349693298,vgg_model,densenet121(11),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.40620192885398865,0.00007945206016302109,vgg_model,densenet121(12),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.41231057047843933,0.00006821798160672188,vgg_model,densenet121(13),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.4358898997306824,0.00006655801553279161,vgg_model,densenet121(14),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.4242640733718872,0.0000784960575401783,vgg_model,mobilenet_v2(15),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.4358898997306824,0.00006706197746098042,vgg_model,mobilenet_v2(16),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.380788654088974,0.00006793404463678598,vgg_model,mobilenet_v2(17),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.40620192885398865,0.00006725394632667303,vgg_model,mobilenet_v2(18),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.36742347478866577,0.00006746198050677776,vgg_model,mobilenet_v2(19),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.40620192885398865,0.00007996102795004845,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.570087730884552,0.00006674905307590961,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.36742347478866577,0.00006814207881689072,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.41231057047843933,0.00006577104795724154,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.37416574358940125,0.00007809407543390989,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.4898979365825653,0.00006683298852294683,vgg_model,resnet18_cifar10C(5),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.41231057047843933,0.00006633310113102198,vgg_model,resnet18_cifar10C(6),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.4242640733718872,0.00006640504579991102,vgg_model,resnet18_cifar10C(7),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.5196152329444885,0.0000664079561829567,vgg_model,resnet18_cifar10C(8),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.5196152329444885,0.00007274001836776733,vgg_model,resnet18_cifar10C(9),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.26457512378692627,0.00006702903192490339,vgg_model,vgg_model->finetune(0),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.22360679507255554,0.00007887603715062141,vgg_model,vgg_model->finetune(1),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.30000001192092896,0.00006822298746556044,vgg_model,vgg_model->finetune(2),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.26457512378692627,0.00006529095117002726,vgg_model,vgg_model->finetune(3),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.26457512378692627,0.00006700598169118166,vgg_model,vgg_model->finetune(4),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.22360679507255554,0.00006617698818445206,vgg_model,vgg_model->finetune(5),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.25495097041130066,0.00008820497896522284,vgg_model,vgg_model->finetune(6),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.22360679507255554,0.00006696500349789858,vgg_model,vgg_model->finetune(7),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.22360679507255554,0.00006839504931122065,vgg_model,vgg_model->finetune(8),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.2121320366859436,0.00006844301242381334,vgg_model,vgg_model->finetune(9),CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.26457512378692627,0.00008050398901104927,vgg_model,"vgg_model->transfer(CIFAR10C, 0)",CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.26457512378692627,0.00006766594015061855,vgg_model,"vgg_model->transfer(CIFAR10C, 1)",CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.26457512378692627,0.0000664619728922844,vgg_model,"vgg_model->transfer(CIFAR10C, 2)",CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.2828426957130432,0.00006661401130259037,vgg_model,"vgg_model->transfer(CIFAR10C, 3)",CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.26457512378692627,0.0000664909603074193,vgg_model,"vgg_model->transfer(CIFAR10C, 4)",CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.30822068452835083,0.00006647291593253613,vgg_model,"vgg_model->transfer(CIFAR10C, 5)",CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.30822068452835083,0.00006757094524800777,vgg_model,"vgg_model->transfer(CIFAR10C, 6)",CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
0.25495097041130066,0.00007185200229287148,vgg_model,"vgg_model->transfer(CIFAR10C, 7)",CIFAR10,l2,HardSAC,NegativeAdversarial,train,20
