value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.00034401705488562584,vgg_model,vgg_model,CIFAR10,hamming,Labels,NegativeAugment,train,10
0.8999999761581421,0.000055224052630364895,vgg_model,vgg13(0),CIFAR10,hamming,Labels,NegativeAugment,train,10
1.0,0.00004580605309456587,vgg_model,vgg13(1),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.8999999761581421,0.000048017012886703014,vgg_model,vgg13(2),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.8999999761581421,0.000044377055019140244,vgg_model,vgg13(3),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.8999999761581421,0.000044042011722922325,vgg_model,vgg13(4),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.8999999761581421,0.00004375807475298643,vgg_model,resnet18(5),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.8999999761581421,0.00004480592906475067,vgg_model,resnet18(6),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.8999999761581421,0.00004269101191312075,vgg_model,resnet18(7),CIFAR10,hamming,Labels,NegativeAugment,train,10
1.0,0.00004253105726093054,vgg_model,resnet18(8),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.8999999761581421,0.00004298100247979164,vgg_model,resnet18(9),CIFAR10,hamming,Labels,NegativeAugment,train,10
1.0,0.000043618958443403244,vgg_model,densenet121(10),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.8999999761581421,0.00004332105163484812,vgg_model,densenet121(11),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.8999999761581421,0.0000962080666795373,vgg_model,densenet121(12),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.8999999761581421,0.000042925006709992886,vgg_model,densenet121(13),CIFAR10,hamming,Labels,NegativeAugment,train,10
1.0,0.000042683095671236515,vgg_model,densenet121(14),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.8999999761581421,0.00004313490353524685,vgg_model,mobilenet_v2(15),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.8999999761581421,0.00004178995732218027,vgg_model,mobilenet_v2(16),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.8999999761581421,0.00004378694575279951,vgg_model,mobilenet_v2(17),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.8999999761581421,0.00006369804032146931,vgg_model,mobilenet_v2(18),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.800000011920929,0.000045669032260775566,vgg_model,mobilenet_v2(19),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.6000000238418579,0.000043030944652855396,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.8999999761581421,0.000042517087422311306,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.6000000238418579,0.00009369710460305214,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.6000000238418579,0.00009370804764330387,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.699999988079071,0.000041544088162481785,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.6000000238418579,0.00004144199192523956,vgg_model,resnet18_cifar10C(5),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.5,0.00009373901411890984,vgg_model,resnet18_cifar10C(6),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.5,0.00009123899508267641,vgg_model,resnet18_cifar10C(7),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.5,0.000041013932786881924,vgg_model,resnet18_cifar10C(8),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.6000000238418579,0.00004168099258095026,vgg_model,resnet18_cifar10C(9),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.30000001192092896,0.00004124501720070839,vgg_model,vgg_model->finetune(0),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.20000000298023224,0.000040668994188308716,vgg_model,vgg_model->finetune(1),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.4000000059604645,0.00004188902676105499,vgg_model,vgg_model->finetune(2),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.30000001192092896,0.00004065409302711487,vgg_model,vgg_model->finetune(3),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.30000001192092896,0.000041070044972002506,vgg_model,vgg_model->finetune(4),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.20000000298023224,0.000043360982090234756,vgg_model,vgg_model->finetune(5),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.30000001192092896,0.00004082301165908575,vgg_model,vgg_model->finetune(6),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.20000000298023224,0.00004162406548857689,vgg_model,vgg_model->finetune(7),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.20000000298023224,0.000041079940274357796,vgg_model,vgg_model->finetune(8),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.20000000298023224,0.00004096003249287605,vgg_model,vgg_model->finetune(9),CIFAR10,hamming,Labels,NegativeAugment,train,10
0.30000001192092896,0.00004101090598851442,vgg_model,"vgg_model->transfer(CIFAR10C, 0)",CIFAR10,hamming,Labels,NegativeAugment,train,10
0.30000001192092896,0.000053734052926301956,vgg_model,"vgg_model->transfer(CIFAR10C, 1)",CIFAR10,hamming,Labels,NegativeAugment,train,10
0.30000001192092896,0.00004101707600057125,vgg_model,"vgg_model->transfer(CIFAR10C, 2)",CIFAR10,hamming,Labels,NegativeAugment,train,10
0.4000000059604645,0.000043413019739091396,vgg_model,"vgg_model->transfer(CIFAR10C, 3)",CIFAR10,hamming,Labels,NegativeAugment,train,10
0.30000001192092896,0.0000421799486503005,vgg_model,"vgg_model->transfer(CIFAR10C, 4)",CIFAR10,hamming,Labels,NegativeAugment,train,10
0.4000000059604645,0.00004383001942187548,vgg_model,"vgg_model->transfer(CIFAR10C, 5)",CIFAR10,hamming,Labels,NegativeAugment,train,10
