dataset,sampler,representation,split,budget,source_model,walltime,target_model
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.19996883196290582,
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.005084527074359357,vgg_model
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.003514365991577506,vgg13(0)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.0035734879784286022,vgg13(1)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.003621784970164299,vgg13(2)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.003581913886591792,vgg13(3)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.0035359018947929144,vgg13(4)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.03208481695037335,resnet18(5)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.003929740050807595,resnet18(6)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.0039835660718381405,resnet18(7)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.0038817169843241572,resnet18(8)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.0040118040051311255,resnet18(9)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.0614177769748494,densenet121(10)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.017134153051301837,densenet121(11)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.01694044191390276,densenet121(12)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.016807340900413692,densenet121(13)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.01703307800926268,densenet121(14)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.023048472008667886,mobilenet_v2(15)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.006913961959071457,mobilenet_v2(16)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.006857644068077207,mobilenet_v2(17)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.006823563016951084,mobilenet_v2(18)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.006947477930225432,mobilenet_v2(19)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.004733194946311414,vgg16_bn_cifar10C(0)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.004680552054196596,vgg16_bn_cifar10C(1)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.0046625139657408,vgg16_bn_cifar10C(2)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.004599159001372755,vgg16_bn_cifar10C(3)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.004638637066818774,vgg16_bn_cifar10C(4)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.003810926922596991,resnet18_cifar10C(5)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.0038206559838727117,resnet18_cifar10C(6)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.003884619101881981,resnet18_cifar10C(7)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.003953463048674166,resnet18_cifar10C(8)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.003879522089846432,resnet18_cifar10C(9)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.0045440481044352055,vgg_model->finetune(0)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.004570886958390474,vgg_model->finetune(1)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.004537621047347784,vgg_model->finetune(2)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.004441133933141828,vgg_model->finetune(3)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.004442519973963499,vgg_model->finetune(4)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.004462791024707258,vgg_model->finetune(5)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.004470411920920014,vgg_model->finetune(6)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.004472899017855525,vgg_model->finetune(7)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.00448650901671499,vgg_model->finetune(8)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.00454743904992938,vgg_model->finetune(9)
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.004515663022175431,"vgg_model->transfer(CIFAR10C, 0)"
CIFAR10,NegativeAugment,SAC,train,20,vgg_model,0.004547053016722202,"vgg_model->transfer(CIFAR10C, 1)"
