value,walltime,source_model,target_model,dataset,distance,representation,sampler,split,budget
0.0,0.000573290977627039,vgg_model,vgg_model,CIFAR10,l2,SAC,Random,train,20
0.25456297397613525,0.0000815410166978836,vgg_model,vgg13(0),CIFAR10,l2,SAC,Random,train,20
0.27178311347961426,0.00007807603105902672,vgg_model,vgg13(1),CIFAR10,l2,SAC,Random,train,20
0.27006351947784424,0.00006560503970831633,vgg_model,vgg13(2),CIFAR10,l2,SAC,Random,train,20
0.2836138904094696,0.0000639910576865077,vgg_model,vgg13(3),CIFAR10,l2,SAC,Random,train,20
0.27640169858932495,0.00006422598380595446,vgg_model,vgg13(4),CIFAR10,l2,SAC,Random,train,20
0.29121172428131104,0.00006107194349169731,vgg_model,resnet18(5),CIFAR10,l2,SAC,Random,train,20
0.3169928193092346,0.00007620500400662422,vgg_model,resnet18(6),CIFAR10,l2,SAC,Random,train,20
0.31845173239707947,0.000060228980146348476,vgg_model,resnet18(7),CIFAR10,l2,SAC,Random,train,20
0.30936315655708313,0.00006127101369202137,vgg_model,resnet18(8),CIFAR10,l2,SAC,Random,train,20
0.3017033040523529,0.00007230695337057114,vgg_model,resnet18(9),CIFAR10,l2,SAC,Random,train,20
0.32586756348609924,0.00006038602441549301,vgg_model,densenet121(10),CIFAR10,l2,SAC,Random,train,20
0.3357654809951782,0.00005974492523819208,vgg_model,densenet121(11),CIFAR10,l2,SAC,Random,train,20
0.3308045566082001,0.00006039906293153763,vgg_model,densenet121(12),CIFAR10,l2,SAC,Random,train,20
0.34303826093673706,0.00007171498145908117,vgg_model,densenet121(13),CIFAR10,l2,SAC,Random,train,20
0.3165894150733948,0.00005833397153764963,vgg_model,densenet121(14),CIFAR10,l2,SAC,Random,train,20
0.32690533995628357,0.00006005493924021721,vgg_model,mobilenet_v2(15),CIFAR10,l2,SAC,Random,train,20
0.3315853476524353,0.00007127306889742613,vgg_model,mobilenet_v2(16),CIFAR10,l2,SAC,Random,train,20
0.34731677174568176,0.00005976308602839708,vgg_model,mobilenet_v2(17),CIFAR10,l2,SAC,Random,train,20
0.31098586320877075,0.00005890801548957825,vgg_model,mobilenet_v2(18),CIFAR10,l2,SAC,Random,train,20
0.3471931517124176,0.00005853793118149042,vgg_model,mobilenet_v2(19),CIFAR10,l2,SAC,Random,train,20
0.2768286466598511,0.0000717600341886282,vgg_model,vgg16_bn_cifar10C(0),CIFAR10,l2,SAC,Random,train,20
0.2600332498550415,0.00005884899292141199,vgg_model,vgg16_bn_cifar10C(1),CIFAR10,l2,SAC,Random,train,20
0.28989365696907043,0.0000591459684073925,vgg_model,vgg16_bn_cifar10C(2),CIFAR10,l2,SAC,Random,train,20
0.2857797145843506,0.0000588870607316494,vgg_model,vgg16_bn_cifar10C(3),CIFAR10,l2,SAC,Random,train,20
0.26130226254463196,0.00007028703112155199,vgg_model,vgg16_bn_cifar10C(4),CIFAR10,l2,SAC,Random,train,20
0.3340783417224884,0.00006004702299833298,vgg_model,resnet18_cifar10C(5),CIFAR10,l2,SAC,Random,train,20
0.36719152331352234,0.00007117702625691891,vgg_model,resnet18_cifar10C(6),CIFAR10,l2,SAC,Random,train,20
0.3470051884651184,0.000059034908190369606,vgg_model,resnet18_cifar10C(7),CIFAR10,l2,SAC,Random,train,20
0.30029481649398804,0.00005855609197169542,vgg_model,resnet18_cifar10C(8),CIFAR10,l2,SAC,Random,train,20
0.35349634289741516,0.000057886005379259586,vgg_model,resnet18_cifar10C(9),CIFAR10,l2,SAC,Random,train,20
0.08958840370178223,0.00007048493716865778,vgg_model,vgg_model->finetune(0),CIFAR10,l2,SAC,Random,train,20
0.09786898642778397,0.00005770404823124409,vgg_model,vgg_model->finetune(1),CIFAR10,l2,SAC,Random,train,20
0.09020702540874481,0.00005836400669068098,vgg_model,vgg_model->finetune(2),CIFAR10,l2,SAC,Random,train,20
0.09513017535209656,0.00005763000808656216,vgg_model,vgg_model->finetune(3),CIFAR10,l2,SAC,Random,train,20
0.09223993867635727,0.00005817494820803404,vgg_model,vgg_model->finetune(4),CIFAR10,l2,SAC,Random,train,20
0.10012201964855194,0.00005835993215441704,vgg_model,vgg_model->finetune(5),CIFAR10,l2,SAC,Random,train,20
0.09703148156404495,0.00007090496364980936,vgg_model,vgg_model->finetune(6),CIFAR10,l2,SAC,Random,train,20
0.09791848808526993,0.00005780009087175131,vgg_model,vgg_model->finetune(7),CIFAR10,l2,SAC,Random,train,20
0.09544115513563156,0.00005947297904640436,vgg_model,vgg_model->finetune(8),CIFAR10,l2,SAC,Random,train,20
0.09834035485982895,0.00007119798101484776,vgg_model,vgg_model->finetune(9),CIFAR10,l2,SAC,Random,train,20
0.18034596741199493,0.00005801802035421133,vgg_model,"vgg_model->transfer(CIFAR10C, 0)",CIFAR10,l2,SAC,Random,train,20
0.17979000508785248,0.000058262026868760586,vgg_model,"vgg_model->transfer(CIFAR10C, 1)",CIFAR10,l2,SAC,Random,train,20
