dataset,sampler,representation,split,budget,source_model,walltime,target_model
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.34278133895713836,
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05756515695247799,vgg_model
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.048464533989317715,vgg13(0)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.04780377703718841,vgg13(1)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.046804279088974,vgg13(2)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.04966170503757894,vgg13(3)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.04592123907059431,vgg13(4)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.07790854398626834,resnet18(5)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.04116593301296234,resnet18(6)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.04146022303029895,resnet18(7)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.041218489059247077,resnet18(8)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.04100824100896716,resnet18(9)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.21465806104242802,densenet121(10)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.12869158305693418,densenet121(11)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.12985936703626066,densenet121(12)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.13583456096239388,densenet121(13)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.12637207005172968,densenet121(14)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.09062348597217351,mobilenet_v2(15)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05804782488849014,mobilenet_v2(16)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05862604803405702,mobilenet_v2(17)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.058056261972524226,mobilenet_v2(18)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05899403104558587,mobilenet_v2(19)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05431615293491632,vgg16_bn_cifar10C(0)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05469470703974366,vgg16_bn_cifar10C(1)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05378953297622502,vgg16_bn_cifar10C(2)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05371026392094791,vgg16_bn_cifar10C(3)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05409497499931604,vgg16_bn_cifar10C(4)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.041094657965004444,resnet18_cifar10C(5)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.04106495704036206,resnet18_cifar10C(6)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.04169572296086699,resnet18_cifar10C(7)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.0406668100040406,resnet18_cifar10C(8)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.041058697970584035,resnet18_cifar10C(9)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05385907308664173,vgg_model->finetune(0)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05412758106831461,vgg_model->finetune(1)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05384480697102845,vgg_model->finetune(2)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05748429603409022,vgg_model->finetune(3)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.057691744063049555,vgg_model->finetune(4)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05689189792610705,vgg_model->finetune(5)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.054071996943093836,vgg_model->finetune(6)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05408397503197193,vgg_model->finetune(7)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05448632303159684,vgg_model->finetune(8)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.054544772021472454,vgg_model->finetune(9)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05444231606088579,"vgg_model->transfer(CIFAR10C, 0)"
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05426639399956912,"vgg_model->transfer(CIFAR10C, 1)"
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.054415103048086166,"vgg_model->transfer(CIFAR10C, 2)"
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05462764098774642,"vgg_model->transfer(CIFAR10C, 3)"
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.054575519054196775,"vgg_model->transfer(CIFAR10C, 4)"
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05403172108344734,"vgg_model->transfer(CIFAR10C, 5)"
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05376590206287801,"vgg_model->transfer(CIFAR10C, 6)"
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05387706798501313,"vgg_model->transfer(CIFAR10C, 7)"
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05373386002611369,"vgg_model->transfer(CIFAR10C, 8)"
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.053742686053738,"vgg_model->transfer(CIFAR10C, 9)"
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05661549000069499,vgg_model->fineprune(0)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.056529919034801424,vgg_model->fineprune(1)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05643621296621859,vgg_model->fineprune(2)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05612812901381403,vgg_model->fineprune(3)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05610358901321888,vgg_model->fineprune(4)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05677826306782663,vgg_model->fineprune(5)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.056045616045594215,vgg_model->fineprune(6)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05616837402340025,vgg_model->fineprune(7)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.05617420596536249,vgg_model->fineprune(8)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.056567121064290404,vgg_model->fineprune(9)
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.04569453001022339,"vgg_model->label_extraction(vgg13, 0)"
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.04619974095840007,"vgg_model->label_extraction(vgg13, 1)"
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.04594844998791814,"vgg_model->label_extraction(vgg13, 2)"
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.04601053101941943,"vgg_model->label_extraction(vgg13, 3)"
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.045888027059845626,"vgg_model->label_extraction(vgg13, 4)"
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.04105388396419585,"vgg_model->label_extraction(resnet18, 5)"
CIFAR10,RandomSubsample10,ZLIME,train,400,vgg_model,0.04098529799375683,"vgg_model->label_extraction(resnet18, 6)"
